"ple0181","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","in school","Male","10","","",""
"Daily","2016","in school","Female","12","","",""
"Daily","2016","inadequately","Male","14","","",""
"Daily","2016","inadequately","Female","13","","",""
"Daily","2016","general elemantary","Male","49","0.0387037574880674","0.0266762729849398","0.050731241991195"
"Daily","2016","general elemantary","Female","49","0.0165256406587361","0.0101973603651632","0.0228539209523091"
"Daily","2016","middle vocational","Male","147","0.0266981853413569","0.0221707917810115","0.0312255789017024"
"Daily","2016","middle vocational","Female","101","0.0160603442680771","0.0128814145052021","0.0192392740309521"
"Daily","2016","vocational + Abi","Male","25","","",""
"Daily","2016","vocational + Abi","Female","25","","",""
"Daily","2016","higher vocational","Male","17","","",""
"Daily","2016","higher vocational","Female","8","","",""
"Daily","2016","higher education","Male","47","0.0172257644622565","0.0124812644333795","0.0219702644911335"
"Daily","2016","higher education","Female","35","0.00850540160122454","0.00518594485205711","0.011824858350392"
"Four to six days a week","2016","in school","Male","23","","",""
"Four to six days a week","2016","in school","Female","21","","",""
"Four to six days a week","2016","inadequately","Male","33","0.186527711427532","0.127799361185657","0.245256061669407"
"Four to six days a week","2016","inadequately","Female","35","0.130989512764501","0.0873866559080866","0.174592369620915"
"Four to six days a week","2016","general elemantary","Male","138","0.134808111185367","0.113512806888764","0.15610341548197"
"Four to six days a week","2016","general elemantary","Female","172","0.0970562441213329","0.0823613275940412","0.111751160648625"
"Four to six days a week","2016","middle vocational","Male","464","0.0956582772716855","0.0873976852786211","0.10391886926475"
"Four to six days a week","2016","middle vocational","Female","544","0.0895753883755835","0.0823537519546912","0.0967970247964759"
"Four to six days a week","2016","vocational + Abi","Male","87","0.116855584662226","0.0938645741964214","0.139846595128031"
"Four to six days a week","2016","vocational + Abi","Female","117","0.0915744312679496","0.0756866582003069","0.107462204335592"
"Four to six days a week","2016","higher vocational","Male","73","0.0759801833253271","0.0580617820106172","0.0938985846400371"
"Four to six days a week","2016","higher vocational","Female","53","0.149073696142434","0.118978066254576","0.179169326030292"
"Four to six days a week","2016","higher education","Male","211","0.0699397191089877","0.0606395293286554","0.07923990888932"
"Four to six days a week","2016","higher education","Female","189","0.066221050170273","0.0572323996074211","0.0752097007331249"
"Two to three days a week","2016","in school","Male","66","0.396177290437415","0.31629208525389","0.47606249562094"
"Two to three days a week","2016","in school","Female","84","0.496265470614004","0.42441170897534","0.568119232252667"
"Two to three days a week","2016","inadequately","Male","78","0.428767253751746","0.354152949910436","0.503381557593055"
"Two to three days a week","2016","inadequately","Female","103","0.409613838291538","0.346060324397305","0.473167352185772"
"Two to three days a week","2016","general elemantary","Male","458","0.445093447093988","0.414104619511076","0.4760822746769"
"Two to three days a week","2016","general elemantary","Female","660","0.397557747332013","0.373264651920594","0.421850842743431"
"Two to three days a week","2016","middle vocational","Male","2000","0.38825544735966","0.374567842960212","0.401943051759109"
"Two to three days a week","2016","middle vocational","Female","2580","0.402729113549698","0.390326549997936","0.415131677101459"
"Two to three days a week","2016","vocational + Abi","Male","341","0.439375357514028","0.403855484954968","0.474895230073088"
"Two to three days a week","2016","vocational + Abi","Female","579","0.457773343693829","0.430329374688207","0.485217312699452"
"Two to three days a week","2016","higher vocational","Male","297","0.344081701584504","0.311955150113875","0.376208253055134"
"Two to three days a week","2016","higher vocational","Female","210","0.326269454800211","0.286651844055593","0.365887065544829"
"Two to three days a week","2016","higher education","Male","1131","0.381275669314338","0.363564694583236","0.39898664404544"
"Two to three days a week","2016","higher education","Female","1176","0.371788452704242","0.35431915959132","0.389257745817164"
"Two to four days a month","2016","in school","Male","33","0.270486582117085","0.19793341917475","0.343039745059421"
"Two to four days a month","2016","in school","Female","42","0.219061556336924","0.159620967282669","0.278502145391178"
"Two to four days a month","2016","inadequately","Male","28","","",""
"Two to four days a month","2016","inadequately","Female","58","0.289705221934783","0.231080385281435","0.348330058588131"
"Two to four days a month","2016","general elemantary","Male","242","0.283724086140249","0.255614277096121","0.311833895184378"
"Two to four days a month","2016","general elemantary","Female","459","0.315074237936832","0.29201456031539","0.338133915558274"
"Two to four days a month","2016","middle vocational","Male","1580","0.335681376835635","0.322418569890762","0.348944183780508"
"Two to four days a month","2016","middle vocational","Female","1913","0.327582390404323","0.315713801478674","0.339450979329973"
"Two to four days a month","2016","vocational + Abi","Male","213","0.29566247362813","0.263003240996926","0.328321706259334"
"Two to four days a month","2016","vocational + Abi","Female","363","0.272875602243727","0.248338800698079","0.297412403789375"
"Two to four days a month","2016","higher vocational","Male","344","0.417991101055684","0.384636421055814","0.451345781055555"
"Two to four days a month","2016","higher vocational","Female","182","0.34727907017215","0.307048144292495","0.387509996051804"
"Two to four days a month","2016","higher education","Male","1033","0.365504780743115","0.347944355519279","0.383065205966951"
"Two to four days a month","2016","higher education","Female","1007","0.343095128034877","0.325934509288855","0.360255746780899"
"Once a month or less","2016","in school","Male","9","","",""
"Once a month or less","2016","in school","Female","10","","",""
"Once a month or less","2016","inadequately","Male","13","","",""
"Once a month or less","2016","inadequately","Female","15","","",""
"Once a month or less","2016","general elemantary","Male","81","0.0867673187446758","0.0692148410507539","0.104319796438598"
"Once a month or less","2016","general elemantary","Female","165","0.133050894687616","0.116191936465885","0.149909852909347"
"Once a month or less","2016","middle vocational","Male","514","0.113087982341717","0.104193265890268","0.121982698793166"
"Once a month or less","2016","middle vocational","Female","615","0.113706988555166","0.105679096646177","0.121734880464155"
"Once a month or less","2016","vocational + Abi","Male","63","0.0929229830615528","0.0721451088591954","0.11370085726391"
"Once a month or less","2016","vocational + Abi","Female","102","0.0960289156658336","0.0797992519932911","0.112258579338376"
"Once a month or less","2016","higher vocational","Male","86","0.109213184223732","0.0881204503568041","0.130305918090661"
"Once a month or less","2016","higher vocational","Female","55","0.0986928860696946","0.0734908123705557","0.123894959768834"
"Once a month or less","2016","higher education","Male","343","0.114029385486131","0.102439147038547","0.125619623933716"
"Once a month or less","2016","higher education","Female","334","0.138288368134426","0.12581027481139","0.150766461457462"
"Never","2016","in school","Male","3","","",""
"Never","2016","in school","Female","17","","",""
"Never","2016","inadequately","Male","3","","",""
"Never","2016","inadequately","Female","6","","",""
"Never","2016","general elemantary","Male","20","","",""
"Never","2016","general elemantary","Female","54","0.0407352352634702","0.0309227414915647","0.0505477290353756"
"Never","2016","middle vocational","Male","165","0.0406187308499455","0.0350744859871223","0.0461629757127687"
"Never","2016","middle vocational","Female","254","0.0503457748471524","0.0448163043896049","0.0558752453046998"
"Never","2016","vocational + Abi","Male","21","","",""
"Never","2016","vocational + Abi","Female","80","0.0617170370593483","0.0484613974674411","0.0749726766512555"
"Never","2016","higher vocational","Male","23","","",""
"Never","2016","higher vocational","Female","30","0.0577826583693972","0.0380660931839912","0.0774992235548033"
"Never","2016","higher education","Male","124","0.052024680885171","0.0439266850734351","0.0601226766969068"
"Never","2016","higher education","Female","199","0.0721015993549571","0.0627519120138593","0.0814512866960549"
"Daily","2017","in school","Male","","","",""
"Daily","2017","in school","Female","","","",""
"Daily","2017","inadequately","Male","","","",""
"Daily","2017","inadequately","Female","","","",""
"Daily","2017","general elemantary","Male","","","",""
"Daily","2017","general elemantary","Female","","","",""
"Daily","2017","middle vocational","Male","","","",""
"Daily","2017","middle vocational","Female","","","",""
"Daily","2017","vocational + Abi","Male","","","",""
"Daily","2017","vocational + Abi","Female","","","",""
"Daily","2017","higher vocational","Male","","","",""
"Daily","2017","higher vocational","Female","","","",""
"Daily","2017","higher education","Male","","","",""
"Daily","2017","higher education","Female","","","",""
"Four to six days a week","2017","in school","Male","","","",""
"Four to six days a week","2017","in school","Female","","","",""
"Four to six days a week","2017","inadequately","Male","","","",""
"Four to six days a week","2017","inadequately","Female","","","",""
"Four to six days a week","2017","general elemantary","Male","","","",""
"Four to six days a week","2017","general elemantary","Female","","","",""
"Four to six days a week","2017","middle vocational","Male","","","",""
"Four to six days a week","2017","middle vocational","Female","","","",""
"Four to six days a week","2017","vocational + Abi","Male","","","",""
"Four to six days a week","2017","vocational + Abi","Female","","","",""
"Four to six days a week","2017","higher vocational","Male","","","",""
"Four to six days a week","2017","higher vocational","Female","","","",""
"Four to six days a week","2017","higher education","Male","","","",""
"Four to six days a week","2017","higher education","Female","","","",""
"Two to three days a week","2017","in school","Male","","","",""
"Two to three days a week","2017","in school","Female","","","",""
"Two to three days a week","2017","inadequately","Male","","","",""
"Two to three days a week","2017","inadequately","Female","","","",""
"Two to three days a week","2017","general elemantary","Male","","","",""
"Two to three days a week","2017","general elemantary","Female","","","",""
"Two to three days a week","2017","middle vocational","Male","","","",""
"Two to three days a week","2017","middle vocational","Female","","","",""
"Two to three days a week","2017","vocational + Abi","Male","","","",""
"Two to three days a week","2017","vocational + Abi","Female","","","",""
"Two to three days a week","2017","higher vocational","Male","","","",""
"Two to three days a week","2017","higher vocational","Female","","","",""
"Two to three days a week","2017","higher education","Male","","","",""
"Two to three days a week","2017","higher education","Female","","","",""
"Two to four days a month","2017","in school","Male","","","",""
"Two to four days a month","2017","in school","Female","","","",""
"Two to four days a month","2017","inadequately","Male","","","",""
"Two to four days a month","2017","inadequately","Female","","","",""
"Two to four days a month","2017","general elemantary","Male","","","",""
"Two to four days a month","2017","general elemantary","Female","","","",""
"Two to four days a month","2017","middle vocational","Male","","","",""
"Two to four days a month","2017","middle vocational","Female","","","",""
"Two to four days a month","2017","vocational + Abi","Male","","","",""
"Two to four days a month","2017","vocational + Abi","Female","","","",""
"Two to four days a month","2017","higher vocational","Male","","","",""
"Two to four days a month","2017","higher vocational","Female","","","",""
"Two to four days a month","2017","higher education","Male","","","",""
"Two to four days a month","2017","higher education","Female","","","",""
"Once a month or less","2017","in school","Male","","","",""
"Once a month or less","2017","in school","Female","","","",""
"Once a month or less","2017","inadequately","Male","","","",""
"Once a month or less","2017","inadequately","Female","","","",""
"Once a month or less","2017","general elemantary","Male","","","",""
"Once a month or less","2017","general elemantary","Female","","","",""
"Once a month or less","2017","middle vocational","Male","","","",""
"Once a month or less","2017","middle vocational","Female","","","",""
"Once a month or less","2017","vocational + Abi","Male","","","",""
"Once a month or less","2017","vocational + Abi","Female","","","",""
"Once a month or less","2017","higher vocational","Male","","","",""
"Once a month or less","2017","higher vocational","Female","","","",""
"Once a month or less","2017","higher education","Male","","","",""
"Once a month or less","2017","higher education","Female","","","",""
"Never","2017","in school","Male","","","",""
"Never","2017","in school","Female","","","",""
"Never","2017","inadequately","Male","","","",""
"Never","2017","inadequately","Female","","","",""
"Never","2017","general elemantary","Male","","","",""
"Never","2017","general elemantary","Female","","","",""
"Never","2017","middle vocational","Male","","","",""
"Never","2017","middle vocational","Female","","","",""
"Never","2017","vocational + Abi","Male","","","",""
"Never","2017","vocational + Abi","Female","","","",""
"Never","2017","higher vocational","Male","","","",""
"Never","2017","higher vocational","Female","","","",""
"Never","2017","higher education","Male","","","",""
"Never","2017","higher education","Female","","","",""
"Daily","2018","in school","Male","11","","",""
"Daily","2018","in school","Female","9","","",""
"Daily","2018","inadequately","Male","13","","",""
"Daily","2018","inadequately","Female","19","","",""
"Daily","2018","general elemantary","Male","56","0.0518804896794569","0.0385100966911015","0.0652508826678122"
"Daily","2018","general elemantary","Female","61","0.0335381962697965","0.0247247953177632","0.0423515972218298"
"Daily","2018","middle vocational","Male","160","0.0275171789941264","0.0230333079048762","0.0320010500833766"
"Daily","2018","middle vocational","Female","126","0.0159268768330549","0.0128253566525107","0.019028397013599"
"Daily","2018","vocational + Abi","Male","28","","",""
"Daily","2018","vocational + Abi","Female","24","","",""
"Daily","2018","higher vocational","Male","20","","",""
"Daily","2018","higher vocational","Female","8","","",""
"Daily","2018","higher education","Male","65","0.0235442499811749","0.0182102139078616","0.0288782860544883"
"Daily","2018","higher education","Female","43","0.0075143906924809","0.00450670081474639","0.0105220805702154"
"Four to six days a week","2018","in school","Male","24","","",""
"Four to six days a week","2018","in school","Female","21","","",""
"Four to six days a week","2018","inadequately","Male","33","0.114455879597388","0.070768382634814","0.158143376559962"
"Four to six days a week","2018","inadequately","Female","52","0.149462275134917","0.107774615331834","0.191149934938001"
"Four to six days a week","2018","general elemantary","Male","180","0.170731945105445","0.14804816339541","0.193415726815481"
"Four to six days a week","2018","general elemantary","Female","174","0.0956810420464891","0.0812812872853391","0.110080796807639"
"Four to six days a week","2018","middle vocational","Male","547","0.106486144492825","0.0980312655869787","0.114941023398671"
"Four to six days a week","2018","middle vocational","Female","578","0.089356063541164","0.0822891149916172","0.0964230120907108"
"Four to six days a week","2018","vocational + Abi","Male","109","0.130868722461284","0.107395532229486","0.154341912693081"
"Four to six days a week","2018","vocational + Abi","Female","124","0.10203809771175","0.0856900711021721","0.118386124321328"
"Four to six days a week","2018","higher vocational","Male","54","0.0681210539447337","0.0513014839969809","0.0849406238924865"
"Four to six days a week","2018","higher vocational","Female","52","0.104836434032199","0.0796211490734805","0.130051718990917"
"Four to six days a week","2018","higher education","Male","225","0.0735610646727985","0.0643773234607211","0.0827448058848758"
"Four to six days a week","2018","higher education","Female","213","0.0680639468016408","0.059292410190758","0.0768354834125235"
"Two to three days a week","2018","in school","Male","74","0.457417653317401","0.379490725436676","0.535344581198125"
"Two to three days a week","2018","in school","Female","77","0.473023638264137","0.400686797812305","0.545360478715969"
"Two to three days a week","2018","inadequately","Male","99","0.533993783328115","0.465540077684196","0.602447488972034"
"Two to three days a week","2018","inadequately","Female","123","0.403131745896937","0.345778543677283","0.460484948116591"
"Two to three days a week","2018","general elemantary","Male","457","0.431367016158928","0.401509746651314","0.461224285666543"
"Two to three days a week","2018","general elemantary","Female","663","0.39029952024881","0.366419284661927","0.414179755835693"
"Two to three days a week","2018","middle vocational","Male","2084","0.40483118479077","0.391376694233728","0.418285675347812"
"Two to three days a week","2018","middle vocational","Female","2624","0.399899024011519","0.387762817610993","0.412035230412045"
"Two to three days a week","2018","vocational + Abi","Male","325","0.441750527193733","0.407187307137905","0.47631374724956"
"Two to three days a week","2018","vocational + Abi","Female","582","0.414967823511703","0.388357369065744","0.441578277957662"
"Two to three days a week","2018","higher vocational","Male","342","0.386525775848938","0.354018404802682","0.419033146895193"
"Two to three days a week","2018","higher vocational","Female","209","0.317465848792961","0.279150987167298","0.355780710418623"
"Two to three days a week","2018","higher education","Male","1203","0.39045714741034","0.373294825453833","0.407619469366847"
"Two to three days a week","2018","higher education","Female","1192","0.35321131888366","0.336564832837443","0.369857804929876"
"Two to four days a month","2018","in school","Male","32","0.197833171807277","0.135519955046503","0.260146388568051"
"Two to four days a month","2018","in school","Female","36","0.151967430434094","0.0999553683461327","0.203979492522056"
"Two to four days a month","2018","inadequately","Male","40","0.208190732377356","0.152475493859492","0.263905970895221"
"Two to four days a month","2018","inadequately","Female","63","0.261286628677226","0.209918765064219","0.312654492290234"
"Two to four days a month","2018","general elemantary","Male","256","0.253079185643178","0.226868638159531","0.279289733126824"
"Two to four days a month","2018","general elemantary","Female","485","0.329553707541732","0.306543187837691","0.352564227245773"
"Two to four days a month","2018","middle vocational","Male","1625","0.314967886151487","0.302235822584557","0.327699949718417"
"Two to four days a month","2018","middle vocational","Female","1960","0.319874649590065","0.308319381971196","0.331429917208933"
"Two to four days a month","2018","vocational + Abi","Male","235","0.282033853611742","0.250714405436171","0.313353301787313"
"Two to four days a month","2018","vocational + Abi","Female","408","0.333517667281445","0.308054703836094","0.358980630726796"
"Two to four days a month","2018","higher vocational","Male","326","0.380328571050929","0.34792038896207","0.412736753139787"
"Two to four days a month","2018","higher vocational","Female","213","0.397542075053453","0.357260033556018","0.437824116550888"
"Two to four days a month","2018","higher education","Male","1146","0.359196060003297","0.342318269046538","0.376073850960055"
"Two to four days a month","2018","higher education","Female","1081","0.348013812490909","0.331423999229491","0.364603625752327"
"Once a month or less","2018","in school","Male","12","","",""
"Once a month or less","2018","in school","Female","14","","",""
"Once a month or less","2018","inadequately","Male","14","","",""
"Once a month or less","2018","inadequately","Female","14","","",""
"Once a month or less","2018","general elemantary","Male","90","0.08147761859152","0.0649855689847694","0.0979696681982705"
"Once a month or less","2018","general elemantary","Female","158","0.109285195175192","0.094011949717157","0.124558440633228"
"Once a month or less","2018","middle vocational","Male","530","0.107579706592623","0.0990867267929394","0.116072686392307"
