"ple0181","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","no migration background","114","0.0180329315851424","0.0148305378935746","0.0212353252767102"
"Daily","2016","Full Time","direct migration background","81","0.0476484110756571","0.0378428588810318","0.0574539632702823"
"Daily","2016","Full Time","indirect migration background","31","0.0553929818061451","0.037516760431936","0.0732692031803542"
"Daily","2016","Part Time","no migration background","66","0.0109700657763691","0.00803858834073983","0.0139015432119984"
"Daily","2016","Part Time","direct migration background","55","0.0240040529228586","0.0163767810137967","0.0316313248319206"
"Daily","2016","Part Time","indirect migration background","21","","",""
"Daily","2016","Not Working","no migration background","117","0.0176761597428748","0.0143855298707847","0.0209667896149648"
"Daily","2016","Not Working","direct migration background","66","0.0357708285261308","0.0261383373425389","0.0454033197097227"
"Daily","2016","Not Working","indirect migration background","25","","",""
"Four to six days a week","2016","Full Time","no migration background","543","0.086147028603467","0.0793947336065656","0.0928993236003683"
"Four to six days a week","2016","Full Time","direct migration background","257","0.15846662978308","0.141657169442097","0.175276090124062"
"Four to six days a week","2016","Full Time","indirect migration background","99","0.143587213197145","0.116182691718203","0.170991734676086"
"Four to six days a week","2016","Part Time","no migration background","414","0.100114856130465","0.0916675151193989","0.108562197141531"
"Four to six days a week","2016","Part Time","direct migration background","201","0.123869043535689","0.107452987002242","0.140285100069137"
"Four to six days a week","2016","Part Time","indirect migration background","80","0.17306309071893","0.14045380879502","0.205672372642841"
"Four to six days a week","2016","Not Working","no migration background","420","0.0659123359805908","0.0597160007587204","0.0721086712024612"
"Four to six days a week","2016","Not Working","direct migration background","179","0.10603267229162","0.0900641523830904","0.12200119220015"
"Four to six days a week","2016","Not Working","indirect migration background","67","0.143353775784794","0.108751449202409","0.177956102367178"
"Two to three days a week","2016","Full Time","no migration background","2727","0.403955829204092","0.3921472062852","0.415764452122984"
"Two to three days a week","2016","Full Time","direct migration background","857","0.431624008425408","0.408824795831177","0.454423221019639"
"Two to three days a week","2016","Full Time","indirect migration background","283","0.40618397330906","0.367803518445253","0.444564428172867"
"Two to three days a week","2016","Part Time","no migration background","1996","0.38404843765047","0.370360327113905","0.397736548187036"
"Two to three days a week","2016","Part Time","direct migration background","760","0.460304047797931","0.435467003518823","0.485141092077039"
"Two to three days a week","2016","Part Time","indirect migration background","237","0.388082048511679","0.346076061521855","0.430088035501504"
"Two to three days a week","2016","Not Working","no migration background","2267","0.360500251827037","0.34850993358677","0.372490570067305"
"Two to three days a week","2016","Not Working","direct migration background","699","0.485004471929934","0.459083063937432","0.510925879922437"
"Two to three days a week","2016","Not Working","indirect migration background","182","0.42950322063964","0.380625629860273","0.478380811419007"
"Two to four days a month","2016","Full Time","no migration background","2309","0.347259521637571","0.335802006323209","0.358717036951933"
"Two to four days a month","2016","Full Time","direct migration background","442","0.265253945584445","0.244932773826646","0.285575117342243"
"Two to four days a month","2016","Full Time","indirect migration background","161","0.305078469447264","0.26909554710788","0.341061391786648"
"Two to four days a month","2016","Part Time","no migration background","1577","0.322055760129715","0.308905336458589","0.33520618380084"
"Two to four days a month","2016","Part Time","direct migration background","374","0.256526292177252","0.234764147986315","0.278288436368189"
"Two to four days a month","2016","Part Time","indirect migration background","125","0.263455941272079","0.225484578565836","0.301427303978323"
"Two to four days a month","2016","Not Working","no migration background","2231","0.362178387910699","0.350175973545783","0.374180802275615"
"Two to four days a month","2016","Not Working","direct migration background","350","0.272035354248031","0.24895450385333","0.295116204642731"
