"ple0181","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","no migration background","Male","166","0.0195479377998079","0.0165293343292889","0.0225665412703269"
"Daily","2016","no migration background","Female","131","0.0130320668199398","0.010759015801911","0.0153051178379685"
"Daily","2016","direct migration background","Male","108","0.0453224002523878","0.03656038594783","0.0540844145569457"
"Daily","2016","direct migration background","Female","94","0.0284454544494208","0.0220835231058394","0.0348073857930022"
"Daily","2016","indirect migration background","Male","46","0.0826883886758764","0.0623873109456945","0.102989466406058"
"Daily","2016","indirect migration background","Female","31","0.0273387956737222","0.0162650109412183","0.0384125804062261"
"Four to six days a week","2016","no migration background","Male","661","0.0833540009656622","0.0773269278564324","0.0893810740748919"
"Four to six days a week","2016","no migration background","Female","716","0.0806835459021426","0.0752250119245414","0.0861420798797438"
"Four to six days a week","2016","direct migration background","Male","299","0.130757791698706","0.116556647653172","0.14495893574424"
"Four to six days a week","2016","direct migration background","Female","338","0.130980825240645","0.118069599140959","0.14389205134033"
"Four to six days a week","2016","indirect migration background","Male","121","0.175662355596051","0.147612521191221","0.203712190000881"
"Four to six days a week","2016","indirect migration background","Female","125","0.127557921272486","0.10490377977123","0.150212062773742"
"Two to three days a week","2016","no migration background","Male","3138","0.379899028759499","0.36931605527422","0.390482002244778"
"Two to three days a week","2016","no migration background","Female","3852","0.386078291456077","0.376320642276472","0.395835940635682"
"Two to three days a week","2016","direct migration background","Male","1043","0.455524897479612","0.43454689111313","0.476502903846093"
"Two to three days a week","2016","direct migration background","Female","1273","0.459842982676053","0.440770214122254","0.478915751229852"
"Two to three days a week","2016","indirect migration background","Male","324","0.406203450038221","0.370001745215432","0.442405154861011"
"Two to three days a week","2016","indirect migration background","Female","378","0.406760738769645","0.373401967408484","0.440119510130807"
"Two to four days a month","2016","no migration background","Male","2873","0.355507228742033","0.345070229452754","0.365944228031311"
"Two to four days a month","2016","no migration background","Female","3244","0.338433197385649","0.328949573021015","0.347916821750283"
"Two to four days a month","2016","direct migration background","Male","512","0.276965196956946","0.258115197513196","0.295815196400695"
"Two to four days a month","2016","direct migration background","Female","654","0.253415123094825","0.236769318032386","0.270060928157264"
"Two to four days a month","2016","indirect migration background","Male","160","0.260551285098997","0.228196462483827","0.292906107714167"
"Two to four days a month","2016","indirect migration background","Female","200","0.271498289495297","0.241297073656327","0.301699505334267"
"Once a month or less","2016","no migration background","Male","951","0.118966324100874","0.111907202122118","0.12602544607963"
"Once a month or less","2016","no migration background","Female","1108","0.127241811980769","0.120562789555733","0.133920834405806"
"Once a month or less","2016","direct migration background","Male","139","0.0671298594449985","0.0565887188524084","0.0776710000375886"
"Once a month or less","2016","direct migration background","Female","157","0.0780371338602935","0.0677721962158119","0.0883020715047751"
"Once a month or less","2016","indirect migration background","Male","40","0.0576872764208987","0.0405012320262562","0.0748733208155411"
"Once a month or less","2016","indirect migration background","Female","56","0.0889488813094723","0.0696173076588401","0.108280454960104"
"Never","2016","no migration background","Male","291","0.0427254796321238","0.0383158294951418","0.0471351297691057"
"Never","2016","no migration background","Female","512","0.0545310864554225","0.0499801925033473","0.0590819804074978"
"Never","2016","direct migration background","Male","64","0.0242998541673505","0.0178138210885544","0.0307858872461466"
"Never","2016","direct migration background","Female","107","0.0492784806787632","0.0409951640496782","0.0575617973078481"
"Never","2016","indirect migration background","Male","16","","",""
"Never","2016","indirect migration background","Female","43","0.0778953734793769","0.0596953678295821","0.0960953791291716"
"Daily","2017","no migration background","Male","","","",""
"Daily","2017","no migration background","Female","","","",""
"Daily","2017","direct migration background","Male","","","",""
"Daily","2017","direct migration background","Female","","","",""
"Daily","2017","indirect migration background","Male","","","",""
"Daily","2017","indirect migration background","Female","","","",""
"Four to six days a week","2017","no migration background","Male","","","",""
"Four to six days a week","2017","no migration background","Female","","","",""
"Four to six days a week","2017","direct migration background","Male","","","",""
"Four to six days a week","2017","direct migration background","Female","","","",""
"Four to six days a week","2017","indirect migration background","Male","","","",""
"Four to six days a week","2017","indirect migration background","Female","","","",""
"Two to three days a week","2017","no migration background","Male","","","",""
"Two to three days a week","2017","no migration background","Female","","","",""
"Two to three days a week","2017","direct migration background","Male","","","",""
"Two to three days a week","2017","direct migration background","Female","","","",""
"Two to three days a week","2017","indirect migration background","Male","","","",""
"Two to three days a week","2017","indirect migration background","Female","","","",""
"Two to four days a month","2017","no migration background","Male","","","",""
"Two to four days a month","2017","no migration background","Female","","","",""
"Two to four days a month","2017","direct migration background","Male","","","",""
"Two to four days a month","2017","direct migration background","Female","","","",""
"Two to four days a month","2017","indirect migration background","Male","","","",""
"Two to four days a month","2017","indirect migration background","Female","","","",""
"Once a month or less","2017","no migration background","Male","","","",""
"Once a month or less","2017","no migration background","Female","","","",""
"Once a month or less","2017","direct migration background","Male","","","",""
"Once a month or less","2017","direct migration background","Female","","","",""
"Once a month or less","2017","indirect migration background","Male","","","",""
"Once a month or less","2017","indirect migration background","Female","","","",""
"Never","2017","no migration background","Male","","","",""
"Never","2017","no migration background","Female","","","",""
"Never","2017","direct migration background","Male","","","",""
"Never","2017","direct migration background","Female","","","",""
"Never","2017","indirect migration background","Male","","","",""
