"ple0181","year","n","percent","lower_confidence","upper_confidence"
"Daily","2016","576","0.0214361245535634","0.0196026590606289","0.023269590046498"
"Four to six days a week","2016","2260","0.0931779417439518","0.0894981553492879","0.0968577281386157"
"Two to three days a week","2016","10008","0.395649297139799","0.389459096438788","0.40183949784081"
"Two to four days a month","2016","7643","0.329990392409214","0.324037936625286","0.335942848193143"
"Once a month or less","2016","2451","0.112848788529968","0.108843329530288","0.116854247529648"
"Never","2016","1033","0.0468974556235033","0.0442210651824445","0.0495738460645621"
"Daily","2017","","","",""
"Four to six days a week","2017","","","",""
"Two to three days a week","2017","","","",""
"Two to four days a month","2017","","","",""
"Once a month or less","2017","","","",""
"Never","2017","","","",""
"Daily","2018","689","0.0238689831242446","0.0219957236901221","0.0257422425583672"
"Four to six days a week","2018","2507","0.097497995905558","0.0938575980890065","0.101138393722109"
"Two to three days a week","2018","10420","0.397901990972675","0.391895116381826","0.403908865563524"
"Two to four days a month","2018","8113","0.322487814837383","0.316751379224298","0.328224250450468"
"Once a month or less","2018","2544","0.106973770716708","0.10318064119086","0.110766900242555"
"Never","2018","1233","0.0512694444434319","0.0485628220972364","0.0539760667896274"
