"ple0181","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","1-pers.-HH","25","","",""
"Daily","2016","Full Time","(Married) couple without C. ","52","0.0210775543904405","0.0153187358639304","0.0268363729169505"
"Daily","2016","Full Time","Single parent ","14","","",""
"Daily","2016","Full Time","Couple + C. LE 16 ","74","0.0362366955593538","0.029152213603466","0.0433211775152417"
"Daily","2016","Full Time","Couple + C. GT 16 ","28","","",""
"Daily","2016","Full Time","Couple + C. LE and GT 16","26","","",""
"Daily","2016","Part Time","1-pers.-HH","11","","",""
"Daily","2016","Part Time","(Married) couple without C. ","20","","",""
"Daily","2016","Part Time","Single parent ","24","","",""
"Daily","2016","Part Time","Couple + C. LE 16 ","46","0.0164080582553749","0.0110910804083469","0.0217250361024028"
"Daily","2016","Part Time","Couple + C. GT 16 ","12","","",""
"Daily","2016","Part Time","Couple + C. LE and GT 16","17","","",""
"Daily","2016","Not Working","1-pers.-HH","29","","",""
"Daily","2016","Not Working","(Married) couple without C. ","52","0.0177686753269066","0.0133202038909293","0.0222171467628838"
"Daily","2016","Not Working","Single parent ","17","","",""
"Daily","2016","Not Working","Couple + C. LE 16 ","54","0.0522765527443744","0.0376777700195696","0.0668753354691792"
"Daily","2016","Not Working","Couple + C. GT 16 ","19","","",""
"Daily","2016","Not Working","Couple + C. LE and GT 16","26","","",""
"Four to six days a week","2016","Full Time","1-pers.-HH","92","0.0800225767848675","0.0642445105054492","0.0958006430642857"
"Four to six days a week","2016","Full Time","(Married) couple without C. ","206","0.0949411860119482","0.0831891025272015","0.106693269496695"
"Four to six days a week","2016","Full Time","Single parent ","59","0.0981166761957803","0.0758400510242543","0.120393301367306"
"Four to six days a week","2016","Full Time","Couple + C. LE 16 ","306","0.124988621857062","0.112451706273715","0.137525537440409"
"Four to six days a week","2016","Full Time","Couple + C. GT 16 ","103","0.0997645839555981","0.0824363492465416","0.117092818664655"
"Four to six days a week","2016","Full Time","Couple + C. LE and GT 16","101","0.128278924266724","0.105529234818905","0.151028613714544"
"Four to six days a week","2016","Part Time","1-pers.-HH","53","0.0977250837715239","0.0753571316573443","0.120093035885704"
