"ple0181","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","Male","19","","",""
"Daily","2016","Schleswig-Holstein","Female","11","","",""
"Daily","2016","Hamburg","Male","4","","",""
"Daily","2016","Hamburg","Female","5","","",""
"Daily","2016","Lower Saxony","Male","48","0.0433249610879038","0.0312277584536724","0.0554221637221352"
"Daily","2016","Lower Saxony","Female","36","0.0269232240573968","0.0180107789076015","0.0358356692071922"
"Daily","2016","Bremen","Male","3","","",""
"Daily","2016","Bremen","Female","5","","",""
"Daily","2016","North Rhine-Westphalia","Male","77","0.0304343383260651","0.0233879644898872","0.037480712162243"
"Daily","2016","North Rhine-Westphalia","Female","76","0.0227816655031996","0.0171567810322825","0.0284065499741167"
"Daily","2016","Hesse","Male","19","","",""
"Daily","2016","Hesse","Female","16","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Male","16","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Female","11","","",""
"Daily","2016","Baden-Württemberg","Male","22","","",""
"Daily","2016","Baden-Württemberg","Female","19","","",""
"Daily","2016","Bavaria","Male","38","0.0192846063273435","0.0128395002262734","0.0257297124284136"
"Daily","2016","Bavaria","Female","28","","",""
"Daily","2016","Berlin","Male","15","","",""
"Daily","2016","Berlin","Female","5","","",""
"Daily","2016","Brandenburg","Male","11","","",""
"Daily","2016","Brandenburg","Female","3","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Male","9","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Female","10","","",""
"Daily","2016","Saxony","Male","26","","",""
"Daily","2016","Saxony","Female","16","","",""
"Daily","2016","Saxony-Anhalt","Male","6","","",""
"Daily","2016","Saxony-Anhalt","Female","7","","",""
"Daily","2016","Thuringia","Male","7","","",""
"Daily","2016","Thuringia","Female","8","","",""
"Four to six days a week","2016","Schleswig-Holstein","Male","48","0.128641578013564","0.094481094909957","0.162802061117172"
"Four to six days a week","2016","Schleswig-Holstein","Female","53","0.125576869200549","0.0946142709928554","0.156539467408243"
"Four to six days a week","2016","Hamburg","Male","29","","",""
"Four to six days a week","2016","Hamburg","Female","26","","",""
"Four to six days a week","2016","Lower Saxony","Male","119","0.0898302657502381","0.0728397649305717","0.106820766569905"
"Four to six days a week","2016","Lower Saxony","Female","110","0.0766117385988165","0.0619663932448166","0.0912570839528165"
"Four to six days a week","2016","Bremen","Male","14","","",""
"Four to six days a week","2016","Bremen","Female","18","","",""
"Four to six days a week","2016","North Rhine-Westphalia","Male","263","0.0996464021831305","0.0873597801409344","0.111933024225327"
"Four to six days a week","2016","North Rhine-Westphalia","Female","311","0.106251973011167","0.0946347823285791","0.117869163693755"
"Four to six days a week","2016","Hesse","Male","71","0.101331426913138","0.0794856265748154","0.12317722725146"
"Four to six days a week","2016","Hesse","Female","76","0.111256938895691","0.0901672185713349","0.132346659220047"
