"ple0181","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","in school","","","",""
"Daily","2016","1-pers.-HH","inadequately","2","","",""
"Daily","2016","1-pers.-HH","general elemantary","11","","",""
"Daily","2016","1-pers.-HH","middle vocational","27","","",""
"Daily","2016","1-pers.-HH","vocational + Abi","4","","",""
"Daily","2016","1-pers.-HH","higher vocational","4","","",""
"Daily","2016","1-pers.-HH","higher education","17","","",""
"Daily","2016","(Married) couple without C. ","in school","","","",""
"Daily","2016","(Married) couple without C. ","inadequately","2","","",""
"Daily","2016","(Married) couple without C. ","general elemantary","11","","",""
"Daily","2016","(Married) couple without C. ","middle vocational","57","0.0171790752567533","0.0128980785087054","0.0214600720048013"
"Daily","2016","(Married) couple without C. ","vocational + Abi","13","","",""
"Daily","2016","(Married) couple without C. ","higher vocational","10","","",""
"Daily","2016","(Married) couple without C. ","higher education","25","","",""
"Daily","2016","Single parent ","in school","4","","",""
"Daily","2016","Single parent ","inadequately","4","","",""
"Daily","2016","Single parent ","general elemantary","16","","",""
"Daily","2016","Single parent ","middle vocational","19","","",""
"Daily","2016","Single parent ","vocational + Abi","1","","",""
"Daily","2016","Single parent ","higher vocational","2","","",""
"Daily","2016","Single parent ","higher education","6","","",""
"Daily","2016","Couple + C. LE 16 ","in school","1","","",""
"Daily","2016","Couple + C. LE 16 ","inadequately","10","","",""
"Daily","2016","Couple + C. LE 16 ","general elemantary","21","","",""
"Daily","2016","Couple + C. LE 16 ","middle vocational","87","0.0453856042621913","0.0369574010684137","0.0538138074559689"
"Daily","2016","Couple + C. LE 16 ","vocational + Abi","22","","",""
"Daily","2016","Couple + C. LE 16 ","higher vocational","7","","",""
"Daily","2016","Couple + C. LE 16 ","higher education","26","","",""
"Daily","2016","Couple + C. GT 16 ","in school","7","","",""
"Daily","2016","Couple + C. GT 16 ","inadequately","1","","",""
"Daily","2016","Couple + C. GT 16 ","general elemantary","11","","",""
"Daily","2016","Couple + C. GT 16 ","middle vocational","25","","",""
"Daily","2016","Couple + C. GT 16 ","vocational + Abi","4","","",""
"Daily","2016","Couple + C. GT 16 ","higher vocational","1","","",""
"Daily","2016","Couple + C. GT 16 ","higher education","7","","",""
"Daily","2016","Couple + C. LE and GT 16","in school","10","","",""
"Daily","2016","Couple + C. LE and GT 16","inadequately","5","","",""
"Daily","2016","Couple + C. LE and GT 16","general elemantary","21","","",""
"Daily","2016","Couple + C. LE and GT 16","middle vocational","22","","",""
"Daily","2016","Couple + C. LE and GT 16","vocational + Abi","4","","",""
"Daily","2016","Couple + C. LE and GT 16","higher vocational","1","","",""
"Daily","2016","Couple + C. LE and GT 16","higher education","","","",""
"Four to six days a week","2016","1-pers.-HH","in school","","","",""
"Four to six days a week","2016","1-pers.-HH","inadequately","3","","",""
"Four to six days a week","2016","1-pers.-HH","general elemantary","32","0.0793212912063704","0.0532584353130721","0.105384147099669"
"Four to six days a week","2016","1-pers.-HH","middle vocational","108","0.0640388944105168","0.052182791619452","0.0758949972015816"
"Four to six days a week","2016","1-pers.-HH","vocational + Abi","23","","",""
"Four to six days a week","2016","1-pers.-HH","higher vocational","20","","",""
"Four to six days a week","2016","1-pers.-HH","higher education","52","0.0688101966764245","0.0517630424086429","0.0858573509442061"
"Four to six days a week","2016","(Married) couple without C. ","in school","","","",""
"Four to six days a week","2016","(Married) couple without C. ","inadequately","4","","",""
"Four to six days a week","2016","(Married) couple without C. ","general elemantary","58","0.109228244394242","0.0833934640587157","0.135063024729768"
"Four to six days a week","2016","(Married) couple without C. ","middle vocational","253","0.0843458120938303","0.0751898219867416","0.093501802200919"
"Four to six days a week","2016","(Married) couple without C. ","vocational + Abi","42","0.105349720358876","0.0774458169987504","0.133253623719001"
"Four to six days a week","2016","(Married) couple without C. ","higher vocational","34","0.0816498493089624","0.0582264304859348","0.10507326813199"
"Four to six days a week","2016","(Married) couple without C. ","higher education","119","0.0566414709969022","0.046578484993694","0.0667044570001104"
"Four to six days a week","2016","Single parent ","in school","10","","",""
"Four to six days a week","2016","Single parent ","inadequately","8","","",""
"Four to six days a week","2016","Single parent ","general elemantary","41","0.111027600515873","0.076388694659555","0.145666506372191"
"Four to six days a week","2016","Single parent ","middle vocational","97","0.11780644341662","0.0977854840170738","0.137827402816165"
"Four to six days a week","2016","Single parent ","vocational + Abi","24","","",""
"Four to six days a week","2016","Single parent ","higher vocational","8","","",""
"Four to six days a week","2016","Single parent ","higher education","21","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","in school","1","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","inadequately","29","","",""
"Four to six days a week","2016","Couple + C. LE 16 ","general elemantary","78","0.20129414948842","0.16542372786627","0.237164571110571"
"Four to six days a week","2016","Couple + C. LE 16 ","middle vocational","295","0.139120298773761","0.125107385589135","0.153133211958386"
"Four to six days a week","2016","Couple + C. LE 16 ","vocational + Abi","80","0.110192372663861","0.0868621505723735","0.133522594755349"
"Four to six days a week","2016","Couple + C. LE 16 ","higher vocational","36","0.0994246770950285","0.0661682941545224","0.132681060035535"
"Four to six days a week","2016","Couple + C. LE 16 ","higher education","142","0.0846447121644462","0.0715958651193037","0.0976935592095887"
"Four to six days a week","2016","Couple + C. GT 16 ","in school","11","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","inadequately","7","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","general elemantary","35","0.0968496743212138","0.0639798789616021","0.129719469680825"
"Four to six days a week","2016","Couple + C. GT 16 ","middle vocational","127","0.112690310164279","0.0954010095163415","0.129979610812217"
"Four to six days a week","2016","Couple + C. GT 16 ","vocational + Abi","18","","",""
"Four to six days a week","2016","Couple + C. GT 16 ","higher vocational","15","","",""
