"ple0181","year","sex","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Male","320","0.0270048853960553","0.0239690524305326","0.0300407183615781"
"Daily","2016","Female","256","0.0161132052643143","0.0139503731316555","0.0182760373969731"
"Four to six days a week","2016","Male","1081","0.0957205585320481","0.0902105113944639","0.101230605669632"
"Four to six days a week","2016","Female","1179","0.0907475727032749","0.085813346891859","0.0956817985146907"
"Two to three days a week","2016","Male","4505","0.392781819243254","0.383635434937566","0.401928203548942"
"Two to three days a week","2016","Female","5503","0.398390185793258","0.389980668861659","0.406799702724856"
"Two to four days a month","2016","Male","3545","0.338299455601654","0.329438454941991","0.347160456261318"
"Two to four days a month","2016","Female","4098","0.322048145652064","0.314021776956245","0.330074514347883"
"Once a month or less","2016","Male","1130","0.107688165244317","0.10188261097897","0.113493719509665"
"Once a month or less","2016","Female","1321","0.11778158812555","0.112244441306681","0.123318734944419"
"Never","2016","Male","371","0.0385051159826703","0.0349015367097404","0.0421086952556003"
"Never","2016","Female","662","0.0549193024615389","0.0510058845323484","0.0588327203907295"
"Daily","2017","Male","","","",""
"Daily","2017","Female","","","",""
"Four to six days a week","2017","Male","","","",""
"Four to six days a week","2017","Female","","","",""
"Two to three days a week","2017","Male","","","",""
"Two to three days a week","2017","Female","","","",""
"Two to four days a month","2017","Male","","","",""
"Two to four days a month","2017","Female","","","",""
"Once a month or less","2017","Male","","","",""
"Once a month or less","2017","Female","","","",""
"Never","2017","Male","","","",""
"Never","2017","Female","","","",""
"Daily","2018","Male","383","0.0304331956562943","0.0273244854010931","0.0335419059114954"
"Daily","2018","Female","306","0.0175974832499841","0.0154019461748323","0.0197930203251359"
"Four to six days a week","2018","Male","1248","0.106012532664861","0.100441163731766","0.111583901597955"
"Four to six days a week","2018","Female","1259","0.0893631410460246","0.084599680340795","0.0941266017512541"
"Two to three days a week","2018","Male","4768","0.407467935575299","0.398575509862608","0.416360361287989"
"Two to three days a week","2018","Female","5652","0.388762612855402","0.380622733589984","0.39690249212082"
"Two to four days a month","2018","Male","3775","0.318838431646603","0.310404540365435","0.327272322927772"
"Two to four days a month","2018","Female","4338","0.325974464014319","0.318147366816245","0.333801561212392"
"Once a month or less","2018","Male","1158","0.0996808475555266","0.0942593195768436","0.10510237553421"
"Once a month or less","2018","Female","1386","0.113941486412235","0.108635783803642","0.119247189020829"
"Never","2018","Male","397","0.0375670569014164","0.0341258845548407","0.0410082292479921"
"Never","2018","Female","836","0.064360812422035","0.0602631542917499","0.06845847055232"
