"ple0181","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","West Germany","45","0.0156267659804454","0.0108270133127205","0.0204265186481703"
"Daily","2016","1-pers.-HH","East Germany","20","","",""
"Daily","2016","(Married) couple without C. ","West Germany","85","0.0170480603934158","0.013580267925866","0.0205158528609657"
"Daily","2016","(Married) couple without C. ","East Germany","39","0.0213622995927964","0.0147949032836956","0.0279296959018973"
"Daily","2016","Single parent ","West Germany","44","0.0258478643196349","0.0183047731563541","0.0333909554829157"
"Daily","2016","Single parent ","East Germany","11","","",""
"Daily","2016","Couple + C. LE 16 ","West Germany","150","0.0326343164703476","0.0275798994141054","0.0376887335265898"
"Daily","2016","Couple + C. LE 16 ","East Germany","24","","",""
"Daily","2016","Couple + C. GT 16 ","West Germany","52","0.0218587910137688","0.0158868574311916","0.0278307245963459"
"Daily","2016","Couple + C. GT 16 ","East Germany","7","","",""
"Daily","2016","Couple + C. LE and GT 16","West Germany","59","0.0367029748941568","0.0279357820564642","0.0454701677318494"
"Daily","2016","Couple + C. LE and GT 16","East Germany","10","","",""
"Four to six days a week","2016","1-pers.-HH","West Germany","172","0.0690658028299011","0.0592529467216638","0.0788786589381384"
"Four to six days a week","2016","1-pers.-HH","East Germany","72","0.0847414677147211","0.0661607460777107","0.103322189351731"
"Four to six days a week","2016","(Married) couple without C. ","West Germany","362","0.0768414490592723","0.0697065901279889","0.0839763079905557"
"Four to six days a week","2016","(Married) couple without C. ","East Germany","156","0.0999039272427449","0.0862833985166512","0.113524455968839"
"Four to six days a week","2016","Single parent ","West Germany","189","0.1090182651259","0.0942030601632811","0.123833470088519"
"Four to six days a week","2016","Single parent ","East Germany","41","0.13961952037868","0.10701171491064","0.172227325846721"
"Four to six days a week","2016","Couple + C. LE 16 ","West Germany","563","0.124003004169965","0.114627257011685","0.133378751328244"
"Four to six days a week","2016","Couple + C. LE 16 ","East Germany","107","0.12048000038934","0.100424284229156","0.140535716549524"
"Four to six days a week","2016","Couple + C. GT 16 ","West Germany","234","0.114833281938416","0.101812185700857","0.127854378175976"
"Four to six days a week","2016","Couple + C. GT 16 ","East Germany","39","0.0813755423311217","0.054878195706547","0.107872888955696"
