"ple0181","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","65","0.0166429007781122","0.0123603963063027","0.0209254052499217"
"Daily","2016","(Married) couple without C. ","124","0.0178536894047255","0.0147981913912755","0.0209091874181756"
"Daily","2016","Single parent ","55","0.0271479836343988","0.0202528440165063","0.0340431232522914"
"Daily","2016","Couple + C. LE 16 ","174","0.0310441680168233","0.0265648019584191","0.0355235340752276"
"Daily","2016","Couple + C. GT 16 ","59","0.0208291571734216","0.0154542826091814","0.0262040317376617"
"Daily","2016","Couple + C. LE and GT 16","69","0.0344774170718364","0.0266308729337279","0.0423239612099448"
"Four to six days a week","2016","1-pers.-HH","244","0.0723086153123523","0.0636385080857826","0.080978722538922"
"Four to six days a week","2016","(Married) couple without C. ","518","0.0811480719975578","0.0748473286190086","0.087448815376107"
"Four to six days a week","2016","Single parent ","230","0.114078217168656","0.100590143285129","0.127566291052183"
"Four to six days a week","2016","Couple + C. LE 16 ","670","0.123406701071709","0.114912099838263","0.131901302305155"
"Four to six days a week","2016","Couple + C. GT 16 ","273","0.110144814403372","0.0983621110462141","0.121927517760529"
"Four to six days a week","2016","Couple + C. LE and GT 16","251","0.130277961421252","0.115801728661771","0.144754194180733"
"Two to three days a week","2016","1-pers.-HH","1180","0.341457765690495","0.325583706406431","0.357331824974558"
"Two to three days a week","2016","(Married) couple without C. ","2732","0.371008303781513","0.359861658154476","0.382154949408551"
"Two to three days a week","2016","Single parent ","1000","0.465702840186022","0.444538888591382","0.486866791780662"
"Two to three days a week","2016","Couple + C. LE 16 ","2643","0.446733996280362","0.433893966056508","0.459574026504215"
"Two to three days a week","2016","Couple + C. GT 16 ","1226","0.446448144587354","0.427738397580223","0.465157891594485"
"Two to three days a week","2016","Couple + C. LE and GT 16","954","0.467411393516547","0.445954076101342","0.488868710931751"
"Two to four days a month","2016","1-pers.-HH","1220","0.349474486145236","0.333513210818401","0.365435761472071"
"Two to four days a month","2016","(Married) couple without C. ","2636","0.361019613221269","0.349937078884333","0.372102147558205"
"Two to four days a month","2016","Single parent ","578","0.274321051941126","0.255390960386379","0.293251143495873"
"Two to four days a month","2016","Couple + C. LE 16 ","1641","0.296809305872562","0.285010179142176","0.308608432602949"
