"ple0181","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","2016","lower secondary degree","138","0.0166782148639972","0.0133672840542869","0.0199891456737074"
"Daily","2016","secondary school degree","139","0.0221074065124426","0.0185452931006879","0.0256695199241973"
"Daily","2016","college entrance qualification","100","0.0176696681810589","0.0145189947480727","0.020820341614045"
"Daily","2016","Other degree","118","0.0319475754518394","0.0258940276450582","0.0380011232586205"
"Daily","2016","no degree/no degree yet","52","0.0634111076432","0.0466180027248099","0.0802042125615901"
"Four to six days a week","2016","lower secondary degree","522","0.0896560975976334","0.0822699130912598","0.0970422821040069"
"Four to six days a week","2016","secondary school degree","589","0.0944882177490386","0.0874017608985415","0.101574674599536"
"Four to six days a week","2016","college entrance qualification","489","0.0793614480121512","0.0728973224010792","0.0858255736232232"
"Four to six days a week","2016","Other degree","409","0.111443231073644","0.100611171917311","0.122275290229977"
"Four to six days a week","2016","no degree/no degree yet","117","0.123673629261713","0.100988287657803","0.146358970865623"
"Two to three days a week","2016","lower secondary degree","2252","0.373466152066569","0.360959951621288","0.385972352511849"
"Two to three days a week","2016","secondary school degree","2687","0.386576629830895","0.374779096249978","0.398374163411812"
"Two to three days a week","2016","college entrance qualification","2730","0.394044483899137","0.382358819364503","0.405730148433772"
"Two to three days a week","2016","Other degree","1569","0.458705741638956","0.441553322362227","0.475858160915684"
"Two to three days a week","2016","no degree/no degree yet","378","0.453328140805282","0.419024238327213","0.487632043283352"
"Two to four days a month","2016","lower secondary degree","1916","0.348092078964585","0.33577613535268","0.36040802257649"
"Two to four days a month","2016","secondary school degree","2235","0.346771967629551","0.335241480277764","0.358302454981337"
"Two to four days a month","2016","college entrance qualification","2265","0.330778677340342","0.319527083283324","0.342030271397359"
"Two to four days a month","2016","Other degree","824","0.287410504725079","0.271832471980793","0.302988537469364"
"Two to four days a month","2016","no degree/no degree yet","172","0.233122446178927","0.203986515902979","0.262258376454875"
"Once a month or less","2016","lower secondary degree","726","0.137655555077338","0.128747872175924","0.146563237978752"
"Once a month or less","2016","secondary school degree","662","0.106336391093881","0.0988680995971441","0.113804682590619"
"Once a month or less","2016","college entrance qualification","723","0.112070384747722","0.104526498711595","0.11961427078385"
"Once a month or less","2016","Other degree","202","0.0680290753800769","0.0593616511918701","0.0766964995682838"
"Once a month or less","2016","no degree/no degree yet","59","0.0984744966531506","0.0779428054644789","0.119006187841822"
"Never","2016","lower secondary degree","193","0.0344519014298779","0.0297364742015123","0.0391673286582434"
"Never","2016","secondary school degree","233","0.0437193871841917","0.0387657639225318","0.0486730104458516"
"Never","2016","college entrance qualification","410","0.0660753378195887","0.0601346595210537","0.0720160161181238"
"Never","2016","Other degree","120","0.042463871730405","0.0355227611234289","0.0494049823373811"
"Never","2016","no degree/no degree yet","31","0.0279901794577272","0.016624065707829","0.0393562932076254"
"Daily","2017","lower secondary degree","","","",""
"Daily","2017","secondary school degree","","","",""
"Daily","2017","college entrance qualification","","","",""
"Daily","2017","Other degree","","","",""
"Daily","2017","no degree/no degree yet","","","",""
"Four to six days a week","2017","lower secondary degree","","","",""
"Four to six days a week","2017","secondary school degree","","","",""
"Four to six days a week","2017","college entrance qualification","","","",""
"Four to six days a week","2017","Other degree","","","",""
"Four to six days a week","2017","no degree/no degree yet","","","",""
"Two to three days a week","2017","lower secondary degree","","","",""
"Two to three days a week","2017","secondary school degree","","","",""
"Two to three days a week","2017","college entrance qualification","","","",""
"Two to three days a week","2017","Other degree","","","",""
"Two to three days a week","2017","no degree/no degree yet","","","",""
"Two to four days a month","2017","lower secondary degree","","","",""
"Two to four days a month","2017","secondary school degree","","","",""
"Two to four days a month","2017","college entrance qualification","","","",""
"Two to four days a month","2017","Other degree","","","",""
"Two to four days a month","2017","no degree/no degree yet","","","",""
"Once a month or less","2017","lower secondary degree","","","",""
"Once a month or less","2017","secondary school degree","","","",""
"Once a month or less","2017","college entrance qualification","","","",""
"Once a month or less","2017","Other degree","","","",""
"Once a month or less","2017","no degree/no degree yet","","","",""
"Never","2017","lower secondary degree","","","",""
"Never","2017","secondary school degree","","","",""
"Never","2017","college entrance qualification","","","",""
"Never","2017","Other degree","","","",""
"Never","2017","no degree/no degree yet","","","",""
"Daily","2018","lower secondary degree","154","0.0225403251662114","0.0186689192412602","0.0264117310911627"
