"ple0181","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","in school","22","","",""
"Daily","2016","16-34 y.","inadequately","14","","",""
"Daily","2016","16-34 y.","general elemantary","63","0.0473058253030443","0.0337274014366719","0.0608842491694167"
"Daily","2016","16-34 y.","middle vocational","89","0.036979694551401","0.029014010168365","0.044945378934437"
"Daily","2016","16-34 y.","vocational + Abi","15","","",""
"Daily","2016","16-34 y.","higher vocational","3","","",""
"Daily","2016","16-34 y.","higher education","15","","",""
"Daily","2016","35-65 y.","in school","","","",""
"Daily","2016","35-65 y.","inadequately","13","","",""
"Daily","2016","35-65 y.","general elemantary","32","0.0262360251257853","0.0163095675089531","0.0361624827426175"
"Daily","2016","35-65 y.","middle vocational","129","0.0186147880935072","0.0152914594642951","0.0219381167227193"
"Daily","2016","35-65 y.","vocational + Abi","34","0.0181772664219172","0.0112042712758348","0.0251502615679995"
"Daily","2016","35-65 y.","higher vocational","17","","",""
"Daily","2016","35-65 y.","higher education","49","0.0146458913585044","0.0107886151747381","0.0185031675422707"
"Daily","2016","66 and older","in school","","","",""
"Daily","2016","66 and older","inadequately","","","",""
"Daily","2016","66 and older","general elemantary","3","","",""
"Daily","2016","66 and older","middle vocational","30","0.0146081204266145","0.00977474397569257","0.0194414968775363"
"Daily","2016","66 and older","vocational + Abi","1","","",""
"Daily","2016","66 and older","higher vocational","5","","",""
"Daily","2016","66 and older","higher education","18","","",""
"Four to six days a week","2016","16-34 y.","in school","44","0.132407258732183","0.0958389417248772","0.168975575739488"
"Four to six days a week","2016","16-34 y.","inadequately","25","","",""
"Four to six days a week","2016","16-34 y.","general elemantary","158","0.176810233968568","0.152408596217996","0.20121187171914"
"Four to six days a week","2016","16-34 y.","middle vocational","272","0.131775659798312","0.117497991408552","0.146053328188072"
"Four to six days a week","2016","16-34 y.","vocational + Abi","69","0.1245600387429","0.0949878897839871","0.154132187701814"
"Four to six days a week","2016","16-34 y.","higher vocational","19","","",""
"Four to six days a week","2016","16-34 y.","higher education","95","0.109293047317598","0.0892941535099045","0.129291941125292"
"Four to six days a week","2016","35-65 y.","in school","","","",""
"Four to six days a week","2016","35-65 y.","inadequately","40","0.163114870935836","0.116660705951626","0.209569035920046"
"Four to six days a week","2016","35-65 y.","general elemantary","114","0.109105487663084","0.0897432805613666","0.128467694764802"
"Four to six days a week","2016","35-65 y.","middle vocational","603","0.0964992471504562","0.0892390116568091","0.103759482644103"
"Four to six days a week","2016","35-65 y.","vocational + Abi","128","0.0950308059207431","0.079723892042267","0.110337719799219"
"Four to six days a week","2016","35-65 y.","higher vocational","85","0.0986456261679618","0.0797139815701006","0.117577270765823"
"Four to six days a week","2016","35-65 y.","higher education","250","0.0616037611915638","0.0538836525987155","0.0693238697844121"
"Four to six days a week","2016","66 and older","in school","","","",""
"Four to six days a week","2016","66 and older","inadequately","3","","",""
"Four to six days a week","2016","66 and older","general elemantary","38","0.0569329911836431","0.0385749788664845","0.0752910035008017"
"Four to six days a week","2016","66 and older","middle vocational","133","0.0552196121562696","0.0460180604104988","0.0644211639020405"
"Four to six days a week","2016","66 and older","vocational + Abi","7","","",""
"Four to six days a week","2016","66 and older","higher vocational","22","","",""
"Four to six days a week","2016","66 and older","higher education","55","0.0450014903681416","0.033112596090988","0.0568903846452951"
"Two to three days a week","2016","16-34 y.","in school","150","0.45217915985648","0.398480225514399","0.505878094198561"
"Two to three days a week","2016","16-34 y.","inadequately","46","0.345817731160608","0.259999393008168","0.431636069313048"
"Two to three days a week","2016","16-34 y.","general elemantary","415","0.453340185978326","0.4214992387666","0.485181133190052"
"Two to three days a week","2016","16-34 y.","middle vocational","978","0.44305063733104","0.422082577304035","0.464018697358045"
"Two to three days a week","2016","16-34 y.","vocational + Abi","235","0.523459985320362","0.478732779745425","0.568187190895299"
"Two to three days a week","2016","16-34 y.","higher vocational","37","0.23291229983804","0.154631040963176","0.311193558712905"
"Two to three days a week","2016","16-34 y.","higher education","413","0.433426486691274","0.401663001885295","0.465189971497252"
"Two to three days a week","2016","35-65 y.","in school","","","",""
"Two to three days a week","2016","35-65 y.","inadequately","117","0.438918928030695","0.376523909479266","0.501313946582124"
"Two to three days a week","2016","35-65 y.","general elemantary","472","0.415466473399302","0.384861562008684","0.446071384789921"
"Two to three days a week","2016","35-65 y.","middle vocational","2792","0.412531121418739","0.400426665400081","0.424635577437397"
"Two to three days a week","2016","35-65 y.","vocational + Abi","636","0.426741975103622","0.40092553906495","0.452558411142294"
"Two to three days a week","2016","35-65 y.","higher vocational","373","0.355775801726101","0.325380366905209","0.386171236546993"
"Two to three days a week","2016","35-65 y.","higher education","1549","0.394349157680469","0.37865715812043","0.410041157240507"
"Two to three days a week","2016","66 and older","in school","","","",""
"Two to three days a week","2016","66 and older","inadequately","18","","",""
"Two to three days a week","2016","66 and older","general elemantary","231","0.384234964904021","0.345697926692105","0.422772003115938"
"Two to three days a week","2016","66 and older","middle vocational","810","0.326722647488454","0.307828139610119","0.345617155366788"
"Two to three days a week","2016","66 and older","vocational + Abi","49","0.382892204807896","0.298351666449405","0.467432743166387"
"Two to three days a week","2016","66 and older","higher vocational","97","0.335453550934902","0.28314715584856","0.387759946021244"
"Two to three days a week","2016","66 and older","higher education","345","0.274007913298646","0.248429466705483","0.299586359891809"
"Two to four days a month","2016","16-34 y.","in school","75","0.241712978945047","0.19552192009902","0.287904037791074"
"Two to four days a month","2016","16-34 y.","inadequately","22","","",""
"Two to four days a month","2016","16-34 y.","general elemantary","205","0.223033557672315","0.1964078271781","0.249659288166531"
"Two to four days a month","2016","16-34 y.","middle vocational","524","0.234935264883913","0.217039638242449","0.252830891525377"
"Two to four days a month","2016","16-34 y.","vocational + Abi","107","0.195004496063045","0.159523208281594","0.230485783844496"
"Two to four days a month","2016","16-34 y.","higher vocational","38","0.435821168821614","0.3439875637399","0.527654773903328"
"Two to four days a month","2016","16-34 y.","higher education","253","0.256430485155459","0.228441451738854","0.284419518572064"
"Two to four days a month","2016","35-65 y.","in school","","","",""
"Two to four days a month","2016","35-65 y.","inadequately","53","0.198589198190322","0.14843002590303","0.248748370477615"
"Two to four days a month","2016","35-65 y.","general elemantary","266","0.291994673613986","0.263757309826155","0.320232037401816"
"Two to four days a month","2016","35-65 y.","middle vocational","2036","0.33631828506563","0.324701668571775","0.347934901559486"
"Two to four days a month","2016","35-65 y.","vocational + Abi","425","0.311297896027867","0.287129805875811","0.335465986179923"
"Two to four days a month","2016","35-65 y.","higher vocational","353","0.3889696148813","0.358017460507348","0.419921769255252"
"Two to four days a month","2016","35-65 y.","higher education","1317","0.378875932376778","0.363299630561815","0.39445223419174"
"Two to four days a month","2016","66 and older","in school","","","",""
"Two to four days a month","2016","66 and older","inadequately","11","","",""
"Two to four days a month","2016","66 and older","general elemantary","230","0.385231351797786","0.346675611353179","0.423787092242393"
"Two to four days a month","2016","66 and older","middle vocational","933","0.393402062075006","0.373722395191783","0.413081728958228"
"Two to four days a month","2016","66 and older","vocational + Abi","44","0.356472412381034","0.273172838858106","0.439771985903962"
"Two to four days a month","2016","66 and older","higher vocational","135","0.383636898363602","0.329765974474232","0.437507822252972"
"Two to four days a month","2016","66 and older","higher education","470","0.388513873779637","0.360561207499716","0.416466540059557"
"Once a month or less","2016","16-34 y.","in school","19","","",""
"Once a month or less","2016","16-34 y.","inadequately","10","","",""
"Once a month or less","2016","16-34 y.","general elemantary","72","0.066419254428607","0.0504920983462731","0.0823464105109409"
"Once a month or less","2016","16-34 y.","middle vocational","173","0.086986379436122","0.0750907351659299","0.0988820237063141"
"Once a month or less","2016","16-34 y.","vocational + Abi","23","","",""
"Once a month or less","2016","16-34 y.","higher vocational","7","","",""
"Once a month or less","2016","16-34 y.","higher education","92","0.126604643333222","0.105290271297556","0.147919015368888"
"Once a month or less","2016","35-65 y.","in school","","","",""
"Once a month or less","2016","35-65 y.","inadequately","16","","",""
"Once a month or less","2016","35-65 y.","general elemantary","87","0.130986110843824","0.110033198100078","0.151939023587571"
"Once a month or less","2016","35-65 y.","middle vocational","618","0.105987435232953","0.098418696944139","0.113556173521766"
"Once a month or less","2016","35-65 y.","vocational + Abi","123","0.110478658169658","0.0941159224392837","0.126841393900032"
"Once a month or less","2016","35-65 y.","higher vocational","93","0.101289053679563","0.0821335792287436","0.120444528130383"
"Once a month or less","2016","35-65 y.","higher education","372","0.097695366424721","0.0881621326577543","0.107228600191688"
"Once a month or less","2016","66 and older","in school","","","",""
"Once a month or less","2016","66 and older","inadequately","2","","",""
"Once a month or less","2016","66 and older","general elemantary","87","0.140998796352453","0.113426244077614","0.168571348627292"
"Once a month or less","2016","66 and older","middle vocational","338","0.148065051345933","0.133757066875418","0.162373035816448"
"Once a month or less","2016","66 and older","vocational + Abi","19","","",""
"Once a month or less","2016","66 and older","higher vocational","41","0.137097032184901","0.0989930004394976","0.175201063930304"
"Once a month or less","2016","66 and older","higher education","213","0.198448943055285","0.175576283792114","0.221321602318455"
"Never","2016","16-34 y.","in school","20","","",""
"Never","2016","16-34 y.","inadequately","1","","",""
