"ple0181","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","(0) in school","","","",""
"Daily","2016","1-pers.-HH","(1a) inadequately completed","3","","",""
"Daily","2016","1-pers.-HH","(1b) general elementary school","9","","",""
"Daily","2016","1-pers.-HH","(1c) basic vocational qualification","17","","",""
"Daily","2016","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Daily","2016","1-pers.-HH","(2a) intermediate vocational","11","","",""
"Daily","2016","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Daily","2016","1-pers.-HH","(2c_voc) vocational maturity certificate","4","","",""
"Daily","2016","1-pers.-HH","(3a) lower tertiary education","6","","",""
"Daily","2016","1-pers.-HH","(3b) higher tertiary education","11","","",""
"Daily","2016","(Married) couple without C. ","(0) in school","","","",""
"Daily","2016","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"Daily","2016","(Married) couple without C. ","(1b) general elementary school","10","","",""
"Daily","2016","(Married) couple without C. ","(1c) basic vocational qualification","32","0.0156477507346191","0.0102139906268828","0.0210815108423555"
"Daily","2016","(Married) couple without C. ","(2b) intermediate general qualification","3","","",""
"Daily","2016","(Married) couple without C. ","(2a) intermediate vocational","23","","",""
"Daily","2016","(Married) couple without C. ","(2c_gen) general maturity certificate","4","","",""
"Daily","2016","(Married) couple without C. ","(2c_voc) vocational maturity certificate","19","","",""
"Daily","2016","(Married) couple without C. ","(3a) lower tertiary education","10","","",""
"Daily","2016","(Married) couple without C. ","(3b) higher tertiary education","15","","",""
"Daily","2016","Single parent ","(0) in school","4","","",""
"Daily","2016","Single parent ","(1a) inadequately completed","3","","",""
"Daily","2016","Single parent ","(1b) general elementary school","9","","",""
"Daily","2016","Single parent ","(1c) basic vocational qualification","5","","",""
"Daily","2016","Single parent ","(2b) intermediate general qualification","8","","",""
"Daily","2016","Single parent ","(2a) intermediate vocational","12","","",""
"Daily","2016","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Daily","2016","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Daily","2016","Single parent ","(3a) lower tertiary education","4","","",""
"Daily","2016","Single parent ","(3b) higher tertiary education","2","","",""
"Daily","2016","Couple + C. LE 16 ","(0) in school","1","","",""
