"ple0181","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Not Employed","(0) in school","17","","",""
"Daily","2016","Not Employed","(1a) inadequately completed","11","","",""
"Daily","2016","Not Employed","(1b) general elementary school","32","0.0207641725763254","0.0118592337987508","0.0296691113538999"
"Daily","2016","Not Employed","(1c) basic vocational qualification","46","0.0170015040494337","0.0117078489175804","0.022295159181287"
"Daily","2016","Not Employed","(2b) intermediate general qualification","10","","",""
"Daily","2016","Not Employed","(2a) intermediate vocational","30","0.0233732962385255","0.0151508246374225","0.0315957678396284"
"Daily","2016","Not Employed","(2c_gen) general maturity certificate","11","","",""
"Daily","2016","Not Employed","(2c_voc) vocational maturity certificate","8","","",""
"Daily","2016","Not Employed","(3a) lower tertiary education","11","","",""
"Daily","2016","Not Employed","(3b) higher tertiary education","19","","",""
"Daily","2016","Employed","(0) in school","5","","",""
"Daily","2016","Employed","(1a) inadequately completed","19","","",""
"Daily","2016","Employed","(1b) general elementary school","44","0.0293057662747714","0.0184071354174234","0.0402043971321195"
"Daily","2016","Employed","(1c) basic vocational qualification","71","0.0189164591473744","0.0137788777314782","0.0240540405632706"
"Daily","2016","Employed","(2b) intermediate general qualification","17","","",""
"Daily","2016","Employed","(2a) intermediate vocational","71","0.0207504294080566","0.0163151345359144","0.0251857242801988"
"Daily","2016","Employed","(2c_gen) general maturity certificate","21","","",""
"Daily","2016","Employed","(2c_voc) vocational maturity certificate","52","0.0251276950864806","0.0182163087349604","0.0320390814380009"
"Daily","2016","Employed","(3a) lower tertiary education","12","","",""
"Daily","2016","Employed","(3b) higher tertiary education","40","0.0103064482321917","0.00673210637892703","0.0138807900854564"
"Four to six days a week","2016","Not Employed","(0) in school","34","0.118769042814672","0.0795204276180325","0.158017658011311"
"Four to six days a week","2016","Not Employed","(1a) inadequately completed","35","0.10909352485069","0.0696516078395793","0.148535441861801"
"Four to six days a week","2016","Not Employed","(1b) general elementary school","94","0.0794064019076562","0.0625217656261211","0.0962910381891912"
"Four to six days a week","2016","Not Employed","(1c) basic vocational qualification","166","0.0692681011295801","0.058870946883928","0.0796652553752322"
"Four to six days a week","2016","Not Employed","(2b) intermediate general qualification","29","","",""
"Four to six days a week","2016","Not Employed","(2a) intermediate vocational","90","0.0740980039329907","0.0598431140213699","0.0883528938446116"
"Four to six days a week","2016","Not Employed","(2c_gen) general maturity certificate","51","0.102409482396025","0.0737529869761927","0.131065977815857"
"Four to six days a week","2016","Not Employed","(2c_voc) vocational maturity certificate","36","0.0783466934049008","0.0536013708758254","0.103092015933976"
"Four to six days a week","2016","Not Employed","(3a) lower tertiary education","37","0.0692455634020409","0.0473620850576685","0.0911290417464133"
"Four to six days a week","2016","Not Employed","(3b) higher tertiary education","56","0.0443709841679421","0.0312973648334614","0.0574446035024229"
"Four to six days a week","2016","Employed","(0) in school","11","","",""
"Four to six days a week","2016","Employed","(1a) inadequately completed","37","0.131682573893683","0.0884493550068023","0.174915792780564"
"Four to six days a week","2016","Employed","(1b) general elementary school","132","0.151079963557898","0.127938490244673","0.174221436871123"
"Four to six days a week","2016","Employed","(1c) basic vocational qualification","296","0.104862239039499","0.0933080278533816","0.116416450225615"
"Four to six days a week","2016","Employed","(2b) intermediate general qualification","63","0.149697488505768","0.115738155574819","0.183656821436718"
"Four to six days a week","2016","Employed","(2a) intermediate vocational","363","0.096004445722192","0.0868382087888146","0.105170682655569"
"Four to six days a week","2016","Employed","(2c_gen) general maturity certificate","85","0.115875321815249","0.0939811387218781","0.13776950490862"
"Four to six days a week","2016","Employed","(2c_voc) vocational maturity certificate","212","0.120088968676281","0.105734539835261","0.134443397517302"
