"ple0181","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Full Time","West Germany","180","0.025700296697011","0.0220304026855139","0.0293701907085081"
"Daily","2016","Full Time","East Germany","46","0.0200740838928357","0.013821685349798","0.0263264824358734"
"Daily","2016","Part Time","West Germany","123","0.0151280057828952","0.0119625611139391","0.0182934504518513"
"Daily","2016","Part Time","East Germany","19","","",""
"Daily","2016","Not Working","West Germany","161","0.0216084462575356","0.0179635177807766","0.0252533747342947"
"Daily","2016","Not Working","East Germany","47","0.0240719771354162","0.0171232026765871","0.0310207515942452"
"Four to six days a week","2016","Full Time","West Germany","716","0.100983419965536","0.0939955139372827","0.107971325993788"
"Four to six days a week","2016","Full Time","East Germany","183","0.0967247693427015","0.083547935608462","0.109901603076941"
"Four to six days a week","2016","Part Time","West Germany","579","0.104641006696278","0.0967031446620587","0.112578868730496"
"Four to six days a week","2016","Part Time","East Germany","116","0.131951421816388","0.112818781400239","0.151084062232536"
"Four to six days a week","2016","Not Working","West Germany","505","0.0721378827423494","0.0656523700923234","0.0786233953923753"
"Four to six days a week","2016","Not Working","East Germany","161","0.0844182693707691","0.0718142163406712","0.0970223224008671"
"Two to three days a week","2016","Full Time","West Germany","3070","0.40779554745398","0.396398424276285","0.419192670631676"
"Two to three days a week","2016","Full Time","East Germany","797","0.409366863764084","0.387446517452553","0.431287210075615"
"Two to three days a week","2016","Part Time","West Germany","2493","0.403770503305213","0.391046375722114","0.416494630888312"
"Two to three days a week","2016","Part Time","East Germany","500","0.36886687832473","0.341590219375896","0.396143537273563"
"Two to three days a week","2016","Not Working","West Germany","2454","0.383119712920101","0.370932943656959","0.395306482183243"
"Two to three days a week","2016","Not Working","East Germany","694","0.36748428080454","0.34562688155351","0.38934168005557"
"Two to four days a month","2016","Full Time","West Germany","2232","0.329798652730929","0.31889516962665","0.340702135835208"
"Two to four days a month","2016","Full Time","East Germany","680","0.345812706557545","0.32460939525169","0.367016017863401"
"Two to four days a month","2016","Part Time","West Germany","1684","0.303070815399264","0.291152349010712","0.314989281787816"
"Two to four days a month","2016","Part Time","East Germany","392","0.323967831470859","0.297511447644487","0.350424215297232"
"Two to four days a month","2016","Not Working","West Germany","1960","0.337245986475775","0.325394564237685","0.349097408713864"
"Two to four days a month","2016","Not Working","East Germany","695","0.372516846740487","0.350598013398602","0.394435680082373"
"Once a month or less","2016","Full Time","West Germany","677","0.0956862370298962","0.0888640679886635","0.102508406071129"
"Once a month or less","2016","Full Time","East Germany","178","0.104917192155294","0.091256047141249","0.118578337169339"
"Once a month or less","2016","Part Time","West Germany","539","0.115437230333143","0.107150346154792","0.123724114511493"
"Once a month or less","2016","Part Time","East Germany","123","0.105348609674114","0.087993107592852","0.122704111755376"
"Once a month or less","2016","Not Working","West Germany","715","0.130957424879942","0.122500616636825","0.139414233123059"
"Once a month or less","2016","Not Working","East Germany","219","0.120178814825497","0.105436875945386","0.134920753705607"
"Never","2016","Full Time","West Germany","267","0.0400358461226481","0.0354892101687078","0.0445824820765884"
"Never","2016","Full Time","East Germany","49","0.023104384287539","0.0164070273720642","0.0298017412030138"
"Never","2016","Part Time","West Germany","294","0.0579524384832083","0.0518930853454397","0.0640117916209768"
"Never","2016","Part Time","East Germany","52","0.0519182152472197","0.0393758733321957","0.0644605571622436"
"Never","2016","Not Working","West Germany","318","0.0549305467242976","0.0492189213155076","0.0606421721330876"
"Never","2016","Not Working","East Germany","53","0.0313298111232907","0.0234319353957006","0.0392276868508808"
"Daily","2017","Full Time","West Germany","","","",""
"Daily","2017","Full Time","East Germany","","","",""
"Daily","2017","Part Time","West Germany","","","",""
"Daily","2017","Part Time","East Germany","","","",""
"Daily","2017","Not Working","West Germany","","","",""
"Daily","2017","Not Working","East Germany","","","",""
"Four to six days a week","2017","Full Time","West Germany","","","",""
"Four to six days a week","2017","Full Time","East Germany","","","",""
"Four to six days a week","2017","Part Time","West Germany","","","",""
"Four to six days a week","2017","Part Time","East Germany","","","",""
"Four to six days a week","2017","Not Working","West Germany","","","",""
"Four to six days a week","2017","Not Working","East Germany","","","",""
"Two to three days a week","2017","Full Time","West Germany","","","",""
"Two to three days a week","2017","Full Time","East Germany","","","",""
"Two to three days a week","2017","Part Time","West Germany","","","",""
"Two to three days a week","2017","Part Time","East Germany","","","",""
"Two to three days a week","2017","Not Working","West Germany","","","",""
"Two to three days a week","2017","Not Working","East Germany","","","",""
"Two to four days a month","2017","Full Time","West Germany","","","",""
"Two to four days a month","2017","Full Time","East Germany","","","",""
"Two to four days a month","2017","Part Time","West Germany","","","",""
"Two to four days a month","2017","Part Time","East Germany","","","",""
"Two to four days a month","2017","Not Working","West Germany","","","",""
"Two to four days a month","2017","Not Working","East Germany","","","",""
"Once a month or less","2017","Full Time","West Germany","","","",""
