"ple0181","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2016","West Germany","464","0.0215249655668177","0.0194596097780876","0.0235903213555479"
"Daily","2016","East Germany","112","0.0210235330002883","0.0170486127743868","0.0249984532261898"
"Four to six days a week","2016","West Germany","1800","0.0916215050201648","0.0875158646817477","0.095727145358582"
"Four to six days a week","2016","East Germany","460","0.10040627719307","0.0920791905958548","0.108733363790285"
"Two to three days a week","2016","West Germany","8017","0.397950375308744","0.390984441021791","0.404916309595697"
"Two to three days a week","2016","East Germany","1991","0.384962730416221","0.371480880121969","0.398444580710473"
"Two to four days a month","2016","West Germany","5876","0.325596583182889","0.318927769726595","0.332265396639183"
"Two to four days a month","2016","East Germany","1767","0.350395929301221","0.337177089620956","0.363614768981487"
"Once a month or less","2016","West Germany","1931","0.113352217474154","0.108840526499219","0.117863908449088"
"Once a month or less","2016","East Germany","520","0.11051078581662","0.101823939921525","0.119197631711715"
"Never","2016","West Germany","879","0.0499543534472308","0.0468540252071989","0.0530546816872627"
"Never","2016","East Germany","154","0.0327007442725793","0.0277729940526293","0.0376284944925293"
"Daily","2017","West Germany","","","",""
"Daily","2017","East Germany","","","",""
"Four to six days a week","2017","West Germany","","","",""
"Four to six days a week","2017","East Germany","","","",""
"Two to three days a week","2017","West Germany","","","",""
"Two to three days a week","2017","East Germany","","","",""
"Two to four days a month","2017","West Germany","","","",""
"Two to four days a month","2017","East Germany","","","",""
"Once a month or less","2017","West Germany","","","",""
"Once a month or less","2017","East Germany","","","",""
"Never","2017","West Germany","","","",""
"Never","2017","East Germany","","","",""
"Daily","2018","West Germany","570","0.023757345176525","0.0216488809325553","0.0258658094204946"
"Daily","2018","East Germany","119","0.0244036746521638","0.0203128044607871","0.0284945448435405"
"Four to six days a week","2018","West Germany","2012","0.0993227122500104","0.0951817879817654","0.103463636518255"
"Four to six days a week","2018","East Germany","495","0.0887584911926592","0.0812184327750958","0.0962985496102226"
"Two to three days a week","2018","West Germany","8196","0.398310075727393","0.391532327801592","0.405087823653193"
"Two to three days a week","2018","East Germany","2224","0.395947463274185","0.382981369847325","0.408913556701045"
"Two to four days a month","2018","West Germany","6213","0.317155262324311","0.310712303716021","0.323598220932601"
"Two to four days a month","2018","East Germany","1900","0.348028150441576","0.335398986037534","0.360657314845618"
"Once a month or less","2018","West Germany","1982","0.106286175468766","0.102019142239142","0.110553208698391"
"Once a month or less","2018","East Germany","562","0.110267017871654","0.10196266743804","0.118571368305267"
"Never","2018","West Germany","1068","0.0551684290529946","0.0520075279795525","0.0583293301264368"
"Never","2018","East Germany","165","0.032595202567762","0.0278872295144125","0.0373031756211115"
