"ple0181","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","1-pers.-HH","3","","",""
"Daily","2016","Schleswig-Holstein","(Married) couple without C. ","5","","",""
"Daily","2016","Schleswig-Holstein","Single parent ","2","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. LE 16 ","12","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. GT 16 ","4","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Hamburg","1-pers.-HH","","","",""
"Daily","2016","Hamburg","(Married) couple without C. ","2","","",""
"Daily","2016","Hamburg","Single parent ","1","","",""
"Daily","2016","Hamburg","Couple + C. LE 16 ","2","","",""
"Daily","2016","Hamburg","Couple + C. GT 16 ","1","","",""
"Daily","2016","Hamburg","Couple + C. LE and GT 16","3","","",""
"Daily","2016","Lower Saxony","1-pers.-HH","6","","",""
"Daily","2016","Lower Saxony","(Married) couple without C. ","16","","",""
"Daily","2016","Lower Saxony","Single parent ","9","","",""
"Daily","2016","Lower Saxony","Couple + C. LE 16 ","21","","",""
"Daily","2016","Lower Saxony","Couple + C. GT 16 ","12","","",""
"Daily","2016","Lower Saxony","Couple + C. LE and GT 16","10","","",""
"Daily","2016","Bremen","1-pers.-HH","","","",""
"Daily","2016","Bremen","(Married) couple without C. ","","","",""
"Daily","2016","Bremen","Single parent ","3","","",""
"Daily","2016","Bremen","Couple + C. LE 16 ","3","","",""
"Daily","2016","Bremen","Couple + C. GT 16 ","2","","",""
"Daily","2016","Bremen","Couple + C. LE and GT 16","","","",""
"Daily","2016","North Rhine-Westphalia","1-pers.-HH","18","","",""
"Daily","2016","North Rhine-Westphalia","(Married) couple without C. ","30","0.0248183328549025","0.0165501951075359","0.0330864706022691"
"Daily","2016","North Rhine-Westphalia","Single parent ","12","","",""
"Daily","2016","North Rhine-Westphalia","Couple + C. LE 16 ","58","0.0469489581769022","0.0352412906003582","0.0586566257534462"
"Daily","2016","North Rhine-Westphalia","Couple + C. GT 16 ","10","","",""
"Daily","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","21","","",""
"Daily","2016","Hesse","1-pers.-HH","3","","",""
"Daily","2016","Hesse","(Married) couple without C. ","8","","",""
"Daily","2016","Hesse","Single parent ","1","","",""
"Daily","2016","Hesse","Couple + C. LE 16 ","13","","",""
"Daily","2016","Hesse","Couple + C. GT 16 ","4","","",""
"Daily","2016","Hesse","Couple + C. LE and GT 16","5","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","2","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","4","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Single parent ","3","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","7","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","5","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Daily","2016","Baden-Württemberg","1-pers.-HH","3","","",""
"Daily","2016","Baden-Württemberg","(Married) couple without C. ","4","","",""
"Daily","2016","Baden-Württemberg","Single parent ","7","","",""
"Daily","2016","Baden-Württemberg","Couple + C. LE 16 ","11","","",""
"Daily","2016","Baden-Württemberg","Couple + C. GT 16 ","3","","",""
"Daily","2016","Baden-Württemberg","Couple + C. LE and GT 16","10","","",""
"Daily","2016","Bavaria","1-pers.-HH","6","","",""
"Daily","2016","Bavaria","(Married) couple without C. ","14","","",""
"Daily","2016","Bavaria","Single parent ","4","","",""
"Daily","2016","Bavaria","Couple + C. LE 16 ","22","","",""
"Daily","2016","Bavaria","Couple + C. GT 16 ","11","","",""
"Daily","2016","Bavaria","Couple + C. LE and GT 16","6","","",""
"Daily","2016","Berlin","1-pers.-HH","7","","",""
"Daily","2016","Berlin","(Married) couple without C. ","6","","",""
"Daily","2016","Berlin","Single parent ","2","","",""
"Daily","2016","Berlin","Couple + C. LE 16 ","3","","",""
"Daily","2016","Berlin","Couple + C. GT 16 ","","","",""
"Daily","2016","Berlin","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Brandenburg","1-pers.-HH","2","","",""
"Daily","2016","Brandenburg","(Married) couple without C. ","4","","",""
"Daily","2016","Brandenburg","Single parent ","","","",""
"Daily","2016","Brandenburg","Couple + C. LE 16 ","6","","",""
"Daily","2016","Brandenburg","Couple + C. GT 16 ","","","",""
"Daily","2016","Brandenburg","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Mecklenburg-Western Pomerania","1-pers.-HH","3","","",""
"Daily","2016","Mecklenburg-Western Pomerania","(Married) couple without C. ","6","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Single parent ","1","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","7","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","",""
"Daily","2016","Saxony","1-pers.-HH","8","","",""
"Daily","2016","Saxony","(Married) couple without C. ","13","","",""
"Daily","2016","Saxony","Single parent ","5","","",""
"Daily","2016","Saxony","Couple + C. LE 16 ","7","","",""
"Daily","2016","Saxony","Couple + C. GT 16 ","5","","",""
"Daily","2016","Saxony","Couple + C. LE and GT 16","4","","",""
"Daily","2016","Saxony-Anhalt","1-pers.-HH","1","","",""
"Daily","2016","Saxony-Anhalt","(Married) couple without C. ","6","","",""
"Daily","2016","Saxony-Anhalt","Single parent ","2","","",""
"Daily","2016","Saxony-Anhalt","Couple + C. LE 16 ","2","","",""
"Daily","2016","Saxony-Anhalt","Couple + C. GT 16 ","2","","",""
"Daily","2016","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Daily","2016","Thuringia","1-pers.-HH","3","","",""
"Daily","2016","Thuringia","(Married) couple without C. ","6","","",""
"Daily","2016","Thuringia","Single parent ","3","","",""
"Daily","2016","Thuringia","Couple + C. LE 16 ","","","",""
"Daily","2016","Thuringia","Couple + C. GT 16 ","","","",""
"Daily","2016","Thuringia","Couple + C. LE and GT 16","2","","",""
"Four to six days a week","2016","Schleswig-Holstein","1-pers.-HH","13","","",""
"Four to six days a week","2016","Schleswig-Holstein","(Married) couple without C. ","19","","",""
"Four to six days a week","2016","Schleswig-Holstein","Single parent ","8","","",""
