"ple0181","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","30","0.0247263143509446","0.0140255013051565","0.0354271273967327"
"Daily","2016","Hamburg","9","","",""
"Daily","2016","Lower Saxony","84","0.0349625453704136","0.0275438721527276","0.0423812185880995"
"Daily","2016","Bremen","8","","",""
"Daily","2016","North Rhine-Westphalia","153","0.0266079699144213","0.0221409106184756","0.0310750292103669"
"Daily","2016","Hesse","35","0.0253578806240183","0.0176232657859638","0.0330924954620727"
"Daily","2016","Rhineland-Palatinate,Saarland","27","","",""
"Daily","2016","Baden-Württemberg","41","0.0105642226409106","0.00678677353081135","0.0143416717510099"
"Daily","2016","Bavaria","66","0.0131711569052494","0.00956524296220953","0.0167770708482893"
"Daily","2016","Berlin","20","","",""
"Daily","2016","Brandenburg","14","","",""
"Daily","2016","Mecklenburg-Western Pomerania","19","","",""
"Daily","2016","Saxony","42","0.0222242441511733","0.0146367700449386","0.029811718257408"
"Daily","2016","Saxony-Anhalt","13","","",""
"Daily","2016","Thuringia","15","","",""
"Four to six days a week","2016","Schleswig-Holstein","101","0.127064308912005","0.104114623070794","0.150013994753216"
"Four to six days a week","2016","Hamburg","55","0.103579144276577","0.0745065357122983","0.132651752840855"
"Four to six days a week","2016","Lower Saxony","229","0.083090807666773","0.0719429275714747","0.0942386877620713"
"Four to six days a week","2016","Bremen","32","0.178440961687025","0.121874576876375","0.235007346497676"
"Four to six days a week","2016","North Rhine-Westphalia","574","0.102949215218826","0.0945140811568488","0.111384349280804"
"Four to six days a week","2016","Hesse","147","0.106292816555864","0.0911289759889615","0.121456657122766"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","95","0.0565388278184736","0.0447241881918686","0.0683534674450787"
"Four to six days a week","2016","Baden-Württemberg","210","0.081721407213268","0.0715999931350027","0.0918428212915332"
"Four to six days a week","2016","Bavaria","311","0.0778833894418133","0.0694072552597468","0.0863595236238799"
"Four to six days a week","2016","Berlin","82","0.0988032519667189","0.0792210695775972","0.118385434355841"
