"ple0181","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Not Employed","no migration background","117","0.0176761597428748","0.0143855298707847","0.0209667896149648"
"Daily","2016","Not Employed","direct migration background","66","0.0357708285261308","0.0261383373425389","0.0454033197097227"
"Daily","2016","Not Employed","indirect migration background","25","","",""
"Daily","2016","Employed","no migration background","180","0.0153434326932431","0.0130952890026819","0.0175915763838043"
"Daily","2016","Employed","direct migration background","136","0.0370617207446405","0.0306740802169834","0.0434493612722976"
"Daily","2016","Employed","indirect migration background","52","0.0518224137765386","0.0389884903582949","0.0646563371947824"
"Four to six days a week","2016","Not Employed","no migration background","420","0.0659123359805908","0.0597160007587204","0.0721086712024612"
"Four to six days a week","2016","Not Employed","direct migration background","179","0.10603267229162","0.0900641523830904","0.12200119220015"
"Four to six days a week","2016","Not Employed","indirect migration background","67","0.143353775784794","0.108751449202409","0.177956102367178"
"Four to six days a week","2016","Employed","no migration background","957","0.0914658974129858","0.0861933484036128","0.0967384464223589"
"Four to six days a week","2016","Employed","direct migration background","458","0.142975664478174","0.131139633554704","0.154811695401645"
"Four to six days a week","2016","Employed","indirect migration background","179","0.15524115008764","0.134274667243771","0.17620763293151"
"Two to three days a week","2016","Not Employed","no migration background","2267","0.360500251827037","0.34850993358677","0.372490570067305"
"Two to three days a week","2016","Not Employed","direct migration background","699","0.485004471929934","0.459083063937432","0.510925879922437"
"Two to three days a week","2016","Not Employed","indirect migration background","182","0.42950322063964","0.380625629860273","0.478380811419007"
"Two to three days a week","2016","Employed","no migration background","4723","0.39637520839468","0.387428625617849","0.405321791171511"
"Two to three days a week","2016","Employed","direct migration background","1617","0.444465409894465","0.427663719062627","0.461267100726304"
"Two to three days a week","2016","Employed","indirect migration background","520","0.399026978948866","0.370674933245339","0.427379024652394"
"Two to four days a month","2016","Not Employed","no migration background","2231","0.362178387910699","0.350175973545783","0.374180802275615"
"Two to four days a month","2016","Not Employed","direct migration background","350","0.272035354248031","0.24895450385333","0.295116204642731"
"Two to four days a month","2016","Not Employed","indirect migration background","74","0.195464230339695","0.156307510319365","0.234620950360024"
"Two to four days a month","2016","Employed","no migration background","3886","0.337662073451188","0.329012367133373","0.346311779769004"
"Two to four days a month","2016","Employed","direct migration background","816","0.261346164990813","0.246489990331526","0.276202339650099"
"Two to four days a month","2016","Employed","indirect migration background","286","0.288622086894515","0.262387710090971","0.314856463698059"
"Once a month or less","2016","Not Employed","no migration background","822","0.141270335309054","0.132572494479333","0.149968176138775"
"Once a month or less","2016","Not Employed","direct migration background","84","0.0625178310065632","0.0499613643861679","0.0750742976269585"
"Once a month or less","2016","Not Employed","indirect migration background","28","","",""
"Once a month or less","2016","Employed","no migration background","1237","0.112552953523723","0.106772391295866","0.118333515751579"
"Once a month or less","2016","Employed","direct migration background","212","0.0777235546245536","0.068670704340024","0.0867764049090831"
"Once a month or less","2016","Employed","indirect migration background","68","0.0621178027363827","0.0481432482624227","0.0760923572103427"
"Never","2016","Not Employed","no migration background","303","0.052462529229744","0.0468947687542105","0.0580302897052776"
"Never","2016","Not Employed","direct migration background","50","0.0386388419977206","0.0286425410142625","0.0486351429811788"
"Never","2016","Not Employed","indirect migration background","18","","",""
"Never","2016","Employed","no migration background","500","0.0466004345241801","0.0427451816770005","0.0504556873713597"
"Never","2016","Employed","direct migration background","121","0.0364274852673536","0.0300926511108804","0.0427623194238269"
"Never","2016","Employed","indirect migration background","41","0.0431695675560572","0.0314026659695471","0.0549364691425674"
"Daily","2017","Not Employed","no migration background","","","",""
"Daily","2017","Not Employed","direct migration background","","","",""
"Daily","2017","Not Employed","indirect migration background","","","",""
"Daily","2017","Employed","no migration background","","","",""
"Daily","2017","Employed","direct migration background","","","",""
"Daily","2017","Employed","indirect migration background","","","",""
"Four to six days a week","2017","Not Employed","no migration background","","","",""
"Four to six days a week","2017","Not Employed","direct migration background","","","",""
"Four to six days a week","2017","Not Employed","indirect migration background","","","",""
"Four to six days a week","2017","Employed","no migration background","","","",""
"Four to six days a week","2017","Employed","direct migration background","","","",""
"Four to six days a week","2017","Employed","indirect migration background","","","",""
"Two to three days a week","2017","Not Employed","no migration background","","","",""
"Two to three days a week","2017","Not Employed","direct migration background","","","",""
"Two to three days a week","2017","Not Employed","indirect migration background","","","",""
"Two to three days a week","2017","Employed","no migration background","","","",""
"Two to three days a week","2017","Employed","direct migration background","","","",""
"Two to three days a week","2017","Employed","indirect migration background","","","",""
"Two to four days a month","2017","Not Employed","no migration background","","","",""
"Two to four days a month","2017","Not Employed","direct migration background","","","",""
"Two to four days a month","2017","Not Employed","indirect migration background","","","",""
"Two to four days a month","2017","Employed","no migration background","","","",""
"Two to four days a month","2017","Employed","direct migration background","","","",""
"Two to four days a month","2017","Employed","indirect migration background","","","",""
"Once a month or less","2017","Not Employed","no migration background","","","",""
"Once a month or less","2017","Not Employed","direct migration background","","","",""
"Once a month or less","2017","Not Employed","indirect migration background","","","",""
"Once a month or less","2017","Employed","no migration background","","","",""
"Once a month or less","2017","Employed","direct migration background","","","",""
"Once a month or less","2017","Employed","indirect migration background","","","",""
"Never","2017","Not Employed","no migration background","","","",""
"Never","2017","Not Employed","direct migration background","","","",""
"Never","2017","Not Employed","indirect migration background","","","",""
"Never","2017","Employed","no migration background","","","",""
"Never","2017","Employed","direct migration background","","","",""
"Never","2017","Employed","indirect migration background","","","",""
"Daily","2018","Not Employed","no migration background","95","0.0136608159793368","0.0108200524934625","0.0165015794652111"
"Daily","2018","Not Employed","direct migration background","56","0.0383266931593372","0.0280627813378097","0.0485906049808648"
"Daily","2018","Not Employed","indirect migration background","37","0.0993982377307073","0.0701869093756379","0.128609566085777"
"Daily","2018","Employed","no migration background","274","0.0209238596870706","0.0184596666655917","0.0233880527085496"
"Daily","2018","Employed","direct migration background","142","0.0396208891847428","0.0327318890333986","0.046509889336087"
"Daily","2018","Employed","indirect migration background","85","0.0450330427081213","0.0337817440370768","0.0562843413791658"
"Four to six days a week","2018","Not Employed","no migration background","494","0.072243540973219","0.0659077605338246","0.0785793214126135"
"Four to six days a week","2018","Not Employed","direct migration background","187","0.15236867147678","0.133155467341052","0.171581875612507"
"Four to six days a week","2018","Not Employed","indirect migration background","70","0.150331966054987","0.115438358171813","0.185225573938161"
"Four to six days a week","2018","Employed","no migration background","1140","0.0944110465583659","0.0893769382592558","0.099445154857476"
"Four to six days a week","2018","Employed","direct migration background","438","0.12652115809515","0.114780822620809","0.138261493569491"
"Four to six days a week","2018","Employed","indirect migration background","178","0.144563919932066","0.125484438136154","0.163643401727977"
"Two to three days a week","2018","Not Employed","no migration background","2344","0.344404305718105","0.332775477752698","0.356033133683511"
"Two to three days a week","2018","Not Employed","direct migration background","632","0.436179469205019","0.409666918657125","0.462692019752913"
"Two to three days a week","2018","Not Employed","indirect migration background","177","0.442924632374105","0.394427343350627","0.491421921397582"
"Two to three days a week","2018","Employed","no migration background","5212","0.399442733298694","0.391010355312442","0.407875111284946"
"Two to three days a week","2018","Employed","direct migration background","1474","0.485580407098142","0.467929701921504","0.50323111227478"
"Two to three days a week","2018","Employed","indirect migration background","581","0.453633134830818","0.42662233798399","0.480643931677646"
"Two to four days a month","2018","Not Employed","no migration background","2290","0.364750926519344","0.352970694744301","0.376531158294387"
"Two to four days a month","2018","Not Employed","direct migration background","343","0.277368235984223","0.253433130673055","0.30130334129539"
"Two to four days a month","2018","Not Employed","indirect migration background","72","0.173046350947985","0.136113113789559","0.209979588106411"
"Two to four days a month","2018","Employed","no migration background","4372","0.330008349401482","0.321912866692831","0.338103832110134"
"Two to four days a month","2018","Employed","direct migration background","720","0.251700979655099","0.236374134350685","0.267027824959514"
"Two to four days a month","2018","Employed","indirect migration background","316","0.23543175200723","0.212412909502108","0.258450594512352"
"Once a month or less","2018","Not Employed","no migration background","826","0.142227873711515","0.133679924428913","0.150775822994117"
"Once a month or less","2018","Not Employed","direct migration background","83","0.0682827705905398","0.0547979216072631","0.0817676195738166"
"Once a month or less","2018","Not Employed","indirect migration background","25","","",""
"Once a month or less","2018","Employed","no migration background","1339","0.104873189645357","0.0995982182214102","0.110148161069304"
"Once a month or less","2018","Employed","direct migration background","190","0.0588209291885845","0.0505114308812576","0.0671304274959113"
"Once a month or less","2018","Employed","indirect migration background","81","0.0700965206372688","0.0562445997561802","0.0839484415183573"
"Never","2018","Not Employed","no migration background","365","0.0627125370984806","0.0567792248716261","0.0686458493253351"
"Never","2018","Not Employed","direct migration background","43","0.0274741595841011","0.0187351696383088","0.0362131495298935"
"Never","2018","Not Employed","indirect migration background","22","","",""
"Never","2018","Employed","no migration background","623","0.0503408214090306","0.046576474634614","0.0541051681834471"
"Never","2018","Employed","direct migration background","116","0.0377556367782811","0.0310242224890964","0.0444870510674658"
"Never","2018","Employed","indirect migration background","64","0.0512416298844961","0.0392788499668345","0.0632044098021577"
