"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","general elemantary","4.04","4","2551","3","3","5","5","6","4","4.08","1","6","4","4"
"2016","higher education","3.95","4","5847","3","3","4","5","6","3.93","3.97","1","6","4","4"
"2016","higher vocational","3.88","4","1384","3","3","4","5","6","3.83","3.93","1","6","4","4"
"2016","in school","4.46","4","331","3","4","5","6","6","4.35","4.57","2","6","4","4"
"2016","inadequately","3.99","4","400","3","3","5","5","6","3.88","4.1","1","6","4","4"
"2016","middle vocational","3.98","4","10858","3","3","5","5","6","3.96","4","1","6","4","4"
"2016","vocational + Abi","3.92","4","2017","3","3","4","5","6","3.88","3.96","1","6","4","4"
"2017","general elemantary","","","","","","","","","","","","","",""
"2017","higher education","","","","","","","","","","","","","",""
"2017","higher vocational","","","","","","","","","","","","","",""
"2017","in school","","","","","","","","","","","","","",""
"2017","inadequately","","","","","","","","","","","","","",""
"2017","middle vocational","","","","","","","","","","","","","",""
"2017","vocational + Abi","","","","","","","","","","","","","",""
"2018","general elemantary","4.09","4","2653","3","3","5","5","6","4.05","4.13","1","6","4","4"
"2018","higher education","3.97","4","6286","3","3","4","5","6","3.95","3.99","1","6","4","4"
"2018","higher vocational","3.96","4","1436","3","3","4","5","6","3.91","4.01","1","6","4","4"
"2018","in school","4.38","4","339","3","4","5","6","6","4.27","4.49","1","6","4","4"
"2018","inadequately","4.15","4","485","3","4","5","5","6","4.05","4.25","1","6","4","4"
"2018","middle vocational","4.01","4","11344","3","3","5","5","6","3.99","4.03","1","6","4","4"
"2018","vocational + Abi","4.03","4","2105","3","4","5","5","6","3.99","4.07","1","6","4","4"
