"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"2016","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"2016","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2016","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2016","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2016","college entrance qualification","(2c_gen) general maturity certificate","4.19","4","946","3","4","5","6","6","4.13","4.25","1","6","4","4"
"2016","college entrance qualification","(2c_voc) vocational maturity certificate","3.96","4","1758","3","3","4","5","6","3.92","4","1","6","4","4"
"2016","college entrance qualification","(3a) lower tertiary education","3.96","4","1217","3","3","4","5","6","3.91","4.01","1","6","4","4"
"2016","college entrance qualification","(3b) higher tertiary education","3.96","4","2810","3","3","4","5","6","3.93","3.99","1","6","4","4"
"2016","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"2016","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","lower secondary degree","(1b) general elementary school","4.08","4","1342","3","3","5","5","6","4.03","4.13","1","6","4","4"
"2016","lower secondary degree","(1c) basic vocational qualification","3.92","4","4264","3","3","4","5","6","3.89","3.95","1","6","4","4"
"2016","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2016","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2016","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2016","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2016","lower secondary degree","(3a) lower tertiary education","3.76","4","92","3","3","4","5","6","3.57","3.95","1","6","4","4"
"2016","lower secondary degree","(3b) higher tertiary education","3.7","4","33","3","3","4","5","5","3.44","3.96","2","5","4","4"
"2016","no degree/no degree yet","(0) in school","4.46","4","332","3","4","5","6","6","4.35","4.57","2","6","4","4"
