"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"2016","college entrance qualification","higher education","3.96","4","4027","3","3","4","5","6","3.93","3.99","1","6","4","4"
"2016","college entrance qualification","higher vocational","3.89","4","386","3","3","4","5","6","3.8","3.98","1","6","4","4"
"2016","college entrance qualification","in school","","","","","","","","","","","","","",""
"2016","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"2016","college entrance qualification","middle vocational","4.19","4","946","3","4","5","6","6","4.13","4.25","1","6","4","4"
"2016","college entrance qualification","vocational + Abi","3.98","4","1372","3","3","4","5","6","3.93","4.03","1","6","4","4"
"2016","lower secondary degree","general elemantary","4.08","4","1343","3","3","5","5","6","4.03","4.13","1","6","4","4"
"2016","lower secondary degree","higher education","3.74","4","125","3","3","4","5","6","3.58","3.9","1","6","4","4"
"2016","lower secondary degree","higher vocational","3.96","4","314","3","3","4","5","6","3.86","4.06","1","6","4","4"
"2016","lower secondary degree","in school","","","","","","","","","","","","","",""
"2016","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"2016","lower secondary degree","middle vocational","3.91","4","3966","3","3","4","5","6","3.88","3.94","1","6","4","4"
"2016","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"2016","no degree/no degree yet","in school","4.46","4","331","3","4","5","6","6","4.35","4.57","2","6","4","4"
"2016","no degree/no degree yet","inadequately","3.98","4","351","3","3","5","5","6","3.86","4.1","1","6","4","4"
"2016","no degree/no degree yet","middle vocational","3.99","4","120","3","3","5","5","6","3.79","4.19","1","6","4","4"
"2016","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"2016","Other degree","general elemantary","3.67","4","520","3","3","4","5","6","3.59","3.75","1","6","4","4"
"2016","Other degree","higher education","3.83","4","1011","3","3","4","5","6","3.77","3.89","1","6","4","4"
"2016","Other degree","higher vocational","3.64","4","44","2","3","4","5","6","3.33","3.95","2","6","3","4"
"2016","Other degree","in school","","","","","","","","","","","","","",""
"2016","Other degree","inadequately","4.06","4","49","3","3","5","6","6","3.72","4.4","1","6","4","5"
"2016","Other degree","middle vocational","3.94","4","993","3","3","5","5","6","3.88","4","1","6","4","4"
