"year","bula_h","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2016","Baden-Württemberg","(0) in school","4.45","4","37","3","4","5","6","6","4.17","4.73","3","6","4","5"
"2016","Baden-Württemberg","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","Baden-Württemberg","(1b) general elementary school","4.03","4","237","3","3","5","5","6","3.91","4.15","1","6","4","4"
"2016","Baden-Württemberg","(1c) basic vocational qualification","4.15","4","595","3","4","5","5","6","4.08","4.22","1","6","4","4"
"2016","Baden-Württemberg","(2a) intermediate vocational","4.09","4","529","3","4","5","5","6","4.02","4.16","1","6","4","4"
"2016","Baden-Württemberg","(2b) intermediate general qualification","4.23","4","90","3","4","5","5","6","4.03","4.43","2","6","4","5"
"2016","Baden-Württemberg","(2c_gen) general maturity certificate","4.22","4","134","3","4","5","5","6","4.06","4.38","2","6","4","4"
"2016","Baden-Württemberg","(2c_voc) vocational maturity certificate","3.94","4","302","3","3","4","5","6","3.84","4.04","1","6","4","4"
"2016","Baden-Württemberg","(3a) lower tertiary education","3.93","4","237","3","3","4","5","6","3.82","4.04","2","6","4","4"
"2016","Baden-Württemberg","(3b) higher tertiary education","3.96","4","524","3","3","4","5","6","3.89","4.03","1","6","4","4"
"2016","Bavaria","(0) in school","4.04","4","48","3","4","4","5","6","3.8","4.28","2","6","4","5"
"2016","Bavaria","(1a) inadequately completed","4.14","4","62","3","3","5","6","6","3.87","4.41","1","6","4","4"
"2016","Bavaria","(1b) general elementary school","4","4","294","3","3","4","5","6","3.89","4.11","1","6","4","4"
"2016","Bavaria","(1c) basic vocational qualification","3.98","4","1058","3","3","5","5","6","3.93","4.03","1","6","4","4"
"2016","Bavaria","(2a) intermediate vocational","3.97","4","757","3","3","4","5","6","3.91","4.03","1","6","4","4"
"2016","Bavaria","(2b) intermediate general qualification","4.08","4","99","3","4","5","5","6","3.88","4.28","1","6","4","4"
"2016","Bavaria","(2c_gen) general maturity certificate","3.97","4","153","3","3","4","5","6","3.8","4.14","1","6","4","4"
"2016","Bavaria","(2c_voc) vocational maturity certificate","3.91","4","358","3","3","4","5","6","3.83","3.99","1","6","4","4"
"2016","Bavaria","(3a) lower tertiary education","3.96","4","285","3","3","4","5","6","3.87","4.05","2","6","4","4"
"2016","Bavaria","(3b) higher tertiary education","3.85","4","624","3","3","4","5","6","3.78","3.92","1","6","4","4"
"2016","Berlin","(0) in school","","","","","","","","","","","","","",""
"2016","Berlin","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","Berlin","(1b) general elementary school","4.19","4","40","3","3","5","5","6","3.84","4.54","3","6","4","5"
"2016","Berlin","(1c) basic vocational qualification","4.11","4","99","3","3","5","6","6","3.9","4.32","1","6","4","4"
"2016","Berlin","(2a) intermediate vocational","4.19","4","189","3","4","5","6","6","4.05","4.33","1","6","4","4"
"2016","Berlin","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2016","Berlin","(2c_gen) general maturity certificate","4.52","4","61","4","4","5","6","6","4.28","4.76","3","6","4","5"
"2016","Berlin","(2c_voc) vocational maturity certificate","3.92","4","75","3","3","5","5","6","3.69","4.15","2","6","4","4"
"2016","Berlin","(3a) lower tertiary education","4.1","4","80","3","4","5","6","6","3.88","4.32","1","6","4","4"
"2016","Berlin","(3b) higher tertiary education","4.1","4","278","3","3","5","6","6","3.98","4.22","1","6","4","4"
"2016","Brandenburg","(0) in school","","","","","","","","","","","","","",""
"2016","Brandenburg","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","Brandenburg","(1b) general elementary school","4.02","4","49","3","3","5","5","6","3.77","4.27","3","6","4","4"
"2016","Brandenburg","(1c) basic vocational qualification","3.99","4","167","3","3","5","5","6","3.85","4.13","1","6","4","4"
"2016","Brandenburg","(2a) intermediate vocational","4.12","4","289","3","4","5","5","6","4.01","4.23","2","6","4","4"
"2016","Brandenburg","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2016","Brandenburg","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2016","Brandenburg","(2c_voc) vocational maturity certificate","3.96","4","88","3","3","5","5","6","3.77","4.15","1","6","4","4"
"2016","Brandenburg","(3a) lower tertiary education","3.77","4","118","3","3","4","5","6","3.62","3.92","2","6","4","4"
"2016","Brandenburg","(3b) higher tertiary education","3.78","4","124","3","3","4","5","6","3.63","3.93","2","6","4","4"
"2016","Bremen","(0) in school","","","","","","","","","","","","","",""
"2016","Bremen","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","Bremen","(1b) general elementary school","","","","","","","","","","","","","",""
"2016","Bremen","(1c) basic vocational qualification","3.71","4","30","3","3","4","5","5","3.41","4.01","3","5","3","4"
"2016","Bremen","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2016","Bremen","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2016","Bremen","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2016","Bremen","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"2016","Bremen","(3a) lower tertiary education","","","","","","","","","","","","","",""
"2016","Bremen","(3b) higher tertiary education","3.73","4","31","3","3","4","4","6","3.47","3.99","3","6","3","4"
"2016","Hamburg","(0) in school","","","","","","","","","","","","","",""
"2016","Hamburg","(1a) inadequately completed","","","","","","","","","","","","","",""
"2016","Hamburg","(1b) general elementary school","","","","","","","","","","","","","",""
