"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","2.27","2","4431","1","2","3","3","4","2.25","2.29","1","4","2","2"
"1991","2.39","2","4179","1","2","3","4","4","2.36","2.42","1","4","2","2"
"1992","2.34","2","10998","1","2","3","3","4","2.32","2.36","1","4","2","2"
"1993","2.5","2","13105","1","2","3","4","4","2.49","2.51","1","4","2","2"
"1994","","","","","","","","","","","","","",""
"1995","2.27","2","13303","1","2","3","3","4","2.26","2.28","1","4","2","2"
"1996","2.32","2","13079","1","2","3","3","4","2.31","2.33","1","4","2","2"
"1997","2.53","3","12859","2","2","3","4","4","2.52","2.54","1","4","2","3"
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.41","2","19361","1","2","3","3","4","2.4","2.42","1","4","2","2"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","","","","","","","","","","","","","",""
"2012","","","","","","","","","","","","","",""
"2013","2.15","2","18891","1","2","3","3","4","2.14","2.16","1","4","2","2"
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","","","","","","","","","","","","","",""
"2017","","","","","","","","","","","","","",""
"2018","2.21","2","25605","1","2","3","3","4","2.2","2.22","1","4","2","2"
