"plh0221","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","West Germany","405","0.0981318737442987","0.088874377262229","0.107389370226368"
"1 Strongly disagree","2005","16-34 y.","East Germany","118","0.086164856716609","0.0712073654433025","0.101122347989916"
"1 Strongly disagree","2005","35-65 y.","West Germany","1001","0.118395941021135","0.111668708678547","0.125123173363723"
"1 Strongly disagree","2005","35-65 y.","East Germany","253","0.102445239856964","0.0910662875515239","0.113824192162404"
"1 Strongly disagree","2005","66 and older","West Germany","371","0.132206875557298","0.119669858704842","0.144743892409753"
"1 Strongly disagree","2005","66 and older","East Germany","112","0.124133989607415","0.103286652432185","0.144981326782645"
"2 on scale 1-7 ","2005","16-34 y.","West Germany","747","0.178750644314005","0.166827842646198","0.190673445981812"
"2 on scale 1-7 ","2005","16-34 y.","East Germany","252","0.173101430137569","0.152934667178764","0.193268193096374"
"2 on scale 1-7 ","2005","35-65 y.","West Germany","1723","0.191589732659715","0.183395028941786","0.199784436377643"
"2 on scale 1-7 ","2005","35-65 y.","East Germany","494","0.161512946810099","0.147703453019966","0.175322440600232"
"2 on scale 1-7 ","2005","66 and older","West Germany","459","0.169132789159172","0.155257603531279","0.183007974787065"
"2 on scale 1-7 ","2005","66 and older","East Germany","142","0.151077345618121","0.128435066917798","0.173719624318443"
"3 on scale 1-7 ","2005","16-34 y.","West Germany","782","0.190990154734181","0.178758100880287","0.203222208588075"
"3 on scale 1-7 ","2005","16-34 y.","East Germany","248","0.197048100322078","0.175845426302357","0.218250774341799"
"3 on scale 1-7 ","2005","35-65 y.","West Germany","1490","0.157841471709277","0.150249777328224","0.16543316609033"
"3 on scale 1-7 ","2005","35-65 y.","East Germany","432","0.163233939406712","0.149365322003806","0.177102556809617"
"3 on scale 1-7 ","2005","66 and older","West Germany","405","0.141946270573892","0.129028775003562","0.154863766144222"
"3 on scale 1-7 ","2005","66 and older","East Germany","146","0.157731692170523","0.134686989541981","0.180776394799064"
"4 on scale 1-7","2005","16-34 y.","West Germany","784","0.20617320097674","0.193584063511864","0.218762338441617"
"4 on scale 1-7","2005","16-34 y.","East Germany","268","0.186587234892443","0.165821074626926","0.207353395157959"
"4 on scale 1-7","2005","35-65 y.","West Germany","1678","0.194612077482289","0.186368443880225","0.202855711084353"
"4 on scale 1-7","2005","35-65 y.","East Germany","549","0.201827578808217","0.186766207266322","0.216888950350113"
"4 on scale 1-7","2005","66 and older","West Germany","501","0.173871410939372","0.159843370751777","0.187899451126967"
"4 on scale 1-7","2005","66 and older","East Germany","174","0.187867384325196","0.16317144396199","0.212563324688402"
"5 on scale 1-7","2005","16-34 y.","West Germany","658","0.173651469370695","0.161863531135609","0.185439407605782"
"5 on scale 1-7","2005","16-34 y.","East Germany","236","0.188216392453026","0.167380667951227","0.209052116954825"
"5 on scale 1-7","2005","35-65 y.","West Germany","1459","0.159143299094811","0.151526256165493","0.166760342024128"
"5 on scale 1-7","2005","35-65 y.","East Germany","517","0.183753953642114","0.16922096950763","0.198286937776598"
"5 on scale 1-7","2005","66 and older","West Germany","481","0.173918586671947","0.159889044124295","0.187948129219598"
"5 on scale 1-7","2005","66 and older","East Germany","181","0.187244311235799","0.162579901742737","0.211908720728861"
"6 on scale 1-7","2005","16-34 y.","West Germany","378","0.0916282671241512","0.0826505992867737","0.100605934961529"
"6 on scale 1-7","2005","16-34 y.","East Germany","159","0.114991168038429","0.0979865927119102","0.131995743364947"
"6 on scale 1-7","2005","35-65 y.","West Germany","976","0.110877094506731","0.1043392731748","0.117414915838662"
"6 on scale 1-7","2005","35-65 y.","East Germany","335","0.123654784609248","0.111301883047414","0.136007686171082"
"6 on scale 1-7","2005","66 and older","West Germany","352","0.119888298969766","0.107865201082281","0.131911396857251"
"6 on scale 1-7","2005","66 and older","East Germany","135","0.120661199699343","0.100066838047267","0.141255561351419"
"7 Strongly agree","2005","16-34 y.","West Germany","213","0.060674389735929","0.0532454338255593","0.0681033456462986"
"7 Strongly agree","2005","16-34 y.","East Germany","71","0.0538908174398461","0.0418546627798372","0.0659269720998551"
"7 Strongly agree","2005","35-65 y.","West Germany","533","0.0675403835260424","0.0623148816572274","0.0727658853948574"
"7 Strongly agree","2005","35-65 y.","East Germany","148","0.063571556866646","0.054415792017598","0.072727321715694"
"7 Strongly agree","2005","66 and older","West Germany","235","0.0890357681285535","0.0784945207860541","0.0995770154710529"
"7 Strongly agree","2005","66 and older","East Germany","71","0.0712840773436036","0.0550164539623836","0.0875517007248237"
"1 Strongly disagree","2006","16-34 y.","West Germany","","","",""
"1 Strongly disagree","2006","16-34 y.","East Germany","","","",""
"1 Strongly disagree","2006","35-65 y.","West Germany","","","",""
"1 Strongly disagree","2006","35-65 y.","East Germany","","","",""
"1 Strongly disagree","2006","66 and older","West Germany","","","",""
"1 Strongly disagree","2006","66 and older","East Germany","","","",""
"2 on scale 1-7 ","2006","16-34 y.","West Germany","","","",""
"2 on scale 1-7 ","2006","16-34 y.","East Germany","","","",""
"2 on scale 1-7 ","2006","35-65 y.","West Germany","","","",""
"2 on scale 1-7 ","2006","35-65 y.","East Germany","","","",""
"2 on scale 1-7 ","2006","66 and older","West Germany","","","",""
"2 on scale 1-7 ","2006","66 and older","East Germany","","","",""
"3 on scale 1-7 ","2006","16-34 y.","West Germany","","","",""
"3 on scale 1-7 ","2006","16-34 y.","East Germany","","","",""
"3 on scale 1-7 ","2006","35-65 y.","West Germany","","","",""
"3 on scale 1-7 ","2006","35-65 y.","East Germany","","","",""
"3 on scale 1-7 ","2006","66 and older","West Germany","","","",""
"3 on scale 1-7 ","2006","66 and older","East Germany","","","",""
"4 on scale 1-7","2006","16-34 y.","West Germany","","","",""
"4 on scale 1-7","2006","16-34 y.","East Germany","","","",""
"4 on scale 1-7","2006","35-65 y.","West Germany","","","",""
"4 on scale 1-7","2006","35-65 y.","East Germany","","","",""
"4 on scale 1-7","2006","66 and older","West Germany","","","",""
"4 on scale 1-7","2006","66 and older","East Germany","","","",""
"5 on scale 1-7","2006","16-34 y.","West Germany","","","",""
"5 on scale 1-7","2006","16-34 y.","East Germany","","","",""
"5 on scale 1-7","2006","35-65 y.","West Germany","","","",""
"5 on scale 1-7","2006","35-65 y.","East Germany","","","",""
"5 on scale 1-7","2006","66 and older","West Germany","","","",""
"5 on scale 1-7","2006","66 and older","East Germany","","","",""
"6 on scale 1-7","2006","16-34 y.","West Germany","","","",""
"6 on scale 1-7","2006","16-34 y.","East Germany","","","",""
"6 on scale 1-7","2006","35-65 y.","West Germany","","","",""
"6 on scale 1-7","2006","35-65 y.","East Germany","","","",""
"6 on scale 1-7","2006","66 and older","West Germany","","","",""
"6 on scale 1-7","2006","66 and older","East Germany","","","",""
"7 Strongly agree","2006","16-34 y.","West Germany","","","",""
"7 Strongly agree","2006","16-34 y.","East Germany","","","",""
"7 Strongly agree","2006","35-65 y.","West Germany","","","",""
"7 Strongly agree","2006","35-65 y.","East Germany","","","",""
"7 Strongly agree","2006","66 and older","West Germany","","","",""
"7 Strongly agree","2006","66 and older","East Germany","","","",""
"1 Strongly disagree","2007","16-34 y.","West Germany","","","",""
"1 Strongly disagree","2007","16-34 y.","East Germany","","","",""
"1 Strongly disagree","2007","35-65 y.","West Germany","","","",""
"1 Strongly disagree","2007","35-65 y.","East Germany","","","",""
"1 Strongly disagree","2007","66 and older","West Germany","","","",""
"1 Strongly disagree","2007","66 and older","East Germany","","","",""
"2 on scale 1-7 ","2007","16-34 y.","West Germany","","","",""
"2 on scale 1-7 ","2007","16-34 y.","East Germany","","","",""
"2 on scale 1-7 ","2007","35-65 y.","West Germany","","","",""
"2 on scale 1-7 ","2007","35-65 y.","East Germany","","","",""
"2 on scale 1-7 ","2007","66 and older","West Germany","","","",""
"2 on scale 1-7 ","2007","66 and older","East Germany","","","",""
"3 on scale 1-7 ","2007","16-34 y.","West Germany","","","",""
"3 on scale 1-7 ","2007","16-34 y.","East Germany","","","",""
"3 on scale 1-7 ","2007","35-65 y.","West Germany","","","",""
"3 on scale 1-7 ","2007","35-65 y.","East Germany","","","",""
"3 on scale 1-7 ","2007","66 and older","West Germany","","","",""
"3 on scale 1-7 ","2007","66 and older","East Germany","","","",""
"4 on scale 1-7","2007","16-34 y.","West Germany","","","",""
"4 on scale 1-7","2007","16-34 y.","East Germany","","","",""
"4 on scale 1-7","2007","35-65 y.","West Germany","","","",""
"4 on scale 1-7","2007","35-65 y.","East Germany","","","",""
"4 on scale 1-7","2007","66 and older","West Germany","","","",""
"4 on scale 1-7","2007","66 and older","East Germany","","","",""
"5 on scale 1-7","2007","16-34 y.","West Germany","","","",""
"5 on scale 1-7","2007","16-34 y.","East Germany","","","",""
"5 on scale 1-7","2007","35-65 y.","West Germany","","","",""
"5 on scale 1-7","2007","35-65 y.","East Germany","","","",""
"5 on scale 1-7","2007","66 and older","West Germany","","","",""
"5 on scale 1-7","2007","66 and older","East Germany","","","",""
"6 on scale 1-7","2007","16-34 y.","West Germany","","","",""
"6 on scale 1-7","2007","16-34 y.","East Germany","","","",""
"6 on scale 1-7","2007","35-65 y.","West Germany","","","",""
"6 on scale 1-7","2007","35-65 y.","East Germany","","","",""
"6 on scale 1-7","2007","66 and older","West Germany","","","",""
"6 on scale 1-7","2007","66 and older","East Germany","","","",""
"7 Strongly agree","2007","16-34 y.","West Germany","","","",""
