"year","education","pgisced97","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2006","college entrance qualification","general elemantary","","","","","","","","",""
"2006","college entrance qualification","higher education","7.53","8","3414","7.47","7.59","5","7","9","10"
"2006","college entrance qualification","higher vocational","7.15","8","371","6.95","7.35","4","6","8","9"
"2006","college entrance qualification","in school","","","","","","","","",""
"2006","college entrance qualification","inadequately","","","","","","","","",""
"2006","college entrance qualification","middle vocational","7.27","8","749","7.13","7.41","5","6","9","10"
"2006","college entrance qualification","vocational + Abi","7.62","8","1016","7.5","7.74","5","7","9","10"
"2006","lower secondary degree","general elemantary","7.34","8","1551","7.23","7.45","4","6","9","10"
"2006","lower secondary degree","higher education","7.64","8","194","7.38","7.9","5","7","9","10"
"2006","lower secondary degree","higher vocational","7.86","8","472","7.69","8.03","5","7","9","10"
"2006","lower secondary degree","in school","","","","","","","","",""
"2006","lower secondary degree","inadequately","","","","","","","","",""
"2006","lower secondary degree","middle vocational","7.64","8","5250","7.59","7.69","5","7","9","10"
"2006","lower secondary degree","vocational + Abi","","","","","","","","",""
"2006","no degree/no degree yet","general elemantary","","","","","","","","",""
"2006","no degree/no degree yet","higher education","","","","","","","","",""
"2006","no degree/no degree yet","higher vocational","","","","","","","","",""
"2006","no degree/no degree yet","in school","7.69","8","390","7.5","7.88","5","7","9","10"
"2006","no degree/no degree yet","inadequately","7.29","8","192","6.98","7.6","5","6","9","10"
"2006","no degree/no degree yet","middle vocational","7.54","8","55","7.05","8.03","4","7","9","10"
"2006","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2006","Other degree","general elemantary","7.48","8","329","7.27","7.69","5","6","9","10"
"2006","Other degree","higher education","7.54","8","207","7.27","7.81","5","7","9","10"
"2006","Other degree","higher vocational","7.39","8","60","6.83","7.95","3","6","9","10"
"2006","Other degree","in school","","","","","","","","",""
"2006","Other degree","inadequately","7.16","8","45","6.35","7.97","3","5","10","10"
"2006","Other degree","middle vocational","7.63","8","422","7.43","7.83","5","6","10","10"
"2006","Other degree","vocational + Abi","7.9","8","130","7.57","8.23","5","7","10","10"
"2006","secondary school degree","general elemantary","7.57","8","570","7.41","7.73","5","7","9","10"
"2006","secondary school degree","higher education","7.43","8","686","7.28","7.58","5","6","9","10"
"2006","secondary school degree","higher vocational","7.53","8","720","7.39","7.67","5","7","9","10"
"2006","secondary school degree","in school","","","","","","","","",""
"2006","secondary school degree","inadequately","","","","","","","","",""
"2006","secondary school degree","middle vocational","7.59","8","4366","7.53","7.65","5","7","9","10"
"2006","secondary school degree","vocational + Abi","7.44","8","34","6.69","8.19","3","7","10","10"
"2007","college entrance qualification","general elemantary","","","","","","","","",""
"2007","college entrance qualification","higher education","7.57","8","3299","7.51","7.63","5","7","9","10"
"2007","college entrance qualification","higher vocational","7.23","8","344","7.01","7.45","5","6","8","9"
"2007","college entrance qualification","in school","","","","","","","","",""
"2007","college entrance qualification","inadequately","","","","","","","","",""
"2007","college entrance qualification","middle vocational","7.15","7","737","7.01","7.29","4","6","9","10"
"2007","college entrance qualification","vocational + Abi","7.41","8","982","7.29","7.53","4","7","9","10"
"2007","lower secondary degree","general elemantary","7.35","8","1385","7.23","7.47","4","6","9","10"
"2007","lower secondary degree","higher education","7.87","8","188","7.6","8.14","5","7","10","10"
"2007","lower secondary degree","higher vocational","7.93","8","430","7.76","8.1","5","7","9","10"
"2007","lower secondary degree","in school","","","","","","","","",""
"2007","lower secondary degree","inadequately","","","","","","","","",""
"2007","lower secondary degree","middle vocational","7.64","8","4801","7.58","7.7","5","7","9","10"
"2007","lower secondary degree","vocational + Abi","","","","","","","","",""
"2007","no degree/no degree yet","general elemantary","","","","","","","","",""
"2007","no degree/no degree yet","higher education","","","","","","","","",""
"2007","no degree/no degree yet","higher vocational","","","","","","","","",""
"2007","no degree/no degree yet","in school","7.8","8","335","7.62","7.98","5","7","9","10"
"2007","no degree/no degree yet","inadequately","6.83","7","173","6.48","7.18","4","5","9","10"
"2007","no degree/no degree yet","middle vocational","6.95","8","36","6.15","7.75","2","5","9","10"
"2007","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2007","Other degree","general elemantary","7.64","8","287","7.42","7.86","5","6","9","10"
"2007","Other degree","higher education","7.38","8","203","7.1","7.66","5","7","9","10"
"2007","Other degree","higher vocational","7.48","8","52","6.97","7.99","5","6","10","10"
"2007","Other degree","in school","","","","","","","","",""
"2007","Other degree","inadequately","7.57","8","43","6.91","8.23","5","6","10","10"
"2007","Other degree","middle vocational","7.62","8","366","7.4","7.84","4","7","9","10"
"2007","Other degree","vocational + Abi","7.58","8","119","7.22","7.94","5","7","9","10"
"2007","secondary school degree","general elemantary","7.41","8","512","7.24","7.58","5","6","9","10"
"2007","secondary school degree","higher education","7.47","8","630","7.32","7.62","5","6","9","10"
"2007","secondary school degree","higher vocational","7.54","8","673","7.39","7.69","5","7","9","10"
"2007","secondary school degree","in school","","","","","","","","",""
"2007","secondary school degree","inadequately","","","","","","","","",""
"2007","secondary school degree","middle vocational","7.58","8","4136","7.52","7.64","5","7","9","10"
"2007","secondary school degree","vocational + Abi","7.19","8","32","6.33","8.05","1","5","10","10"
"2008","college entrance qualification","general elemantary","","","","","","","","",""
"2008","college entrance qualification","higher education","7.56","8","3186","7.49","7.63","5","7","9","10"
"2008","college entrance qualification","higher vocational","7.56","8","318","7.34","7.78","5","7","9","10"
"2008","college entrance qualification","in school","","","","","","","","",""
"2008","college entrance qualification","inadequately","","","","","","","","",""
"2008","college entrance qualification","middle vocational","7.43","8","675","7.29","7.57","4","7","9","10"
"2008","college entrance qualification","vocational + Abi","7.56","8","937","7.43","7.69","5","7","9","10"
"2008","lower secondary degree","general elemantary","7.61","8","1294","7.49","7.73","5","6","9","10"
"2008","lower secondary degree","higher education","7.83","8","176","7.54","8.12","5","7","9","10"
"2008","lower secondary degree","higher vocational","8.11","8","414","7.94","8.28","6","7","10","10"
"2008","lower secondary degree","in school","","","","","","","","",""
"2008","lower secondary degree","inadequately","","","","","","","","",""
"2008","lower secondary degree","middle vocational","7.74","8","4535","7.68","7.8","5","7","9","10"
"2008","lower secondary degree","vocational + Abi","","","","","","","","",""
"2008","no degree/no degree yet","general elemantary","","","","","","","","",""
"2008","no degree/no degree yet","higher education","","","","","","","","",""
"2008","no degree/no degree yet","higher vocational","","","","","","","","",""
"2008","no degree/no degree yet","in school","7.87","8","349","7.69","8.05","6","7","9","10"
"2008","no degree/no degree yet","inadequately","7.08","8","148","6.69","7.47","4","5","9","10"
"2008","no degree/no degree yet","middle vocational","7.34","8","41","6.75","7.93","4","5","9","10"
"2008","no degree/no degree yet","vocational + Abi","","","","","","","","",""
"2008","Other degree","general elemantary","7.91","8","250","7.65","8.17","5","7","10","10"
"2008","Other degree","higher education","7.7","8","179","7.4","8","5","7","9","10"
"2008","Other degree","higher vocational","8.03","8","49","7.46","8.6","5","7","10","10"
"2008","Other degree","in school","","","","","","","","",""
"2008","Other degree","inadequately","7.29","8","38","6.46","8.12","3","5","9","9"
