"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2006","Female","7.56","8","11365","5","7","9","10","7.52","7.6","8","8"
"2006","Male","7.54","8","10335","5","7","9","10","7.5","7.58","8","8"
"2007","Female","7.54","8","10613","5","7","9","10","7.5","7.58","8","8"
"2007","Male","7.53","8","9652","5","7","9","10","7.49","7.57","8","8"
"2008","Female","7.67","8","10095","5","7","9","10","7.63","7.71","8","8"
"2008","Male","7.61","8","9179","5","7","9","10","7.57","7.65","8","8"
"2009","Female","7.71","8","9420","5","7","9","10","7.67","7.75","8","8"
"2009","Male","7.56","8","8574","5","7","9","10","7.52","7.6","8","8"
"2010","Female","7.71","8","13032","5","7","9","10","7.68","7.74","8","8"
"2010","Male","7.67","8","10877","5","7","9","10","7.63","7.71","8","8"
"2011","Female","7.76","8","14086","5","7","9","10","7.73","7.79","8","8"
"2011","Male","7.78","8","11564","5","7","9","10","7.75","7.81","8","8"
"2012","Female","7.83","8","14325","5","7","9","10","7.8","7.86","8","8"
"2012","Male","7.87","8","11863","5","7","9","10","7.84","7.9","8","8"
"2013","Female","7.81","8","13883","5","7","9","10","7.78","7.84","8","8"
"2013","Male","7.84","8","11450","5","7","9","10","7.81","7.87","8","8"
"2014","Female","7.83","8","14566","5","7","9","10","7.8","7.86","8","8"
"2014","Male","7.85","8","12328","5","7","9","10","7.82","7.88","8","8"
"2015","Female","7.79","8","13502","5","7","9","10","7.76","7.82","8","8"
"2015","Male","7.82","8","11376","5","7","9","10","7.79","7.85","8","8"
"2016","Female","7.83","8","13039","5","7","9","10","7.8","7.86","8","8"
"2016","Male","7.85","8","10977","5","7","9","10","7.82","7.88","8","8"
"2017","Female","7.83","8","14165","5","7","9","10","7.8","7.86","8","8"
"2017","Male","7.85","8","12120","5","7","9","10","7.82","7.88","8","8"
"2018","Female","7.83","8","13740","5","7","9","10","7.8","7.86","8","8"
"2018","Male","7.84","8","11688","5","7","9","10","7.81","7.87","8","8"
"2019","Female","7.86","8","13335","5","7","9","10","7.83","7.89","8","8"
"2019","Male","7.9","8","12172","5","7","9","10","7.87","7.93","8","8"
