"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","4.45","4","21565","1","2","5","10","20","4.39","4.51","0","99","4","4"
"2004","","","","","","","","","","","","","",""
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","4.11","3","18808","1","2","5","8","20","4.06","4.16","0","90","3","3"
"2009","","","","","","","","","","","","","",""
"2010","","","","","","","","","","","","","",""
"2011","4.55","4","20373","1","2","5","10","20","4.47","4.63","0","500","3","4"
"2012","","","","","","","","","","","","","",""
"2013","4.25","3","25240","1","2","5","9","20","4.21","4.29","0","99","3","3"
"2014","","","","","","","","","","","","","",""
"2015","4.09","3","26697","1","2","5","8","20","4.04","4.14","0","99","3","3"
"2016","","","","","","","","","","","","","",""
"2017","4.05","3","26542","1","2","5","8","15","4.01","4.09","0","99","3","3"
"2018","4.27","3","29271","1","2","5","8","20","4.22","4.32","0","99","3","3"
