"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","direct migration background","East Germany","4","3","99","0","2","5","8","20","3.23","4.77","0","20","2","4"
"2003","direct migration background","West Germany","4.55","3","2451","1","2","6","10","20","4.35","4.75","0","99","3","3"
"2003","indirect migration background","East Germany","5.7","5","30","2","3","6","10","20","3.95","7.45","0","20","2","5"
"2003","indirect migration background","West Germany","4.82","4","732","2","2","6","10","20","4.5","5.14","0","40","4","4"
"2003","no migration background","East Germany","4.41","3","5016","1","2","5","10","20","4.3","4.52","0","60","4","4"
"2003","no migration background","West Germany","4.42","4","13237","1","2","5","10","20","4.35","4.49","0","50","4","4"
"2004","direct migration background","East Germany","","","","","","","","","","","","","",""
"2004","direct migration background","West Germany","","","","","","","","","","","","","",""
"2004","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2004","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2004","no migration background","East Germany","","","","","","","","","","","","","",""
"2004","no migration background","West Germany","","","","","","","","","","","","","",""
"2005","direct migration background","East Germany","","","","","","","","","","","","","",""
"2005","direct migration background","West Germany","","","","","","","","","","","","","",""
"2005","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2005","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2005","no migration background","East Germany","","","","","","","","","","","","","",""
"2005","no migration background","West Germany","","","","","","","","","","","","","",""
"2006","direct migration background","East Germany","","","","","","","","","","","","","",""
"2006","direct migration background","West Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2006","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2006","no migration background","East Germany","","","","","","","","","","","","","",""
"2006","no migration background","West Germany","","","","","","","","","","","","","",""
"2007","direct migration background","East Germany","","","","","","","","","","","","","",""
"2007","direct migration background","West Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","East Germany","","","","","","","","","","","","","",""
"2007","indirect migration background","West Germany","","","","","","","","","","","","","",""
"2007","no migration background","East Germany","","","","","","","","","","","","","",""
"2007","no migration background","West Germany","","","","","","","","","","","","","",""
"2008","direct migration background","East Germany","3.5","3","75","0","2","5","6","12","2.69","4.31","0","20","3","4"
"2008","direct migration background","West Germany","3.81","3","1772","1","2","5","7","17","3.62","4","0","90","3","3"
"2008","indirect migration background","East Germany","7.13","5","42","2","3","8","20","40","4.83","9.43","0","40","4","5"
"2008","indirect migration background","West Germany","4.24","3","712","1","2","5","8","15","3.91","4.57","0","60","3","4"
"2008","no migration background","East Germany","4.26","3","4457","1","2","5","9","20","4.15","4.37","0","40","3","4"
"2008","no migration background","West Germany","4.11","3","11750","1","2","5","8","20","4.04","4.18","0","80","3","4"
"2009","direct migration background","East Germany","","","","","","","","","","","","","",""
"2009","direct migration background","West Germany","","","","","","","","","","","","","",""
"2009","indirect migration background","East Germany","","","","","","","","","","","","","",""
