"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"2003","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"2003","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"2003","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","college entrance qualification","(2c_gen) general maturity certificate","4.97","4","776","2","3","6","10","20","4.71","5.23","0","35","4","5"
"2003","college entrance qualification","(2c_voc) vocational maturity certificate","4.56","4","1309","2","2","5","10","20","4.37","4.75","0","30","4","4"
"2003","college entrance qualification","(3a) lower tertiary education","4.75","4","987","1","2","6","10","20","4.51","4.99","0","30","4","4"
"2003","college entrance qualification","(3b) higher tertiary education","5","4","2260","2","3","6","10","20","4.83","5.17","0","50","4","4"
"2003","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"2003","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"2003","lower secondary degree","(1b) general elementary school","3.85","3","1658","0","2","5","9","20","3.66","4.04","0","50","3","3"
"2003","lower secondary degree","(1c) basic vocational qualification","4.26","3","5704","0","2","5","10","20","4.15","4.37","0","60","3","3"
"2003","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"2003","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"2003","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"2003","lower secondary degree","(2c_voc) vocational maturity certificate","4.6","3.59","32","1","2","6","10","12","2.89","6.31","0","25","3","6"
"2003","lower secondary degree","(3a) lower tertiary education","4.49","4","143","2","2","5","10","20","3.92","5.06","0","22","3","4"
"2003","lower secondary degree","(3b) higher tertiary education","4.14","3","44","1","2","6","9","10","3.35","4.93","0","10","3","4"
"2003","no degree/no degree yet","(0) in school","5.39","4","603","2","3","6","10","20","5.01","5.77","0","60","4","5"
