"year","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","6.8","7","1275","3","5","9","10","6.66","6.94","7","7"
"1984","lower secondary degree","6.33","7","6061","3","5","8","10","6.26","6.4","7","7"
"1984","no degree/no degree yet","5.97","6","1258","2","4","8","10","5.82","6.12","6","7"
"1984","Other degree","6.05","6","1442","2","5","8","10","5.91","6.19","6","7"
"1984","secondary school degree","6.9","7","1906","4","5","9","10","6.79","7.01","7","7"
"1985","college entrance qualification","6.84","7","1214","3","5","8","10","6.7","6.98","7","7"
"1985","lower secondary degree","6.34","7","5411","3","5","8","10","6.27","6.41","7","7"
"1985","no degree/no degree yet","6.26","7","1048","2","5","8","10","6.1","6.42","6","7"
"1985","Other degree","6.1","6","1212","2","5","8","10","5.96","6.24","6","7"
"1985","secondary school degree","6.83","7","1841","4","5","8","10","6.72","6.94","7","7"
"1986","college entrance qualification","6.86","7","1246","3","5","8","10","6.73","6.99","7","8"
"1986","lower secondary degree","6.42","7","5140","3","5","8","10","6.36","6.48","7","7"
"1986","no degree/no degree yet","6.22","6","1003","3","5","8","10","6.06","6.38","6","6"
"1986","Other degree","6.17","6","1159","3","5","8","9","6.03","6.31","6","7"
"1986","secondary school degree","6.88","7","1812","4","5","8","10","6.78","6.98","7","7"
"1987","college entrance qualification","6.84","7","1224","3","5","8","10","6.71","6.97","7","8"
"1987","lower secondary degree","6.46","7","5077","3","5","8","9","6.4","6.52","7","7"
"1987","no degree/no degree yet","6.21","7","976","3","5","8","9","6.06","6.36","6","7"
"1987","Other degree","6.15","6","1144","3","5","8","9","6.02","6.28","6","7"
"1987","secondary school degree","6.85","7","1812","4","5","8","10","6.75","6.95","7","7"
"1988","college entrance qualification","6.85","7","1169","4","5","8","10","6.72","6.98","7","8"
"1988","lower secondary degree","6.48","7","4853","3","5","8","9","6.41","6.55","7","7"
"1988","no degree/no degree yet","6.14","6","885","3","4","8","10","5.98","6.3","6","7"
"1988","Other degree","6.1","6","1072","3","5","8","9","5.96","6.24","6","7"
"1988","secondary school degree","6.79","7","1740","4","5","8","9","6.69","6.89","7","7"
"1989","college entrance qualification","6.98","7","1193","4","6","8","10","6.86","7.1","7","8"
"1989","lower secondary degree","6.48","7","4640","3","5","8","9","6.42","6.54","7","7"
"1989","no degree/no degree yet","6.03","6","854","2","5","8","9","5.87","6.19","6","6"
"1989","Other degree","6.07","6","1028","3","5","8","9","5.93","6.21","6","7"
"1989","secondary school degree","6.9","7","1694","4","5","8","9","6.8","7","7","7"
"1990","college entrance qualification","6.74","7","1732","4","5","8","9","6.64","6.84","7","7"
"1990","lower secondary degree","6.41","7","6258","3","5","8","9","6.35","6.47","7","7"
"1990","no degree/no degree yet","6.31","6","859","3","5","8","9","6.16","6.46","6","6"
"1990","Other degree","6.04","6","1060","3","5","8","9","5.9","6.18","6","7"
"1990","secondary school degree","6.42","7","3681","3","5","8","9","6.34","6.5","6","7"
"1991","college entrance qualification","6.78","7","1737","4","5","8","9","6.68","6.88","7","7"
"1991","lower secondary degree","6.5","7","6030","3","5","8","9","6.44","6.56","7","7"
"1991","no degree/no degree yet","6.52","7","832","3","5","8","10","6.37","6.67","6","7"
"1991","Other degree","6.08","6","1040","3","5","8","9","5.94","6.22","6","7"
"1991","secondary school degree","6.21","7","3633","3","5","8","9","6.13","6.29","6","6"
