"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","6.47","7","12029","3","5","8","10","6.42","6.52","7","7"
"1985","6.49","7","10869","3","5","8","10","6.44","6.54","7","7"
"1986","6.56","7","10505","3","5","8","10","6.52","6.6","7","7"
"1987","6.57","7","10397","3","5","8","10","6.53","6.61","7","7"
"1988","6.56","7","9905","3","5","8","9","6.51","6.61","7","7"
"1989","6.6","7","9599","4","5","8","9","6.55","6.65","7","7"
"1990","6.45","7","13810","3","5","8","9","6.41","6.49","7","7"
"1991","6.45","7","13530","3","5","8","9","6.41","6.49","7","7"
"1992","6.34","7","13251","3","5","8","9","6.3","6.38","6","6"
"1993","6.32","7","12830","3","5","8","9","6.28","6.36","6","7"
"1994","6.21","7","12632","3","5","8","9","6.17","6.25","6","6"
"1995","6.28","7","13057","3","5","8","9","6.24","6.32","6","6"
"1996","6.32","7","12857","3","5","8","9","6.28","6.36","6","7"
"1997","6.11","6","12617","3","5","8","9","6.07","6.15","6","6"
"1998","6.22","7","13964","3","5","8","9","6.18","6.26","6","6"
"1999","6.29","7","13453","3","5","8","9","6.25","6.33","6","7"
"2000","6.47","7","23764","3","5","8","9","6.44","6.5","7","7"
"2001","6.54","7","21690","3","5","8","9","6.51","6.57","7","7"
"2002","6.29","7","22723","3","5","8","9","6.26","6.32","7","7"
"2003","6.18","7","21924","3","5","8","9","6.15","6.21","7","7"
"2004","6.02","6","21245","3","5","8","9","5.99","6.05","7","7"
"2005","6.04","6","20422","3","5","8","9","6.01","6.07","7","7"
"2006","6.01","6","21701","3","5","8","9","5.98","6.04","7","7"
"2007","6.05","6","20305","3","5","8","9","6.02","6.08","7","7"
"2008","6.09","6","19112","3","5","8","9","6.06","6.12","7","7"
"2009","6.15","7","17826","3","5","8","9","6.12","6.18","7","7"
"2010","6.25","7","23753","3","5","8","9","6.22","6.28","7","7"
"2011","6.42","7","25590","3","5","8","9","6.39","6.45","7","7"
"2012","6.52","7","26201","3","5","8","9","6.49","6.55","7","7"
"2013","6.62","7","30420","3","5","8","9","6.59","6.65","7","7"
"2014","6.63","7","26810","3","5","8","9","6.6","6.66","7","7"
"2015","6.77","7","24794","4","5","8","9","6.74","6.8","7","7"
"2016","6.83","7","23947","4","5","8","9","6.8","6.86","7","7"
"2017","6.85","7","26239","4","5","8","9","6.82","6.88","7","7"
"2018","6.86","7","25423","4","6","8","9","6.83","6.89","7","7"
"2019","7.06","8","25574","4","6","8","10","7.03","7.09","8","8"
