"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","general elemantary","6.2","6","3387","3","5","8","10","6.11","6.29","6","7"
"1984","higher education","7.31","8","790","4","6","9","10","7.15","7.47","8","8"
"1984","higher vocational","6.73","7","656","3","5","9","10","6.54","6.92","7","7"
"1984","in school","6.53","7","151","3","5","9","10","6.11","6.95","6","8"
"1984","inadequately","5.65","6","1008","2","3","8","10","5.48","5.82","6","6"
"1984","middle vocational","6.5","7","5663","3","5","8","10","6.43","6.57","7","7"
"1984","vocational + Abi","6.59","7","311","3","5","8","10","6.29","6.89","6","7"
"1985","general elemantary","6.25","7","2998","3","5","8","10","6.16","6.34","6","7"
"1985","higher education","7.28","8","752","4","6","9","10","7.12","7.44","8","8"
"1985","higher vocational","6.83","7","618","4","5","8","10","6.64","7.02","7","7"
"1985","in school","7.12","7","149","5","6","9","10","6.75","7.49","7","8"
"1985","inadequately","5.7","6","831","2","3","8","10","5.52","5.88","6","6"
"1985","middle vocational","6.49","7","5136","3","5","8","10","6.42","6.56","7","7"
"1985","vocational + Abi","6.43","7","275","3","5","8","10","6.13","6.73","6","7"
"1986","general elemantary","6.33","7","2873","3","5","8","10","6.24","6.42","6","7"
"1986","higher education","7.28","8","748","5","6","9","10","7.13","7.43","8","8"
"1986","higher vocational","6.76","7","581","4","5","8","10","6.57","6.95","7","7"
"1986","in school","6.77","7","164","4","5","8","10","6.4","7.14","6","8"
"1986","inadequately","5.7","6","780","2","4","8","9","5.52","5.88","5","6"
"1986","middle vocational","6.58","7","4969","3","5","8","10","6.52","6.64","7","7"
"1986","vocational + Abi","6.61","7","278","3","5","8","10","6.32","6.9","6","7"
"1987","general elemantary","6.44","7","2809","3","5","8","10","6.35","6.53","7","7"
"1987","higher education","7.14","8","742","4","6","9","10","6.98","7.3","8","8"
"1987","higher vocational","6.75","7","568","4","5","8","9","6.57","6.93","7","7"
"1987","in school","6.78","7","169","3","5","8","9","6.43","7.13","7","8"
