"year","e11103","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1986","Part Time","general elemantary","6.28","7","526","3","5","8","9","10","6.07","6.49","0","10","6","7"
"1986","Part Time","higher education","6.79","7","130","4","6","8","10","10","6.4","7.18","0","10","7","8"
"1986","Part Time","higher vocational","6.44","7","98","3","5","8","10","10","5.92","6.96","0","10","5","7"
"1986","Part Time","in school","","","","","","","","","","","","","",""
"1986","Part Time","inadequately","5.49","5","107","2","4","8","9","10","5.01","5.97","0","10","5","6"
"1986","Part Time","middle vocational","6.33","7","872","3","5","8","9","10","6.17","6.49","0","10","6","7"
"1986","Part Time","vocational + Abi","6.41","7","52","3","5","8","9","10","5.77","7.05","0","10","5","8"
"1987","Full Time","general elemantary","6.26","7","1006","3","5","8","9","10","6.12","6.4","0","10","6","7"
"1987","Full Time","higher education","7.17","8","454","4","6","9","10","10","6.98","7.36","0","10","7","8"
"1987","Full Time","higher vocational","6.65","7","303","4","5","8","9","10","6.42","6.88","0","10","7","7"
"1987","Full Time","in school","","","","","","","","","","","","","",""
"1987","Full Time","inadequately","5.99","6","350","3","4","8","9","10","5.75","6.23","0","10","6","7"
"1987","Full Time","middle vocational","6.56","7","2542","4","5","8","9","10","6.48","6.64","0","10","7","7"
"1987","Full Time","vocational + Abi","6.88","7","156","3","6","8","10","10","6.53","7.23","0","10","7","8"
"1987","Not Working","general elemantary","6.59","7","1288","3","5","8","10","10","6.45","6.73","0","10","7","7"
"1987","Not Working","higher education","7.28","8","141","3","7","9","10","10","6.86","7.7","0","10","8","8"
"1987","Not Working","higher vocational","7.12","7.29","162","4","6","9","10","10","6.79","7.45","1","10","7","8"
"1987","Not Working","in school","6.79","7","157","3","5","8","10","10","6.42","7.16","0","10","7","8"
"1987","Not Working","inadequately","5.57","6","287","2","4","8","9","10","5.28","5.86","0","10","5","6"
"1987","Not Working","middle vocational","6.7","7","1590","3","5","8","10","10","6.58","6.82","0","10","7","7"
"1987","Not Working","vocational + Abi","7.13","7","70","5","6","9","10","10","6.59","7.67","0","10","6","8"
"1987","Part Time","general elemantary","6.19","6","515","3","5","8","10","10","5.98","6.4","0","10","6","7"
"1987","Part Time","higher education","6.84","7","147","4","5","8","9","10","6.47","7.21","0","10","7","8"
"1987","Part Time","higher vocational","6.33","7","103","2","5","8","9","10","5.87","6.79","0","10","6","8"
"1987","Part Time","in school","","","","","","","","","","","","","",""
"1987","Part Time","inadequately","5.25","5","115","2","4","7","8","10","4.84","5.66","0","10","5","7"
"1987","Part Time","middle vocational","6.24","7","826","3","5","8","9","10","6.09","6.39","0","10","6","7"
"1987","Part Time","vocational + Abi","5.33","6","50","1","3","7","9","10","4.56","6.1","0","10","5","7"
"1988","Full Time","general elemantary","6.2","7","943","3","5","8","9","10","6.06","6.34","0","10","7","7"
"1988","Full Time","higher education","7.28","8","426","5","6","9","10","10","7.08","7.48","0","10","8","8"
"1988","Full Time","higher vocational","6.73","7","294","4","5","8","9","10","6.51","6.95","0","10","7","7"
"1988","Full Time","in school","","","","","","","","","","","","","",""
"1988","Full Time","inadequately","6.05","6","296","3","4","8","9","10","5.78","6.32","0","10","6","7"
"1988","Full Time","middle vocational","6.61","7","2394","4","5","8","9","10","6.53","6.69","0","10","7","7"
"1988","Full Time","vocational + Abi","6.66","7","142","4","5","8","9","10","6.34","6.98","0","10","7","7"
"1988","Not Working","general elemantary","6.5","7","1193","3","5","8","10","10","6.35","6.65","0","10","7","7"
"1988","Not Working","higher education","7.04","8","129","3","6","9","10","10","6.63","7.45","0","10","7","8"
"1988","Not Working","higher vocational","7.08","8","151","4","5","9","10","10","6.72","7.44","0","10","7","8"
"1988","Not Working","in school","6.85","7","138","4","5","8","10","10","6.47","7.23","1","10","6","8"
"1988","Not Working","inadequately","5.07","5","296","2","3","7","8","10","4.77","5.37","0","10","5","6"
"1988","Not Working","middle vocational","6.66","7","1494","3","5","8","10","10","6.54","6.78","0","10","7","7"
"1988","Not Working","vocational + Abi","6.87","7","71","3","5","9","10","10","6.3","7.44","2","10","6","8"
"1988","Part Time","general elemantary","6.21","6","562","3","5","8","9","10","6.01","6.41","0","10","6","7"
"1988","Part Time","higher education","7.06","8","144","4","6","9","10","10","6.69","7.43","0","10","7","8"
"1988","Part Time","higher vocational","6.66","7","95","4","5","8","10","10","6.16","7.16","0","10","7","8"
"1988","Part Time","in school","","","","","","","","","","","","","",""
"1988","Part Time","inadequately","6.16","6","100","3","5","8","9","10","5.71","6.61","0","10","5","7"
"1988","Part Time","middle vocational","6.27","7","829","3","5","8","9","10","6.12","6.42","0","10","7","7"
"1988","Part Time","vocational + Abi","6.24","6","57","3","5","8","8","9","5.66","6.82","0","10","6","7"
"1989","Full Time","general elemantary","6.23","6","942","3","5","8","9","10","6.1","6.36","0","10","6","7"
"1989","Full Time","higher education","7.36","8","436","5","7","8","10","10","7.18","7.54","0","10","8","8"
"1989","Full Time","higher vocational","6.67","7","288","4","5","8","9","10","6.44","6.9","0","10","7","7"
"1989","Full Time","in school","","","","","","","","","","","","","",""
"1989","Full Time","inadequately","5.96","6","270","3","5","8","8","10","5.69","6.23","0","10","6","7"
"1989","Full Time","middle vocational","6.62","7","2370","4","5","8","9","10","6.54","6.7","0","10","7","7"
"1989","Full Time","vocational + Abi","7.01","7","155","5","6","8","9","10","6.71","7.31","2","10","7","8"
"1989","Not Working","general elemantary","6.37","7","1135","3","5","8","10","10","6.23","6.51","0","10","6","7"
"1989","Not Working","higher education","7.18","8","125","3","5","9","10","10","6.77","7.59","0","10","7","8"
"1989","Not Working","higher vocational","6.99","8","141","4","5","9","10","10","6.6","7.38","0","10","7","8"
"1989","Not Working","in school","6.68","7","134","3","5","8","10","10","6.28","7.08","0","10","6","8"
"1989","Not Working","inadequately","4.97","5","280","0","3","8","9","10","4.67","5.27","0","10","5","6"
"1989","Not Working","middle vocational","6.78","7","1443","4","5","8","10","10","6.66","6.9","0","10","7","7"
"1989","Not Working","vocational + Abi","7.05","7","77","3","6","9","10","10","6.5","7.6","1","10","6","8"
"1989","Part Time","general elemantary","6.13","6","482","3","5","8","9","10","5.91","6.35","0","10","6","7"
"1989","Part Time","higher education","7.18","8","137","5","6","9","10","10","6.83","7.53","1","10","7","8"
"1989","Part Time","higher vocational","6.8","7","86","4","5","8","9","10","6.35","7.25","0","10","7","8"
"1989","Part Time","in school","","","","","","","","","","","","","",""
"1989","Part Time","inadequately","6.11","6","99","2","5","8","9","10","5.59","6.63","0","10","6","7"
"1989","Part Time","middle vocational","6.47","7","786","4","5","8","9","10","6.31","6.63","0","10","7","7"
