"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","Female","6.54","7","6133","3","5","8","10","6.47","6.61","7","7"
"1984","Male","6.39","7","5896","3","5","8","10","6.32","6.46","7","7"
"1985","Female","6.53","7","5520","3","5","8","10","6.46","6.6","7","7"
"1985","Male","6.45","7","5349","3","5","8","10","6.39","6.51","7","7"
"1986","Female","6.58","7","5301","3","5","8","10","6.52","6.64","7","7"
"1986","Male","6.54","7","5204","3","5","8","9","6.48","6.6","7","7"
"1987","Female","6.59","7","5252","3","5","8","10","6.53","6.65","7","7"
"1987","Male","6.53","7","5145","3","5","8","9","6.47","6.59","7","7"
"1988","Female","6.59","7","5003","3","5","8","10","6.53","6.65","7","7"
"1988","Male","6.53","7","4902","3","5","8","9","6.47","6.59","7","7"
"1989","Female","6.59","7","4868","3","5","8","10","6.53","6.65","7","7"
"1989","Male","6.61","7","4731","4","5","8","9","6.55","6.67","7","7"
"1990","Female","6.43","7","7073","3","5","8","9","6.38","6.48","6","7"
"1990","Male","6.46","7","6737","3","5","8","9","6.41","6.51","7","7"
"1991","Female","6.48","7","6945","3","5","8","9","6.42","6.54","6","7"
"1991","Male","6.41","7","6585","3","5","8","9","6.35","6.47","6","7"
"1992","Female","6.34","7","6829","3","5","8","9","6.29","6.39","6","6"
"1992","Male","6.35","7","6422","3","5","8","9","6.29","6.41","6","7"
"1993","Female","6.34","7","6616","3","5","8","9","6.28","6.4","6","7"
"1993","Male","6.29","7","6214","3","5","8","9","6.23","6.35","6","7"
"1994","Female","6.25","7","6530","3","5","8","9","6.19","6.31","6","6"
"1994","Male","6.16","7","6102","3","5","8","9","6.1","6.22","6","6"
"1995","Female","6.32","7","6780","3","5","8","9","6.26","6.38","6","7"
"1995","Male","6.23","7","6277","3","5","8","9","6.18","6.28","6","6"
"1996","Female","6.38","7","6680","3","5","8","9","6.32","6.44","6","7"
"1996","Male","6.25","7","6177","3","5","8","9","6.19","6.31","6","7"
"1997","Female","6.15","6","6530","3","5","8","9","6.1","6.2","6","6"
"1997","Male","6.06","6","6087","3","5","8","9","6","6.12","6","6"
"1998","Female","6.26","7","7218","3","5","8","9","6.21","6.31","6","7"
"1998","Male","6.17","7","6746","3","5","8","9","6.12","6.22","6","6"
"1999","Female","6.34","7","6947","3","5","8","9","6.29","6.39","6","7"
"1999","Male","6.25","7","6506","3","5","8","9","6.2","6.3","6","7"
"2000","Female","6.53","7","12349","3","5","8","9","6.49","6.57","7","7"
"2000","Male","6.4","7","11415","3","5","8","9","6.36","6.44","7","7"
"2001","Female","6.59","7","11283","3","5","8","9","6.55","6.63","7","7"
"2001","Male","6.5","7","10407","3","5","8","9","6.46","6.54","7","7"
"2002","Female","6.33","7","11744","3","5","8","9","6.29","6.37","7","7"
"2002","Male","6.24","7","10979","3","5","8","9","6.2","6.28","7","7"
"2003","Female","6.23","7","11355","3","5","8","9","6.19","6.27","7","7"
"2003","Male","6.14","7","10569","3","5","8","9","6.1","6.18","7","7"
"2004","Female","6.05","6","11041","3","5","8","9","6.01","6.09","7","7"
"2004","Male","5.99","6","10204","3","5","8","9","5.95","6.03","7","7"
"2005","Female","6.07","6","10654","3","5","8","9","6.03","6.11","7","7"
"2005","Male","6.01","6","9768","3","5","8","9","5.96","6.06","7","7"
"2006","Female","6.03","6","11348","3","5","8","9","5.99","6.07","7","7"
"2006","Male","5.99","6","10353","3","5","8","9","5.95","6.03","7","7"
"2007","Female","6.06","6","10631","3","5","8","9","6.02","6.1","7","7"
"2007","Male","6.03","6","9674","3","5","8","9","5.99","6.07","7","7"
"2008","Female","6.14","7","10003","3","5","8","9","6.1","6.18","7","7"
"2008","Male","6.03","6","9109","3","5","8","9","5.98","6.08","7","7"
"2009","Female","6.23","7","9322","3","5","8","9","6.18","6.28","7","7"
"2009","Male","6.07","6","8504","3","5","8","9","6.02","6.12","7","7"
"2010","Female","6.31","7","12949","3","5","8","9","6.27","6.35","7","7"
"2010","Male","6.19","7","10804","3","5","8","9","6.15","6.23","7","7"
"2011","Female","6.42","7","14044","3","5","8","9","6.38","6.46","7","7"
"2011","Male","6.41","7","11546","3","5","8","9","6.37","6.45","7","7"
"2012","Female","6.54","7","14325","3","5","8","9","6.5","6.58","7","7"
"2012","Male","6.49","7","11876","3","5","8","9","6.45","6.53","7","7"
"2013","Female","6.62","7","16528","3","5","8","9","6.58","6.66","7","7"
"2013","Male","6.62","7","13892","3","5","8","9","6.58","6.66","7","7"
"2014","Female","6.65","7","14510","3","5","8","9","6.61","6.69","7","7"
"2014","Male","6.62","7","12300","3","5","8","9","6.58","6.66","7","7"
"2015","Female","6.82","7","13449","4","5","8","9","6.78","6.86","7","7"
"2015","Male","6.71","7","11345","4","5","8","9","6.67","6.75","7","7"
"2016","Female","6.88","7","12996","4","5","8","9","6.84","6.92","7","7"
"2016","Male","6.79","7","10951","4","5","8","9","6.75","6.83","7","7"
"2017","Female","6.91","7","14111","4","6","8","10","6.87","6.95","7","7"
"2017","Male","6.79","7","12128","4","5","8","9","6.75","6.83","7","7"
"2018","Female","6.87","7","13719","4","5","8","9","6.83","6.91","7","7"
"2018","Male","6.84","7","11704","4","6","8","9","6.8","6.88","7","7"
"2019","Female","7.09","8","13356","4","6","9","10","7.05","7.13","8","8"
"2019","Male","7.02","7","12209","4","6","8","9","6.98","7.06","8","8"
