"plh0034","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2009","no migration background","Male","3842","0.510624193352091","0.499307117832783","0.521941268871399","1"
"Big worries","2009","no migration background","Female","3909","0.490139365959745","0.479265540604866","0.501013191314624","1"
"Big worries","2009","direct migration background","Male","357","0.456172876252121","0.420597806146082","0.491747946358161","1"
"Big worries","2009","direct migration background","Female","381","0.446693334824206","0.413976297596004","0.479410372052408","1"
"Big worries","2009","indirect migration background","Male","131","0.383155255529441","0.331781158972324","0.434529352086559","1"
"Big worries","2009","indirect migration background","Female","132","0.38862456823331","0.338618722549419","0.438630413917201","1"
"No worries","2009","no migration background","Female","750","0.0968532766674999","0.0904199865836016","0.103286566751398","3"
"No worries","2009","direct migration background","Male","73","0.098874513439338","0.0775546008824617","0.120194425996214","3"
"No worries","2009","indirect migration background","Female","50","0.12820054424069","0.0939036424367699","0.162497446044611","3"
"No worries","2009","no migration background","Male","712","0.100265731480719","0.0934659388786439","0.107065524082795","3"
"No worries","2009","direct migration background","Female","105","0.0984909507974824","0.0788813166444486","0.118100584950516","3"
"No worries","2009","indirect migration background","Male","41","0.113020078464786","0.0795618019228728","0.146478355006699","3"
"Some worries","2009","direct migration background","Female","401","0.454815714378312","0.422045772089968","0.487585656666656","2"
"Some worries","2009","direct migration background","Male","323","0.444952610308541","0.40945717434501","0.480448046272071","2"
"Some worries","2009","no migration background","Male","2941","0.38911007516719","0.378072339438784","0.400147810895595","2"
"Some worries","2009","no migration background","Female","3460","0.413007357372755","0.402297293931587","0.423717420813923","2"
"Some worries","2009","indirect migration background","Male","172","0.503824666005773","0.45098912387968","0.556660208131865","2"
"Some worries","2009","indirect migration background","Female","183","0.483174887526","0.431909335309827","0.534440439742173","2"
"Big worries","2010","no migration background","Male","2869","0.409581647566151","0.398031166779752","0.421132128352549","1"
"Big worries","2010","no migration background","Female","2825","0.381093651670441","0.370133807910988","0.392053495429894","1"
"Big worries","2010","direct migration background","Male","237","0.330216941625783","0.29431051900799","0.366123364243576","1"
"Big worries","2010","direct migration background","Female","257","0.313258741933632","0.28097679888862","0.345540684978644","1"
"Big worries","2010","indirect migration background","Male","100","0.305886511697073","0.255001694402654","0.356771328991493","1"
"Big worries","2010","indirect migration background","Female","89","0.258417045774173","0.211816748203322","0.305017343345024","1"
"No worries","2010","no migration background","Male","820","0.134430647801437","0.126418481140094","0.14244281446278","3"
"No worries","2010","no migration background","Female","943","0.124255694822183","0.116811412261073","0.131699977383294","3"
"No worries","2010","direct migration background","Male","103","0.157048772650973","0.129269307442309","0.184828237859637","3"
"No worries","2010","direct migration background","Female","131","0.142767363530397","0.118418689494457","0.167116037566337","3"
"No worries","2010","indirect migration background","Male","61","0.23086469753516","0.184330422648215","0.277398972422105","3"
"No worries","2010","indirect migration background","Female","72","0.215481202417538","0.171713412812749","0.259248992022327","3"
"Some worries","2010","direct migration background","Male","319","0.512734285723244","0.47457199021067","0.550896581235817","2"
"Some worries","2010","direct migration background","Female","405","0.543973894535971","0.509308561340047","0.578639227731895","2"
"Some worries","2010","no migration background","Male","3274","0.455987704632412","0.444289187448316","0.467686221816509","2"
"Some worries","2010","no migration background","Female","3775","0.494650653507376","0.483367741921897","0.505933565092854","2"
"Some worries","2010","indirect migration background","Male","154","0.463248790767767","0.408182417151689","0.518315164383845","2"
"Some worries","2010","indirect migration background","Female","178","0.526101751808289","0.472949010535852","0.579254493080727","2"
"Big worries","2011","no migration background","Male","2899","0.346032080724141","0.33588331395599","0.356180847492292","1"
"Big worries","2011","no migration background","Female","2768","0.302483875700585","0.293156454444258","0.311811296956912","1"
"Big worries","2011","direct migration background","Male","233","0.254368959285262","0.225529302725712","0.283208615844812","1"
"Big worries","2011","direct migration background","Female","242","0.214893827635825","0.190408190417743","0.239379464853908","1"
"Big worries","2011","indirect migration background","Male","86","0.209036599117374","0.167936437623217","0.250136760611532","1"
"Big worries","2011","indirect migration background","Female","93","0.235177833972933","0.194324608909607","0.276031059036258","1"
"No worries","2011","no migration background","Female","1633","0.171996823629146","0.164333634118352","0.17966001313994","3"
"No worries","2011","no migration background","Male","1288","0.154676170567554","0.146961806528123","0.162390534606985","3"
"No worries","2011","direct migration background","Male","174","0.192739067092814","0.166618182405923","0.218859951779704","3"
"No worries","2011","direct migration background","Female","245","0.223967819129213","0.199115442866016","0.248820195392409","3"
"No worries","2011","indirect migration background","Male","91","0.255018130688134","0.210961371303174","0.299074890073094","3"
"No worries","2011","indirect migration background","Female","94","0.215840121118861","0.176210828750525","0.255469413487196","3"
"Some worries","2011","no migration background","Male","4253","0.499291748708305","0.488624646991767","0.509958850424843","2"
"Some worries","2011","no migration background","Female","4915","0.525519300670269","0.515379323852268","0.535659277488269","2"
"Some worries","2011","direct migration background","Male","469","0.552891973621924","0.519967229102209","0.585816718141639","2"
"Some worries","2011","direct migration background","Female","594","0.561138353234962","0.531555910336077","0.590720796133847","2"
"Some worries","2011","indirect migration background","Male","199","0.535945270194492","0.485537325329288","0.586353215059696","2"
"Some worries","2011","indirect migration background","Female","227","0.548982044908207","0.50105022636535","0.596913863451064","2"
"Big worries","2012","no migration background","Male","3571","0.42260313873312","0.412032613620156","0.433173663846085","1"
"Big worries","2012","no migration background","Female","3436","0.365824709192714","0.356038652141499","0.375610766243928","1"
"Big worries","2012","direct migration background","Male","279","0.321109378821341","0.289867952966944","0.352350804675738","1"
"Big worries","2012","direct migration background","Female","299","0.266952861691628","0.240259387410529","0.293646335972726","1"
"Big worries","2012","indirect migration background","Male","106","0.271306474929264","0.226542255016205","0.316070694842324","1"
"Big worries","2012","indirect migration background","Female","116","0.269318708584117","0.226690343045534","0.311947074122699","1"
"No worries","2012","no migration background","Male","1041","0.124168950871297","0.117112120660325","0.13122578108227","3"
"No worries","2012","no migration background","Female","1315","0.140539103775036","0.133477908568275","0.147600298981796","3"
"No worries","2012","direct migration background","Male","150","0.179625062128331","0.153939202492337","0.205310921764325","3"
"No worries","2012","direct migration background","Female","201","0.175358481780427","0.152411908059723","0.198305055501132","3"
"No worries","2012","indirect migration background","Male","87","0.243415469920272","0.200210739226911","0.286620200613634","3"
"No worries","2012","indirect migration background","Female","88","0.211768543858286","0.172507754046794","0.251029333669779","3"
"Some worries","2012","no migration background","Male","3777","0.453227910395582","0.442575338209403","0.463880482581761","2"
"Some worries","2012","no migration background","Female","4555","0.49363618703225","0.48347834646195","0.503794027602551","2"
"Some worries","2012","direct migration background","Male","429","0.499265559050328","0.465809561558769","0.532721556541887","2"
"Some worries","2012","direct migration background","Female","555","0.557688656527945","0.527718997259987","0.587658315795903","2"
"Some worries","2012","indirect migration background","Female","212","0.518912747557597","0.470899562118807","0.566925932996387","2"
"Some worries","2012","indirect migration background","Male","186","0.485278055150464","0.434961586383446","0.535594523917481","2"
"Big worries","2013","no migration background","Male","2633","0.336814482895665","0.326296266866461","0.347332698924868","1"
"Big worries","2013","no migration background","Female","2645","0.310087884719826","0.300361477122968","0.319814292316685","1"
"Big worries","2013","direct migration background","Male","198","0.286301852917718","0.253375155560239","0.319228550275197","1"
"Big worries","2013","direct migration background","Female","232","0.240682679109588","0.21341198664541","0.267953371573766","1"
"Big worries","2013","indirect migration background","Female","80","0.200335678081711","0.159497353363614","0.241174002799807","1"
"Big worries","2013","indirect migration background","Male","78","0.211275807380045","0.168075334858463","0.254476279901627","1"
"No worries","2013","no migration background","Female","1513","0.174143427916318","0.16616864188664","0.182118213945997","3"
"No worries","2013","no migration background","Male","1229","0.162540446266361","0.15432952598967","0.170751366543052","3"
"No worries","2013","direct migration background","Male","134","0.19819982491026","0.169162037957734","0.227237611862787","3"
"No worries","2013","direct migration background","Female","203","0.202067356039132","0.176452419178336","0.227682292899928","3"
"No worries","2013","indirect migration background","Male","81","0.291766089658143","0.243659253352172","0.339872925964113","3"
"No worries","2013","indirect migration background","Female","70","0.177079400087336","0.138130258016552","0.21602854215812","3"
"Some worries","2013","no migration background","Male","3894","0.500645070837975","0.489517539303279","0.51177260237267","2"
"Some worries","2013","no migration background","Female","4529","0.515768687363855","0.50525954921404","0.52627782551367","2"
"Some worries","2013","direct migration background","Male","392","0.515498322172022","0.479095078841515","0.551901565502528","2"
"Some worries","2013","direct migration background","Female","509","0.55724996485128","0.525564037588508","0.588935892114052","2"
"Some worries","2013","indirect migration background","Male","184","0.496958102961812","0.444045028317648","0.549871177605976","2"
"Some worries","2013","indirect migration background","Female","219","0.622584921830953","0.573126092733462","0.672043750928445","2"
"Big worries","2014","no migration background","Male","2238","0.241324175166653","0.23261380198705","0.250034548346256","1"
"Big worries","2014","no migration background","Female","2342","0.225331279894989","0.217453124278737","0.23320943551124","1"
"Big worries","2014","direct migration background","Male","432","0.183875095695737","0.1679707539293","0.199779437462173","1"
"Big worries","2014","direct migration background","Female","434","0.151314301952533","0.137802326430695","0.164826277474371","1"
"Big worries","2014","indirect migration background","Male","161","0.174709983268001","0.148877199917711","0.200542766618291","1"
"Big worries","2014","indirect migration background","Female","152","0.151824716544772","0.128823207396884","0.17482622569266","1"
"No worries","2014","no migration background","Male","2120","0.229308162502819","0.220750436827059","0.237865888178578","3"
"No worries","2014","no migration background","Female","2520","0.221594417697121","0.213763039782575","0.229425795611668","3"
"No worries","2014","direct migration background","Male","680","0.293102078780406","0.274414039856079","0.311790117704733","3"
"No worries","2014","direct migration background","Female","847","0.321909064513891","0.304292712044176","0.339525416983606","3"
"No worries","2014","indirect migration background","Male","275","0.342607092070039","0.31032068437705","0.374893499763029","3"
"No worries","2014","indirect migration background","Female","301","0.321494541280344","0.291557714788852","0.351431367771837","3"
"Some worries","2014","no migration background","Female","5942","0.55307430240789","0.543699433431408","0.562449171384371","2"
"Some worries","2014","no migration background","Male","4912","0.529367662330528","0.519206864501029","0.539528460160027","2"
"Some worries","2014","direct migration background","Male","1167","0.523022825523857","0.502516632171973","0.543529018875741","2"
"Some worries","2014","direct migration background","Female","1421","0.526776633533576","0.507950906368506","0.545602360698645","2"
"Some worries","2014","indirect migration background","Female","482","0.526680742174884","0.494677565250315","0.558683919099452","2"
"Some worries","2014","indirect migration background","Male","394","0.48268292466196","0.448687660564377","0.516678188759542","2"
"Big worries","2015","no migration background","Male","","","","","1"
"Big worries","2015","no migration background","Female","","","","","1"
"Big worries","2015","direct migration background","Male","","","","","1"
"Big worries","2015","direct migration background","Female","","","","","1"
"Big worries","2015","indirect migration background","Female","","","","","1"
"Big worries","2015","indirect migration background","Male","","","","","1"
"No worries","2015","no migration background","Female","","","","","3"
"No worries","2015","no migration background","Male","","","","","3"
"No worries","2015","direct migration background","Male","","","","","3"
"No worries","2015","direct migration background","Female","","","","","3"
"No worries","2015","indirect migration background","Male","","","","","3"
