"plh0034","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","Not Employed","no migration background","3046","0.515925710025152","0.503194387661032","0.528657032389272"
"Big worries","2009","Not Employed","direct migration background","303","0.482474426334822","0.444467118510818","0.520481734158826"
"Big worries","2009","Not Employed","indirect migration background","63","0.305973838977197","0.240791859515767","0.371155818438627"
"Big worries","2009","Employed","no migration background","4705","0.490273995847208","0.480323103937625","0.50022488775679"
"Big worries","2009","Employed","direct migration background","435","0.431003291104959","0.399934929404649","0.462071652805269"
"Big worries","2009","Employed","indirect migration background","200","0.412013634586801","0.369586642666243","0.454440626507359"
"Some worries","2009","Not Employed","no migration background","2213","0.363570777695359","0.351316337918189","0.37582521747253"
"Some worries","2009","Not Employed","direct migration background","270","0.380604965533449","0.343674469917211","0.417535461149687"
"Some worries","2009","Not Employed","indirect migration background","97","0.503912074589957","0.433190131013175","0.574634018166739"
"Some worries","2009","Employed","no migration background","4188","0.425032617456624","0.415192349647609","0.434872885265639"
"Some worries","2009","Employed","direct migration background","454","0.494920297075352","0.463553456771613","0.526287137379091"
"Some worries","2009","Employed","indirect migration background","258","0.490294821861443","0.447203383022788","0.533386260700099"
"No worries","2009","Not Employed","no migration background","660","0.120503512279488","0.112209955382621","0.128797069176356"
"No worries","2009","Not Employed","direct migration background","91","0.136920608131729","0.110773489671477","0.163067726591981"
"No worries","2009","Not Employed","indirect migration background","32","0.190114086432846","0.134611074940205","0.245617097925487"
"No worries","2009","Employed","no migration background","802","0.0846933866961678","0.0791511861823393","0.0902355872099963"
"No worries","2009","Employed","direct migration background","87","0.0740764118196884","0.0576459138940146","0.0905069097453622"
"No worries","2009","Employed","indirect migration background","59","0.0976915435517555","0.0720992729535233","0.123283814149988"
"Big worries","2010","Not Employed","no migration background","2359","0.445373503285005","0.432234944838984","0.458512061731025"
"Big worries","2010","Not Employed","direct migration background","199","0.316923441873093","0.279970304428964","0.353876579317223"
"Big worries","2010","Not Employed","indirect migration background","41","0.193266801518595","0.134596670077248","0.251936932959942"
"Big worries","2010","Employed","no migration background","3335","0.362501647120237","0.352574960236769","0.372428334003706"
"Big worries","2010","Employed","direct migration background","295","0.324020334857571","0.292427597809564","0.355613071905579"
"Big worries","2010","Employed","indirect migration background","148","0.309024639034033","0.26768608258043","0.350363195487637"
"Some worries","2010","Not Employed","no migration background","2432","0.428260523264641","0.415179601924418","0.441341444604864"
"Some worries","2010","Not Employed","direct migration background","287","0.499885134439811","0.46017426117257","0.539596007707052"
"Some worries","2010","Not Employed","indirect migration background","80","0.459003962443307","0.38496186269928","0.533046062187334"
"Some worries","2010","Employed","no migration background","4617","0.506260573731236","0.495936626999154","0.516584520463318"
"Some worries","2010","Employed","direct migration background","437","0.549113033615364","0.515523883095965","0.582702184134764"
"Some worries","2010","Employed","indirect migration background","252","0.50084428729271","0.456114497468587","0.545574077116832"
"No worries","2010","Not Employed","no migration background","706","0.126365973450354","0.117582524802946","0.135149422097762"
"No worries","2010","Not Employed","direct migration background","123","0.183191423687096","0.152469234573987","0.213913612800204"
"No worries","2010","Not Employed","indirect migration background","53","0.347729236038098","0.276965944371911","0.418492527704286"
"No worries","2010","Employed","no migration background","1057","0.131237779148527","0.124265260295482","0.138210298001572"
"No worries","2010","Employed","direct migration background","111","0.126866631527064","0.104399465164029","0.1493337978901"
"No worries","2010","Employed","indirect migration background","80","0.190131073673257","0.155026686920414","0.2252354604261"
"Big worries","2011","Not Employed","no migration background","2390","0.357046311373109","0.34571322201775","0.368379400728468"
"Big worries","2011","Not Employed","direct migration background","200","0.225591927416913","0.196825602795503","0.254358252038323"
"Big worries","2011","Not Employed","indirect migration background","44","0.193972517878774","0.141841406870815","0.246103628886734"
"Big worries","2011","Employed","no migration background","3277","0.302700226702107","0.294071429020567","0.311329024383646"
"Big worries","2011","Employed","direct migration background","275","0.237932149666431","0.213278616585454","0.262585682747407"
"Big worries","2011","Employed","indirect migration background","135","0.229512160548567","0.194959801595732","0.264064519501401"
"Some worries","2011","Not Employed","no migration background","3276","0.469979957325482","0.458174521992793","0.481785392658171"
"Some worries","2011","Not Employed","direct migration background","438","0.555308568379233","0.521107928469169","0.589509208289297"
"Some worries","2011","Not Employed","indirect migration background","125","0.563291057828351","0.497900592931719","0.628681522724984"
"Some worries","2011","Employed","no migration background","5892","0.539873151635076","0.530512225814434","0.549234077455718"
"Some worries","2011","Employed","direct migration background","625","0.558548902040061","0.529799574944473","0.587298229135648"
