"plh0034","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","in school","West Germany","64","0.226173167778993","0.174210570541152","0.278135765016835"
"Big worries","2009","in school","East Germany","9","","",""
"Big worries","2009","inadequately","West Germany","60","0.404772542459627","0.326221950503264","0.48332313441599"
"Big worries","2009","inadequately","East Germany","4","","",""
"Big worries","2009","general elemantary","West Germany","666","0.467989556726503","0.442763651463338","0.493215461989667"
"Big worries","2009","general elemantary","East Germany","102","0.443723428474512","0.383792957288969","0.503653899660054"
"Big worries","2009","middle vocational","West Germany","3357","0.498109010745917","0.486088170627161","0.510129850864673"
"Big worries","2009","middle vocational","East Germany","1068","0.44119702214985","0.421327903225616","0.461066141074085"
"Big worries","2009","vocational + Abi","West Germany","409","0.497067386355982","0.463415245423293","0.530719527288672"
"Big worries","2009","vocational + Abi","East Germany","69","0.496640677923887","0.417415617761281","0.575865738086494"
"Big worries","2009","higher vocational","West Germany","517","0.560574986430796","0.529097093764762","0.59205287909683"
"Big worries","2009","higher vocational","East Germany","209","0.525657523936107","0.474982831000215","0.576332216871999"
"Big worries","2009","higher education","West Germany","1464","0.526237976721361","0.507809274506504","0.544666678936219"
"Big worries","2009","higher education","East Germany","664","0.527394907303186","0.499206422506678","0.555583392099694"
"Some worries","2009","in school","West Germany","126","0.55855567194514","0.496879186055091","0.62023215783519"
"Some worries","2009","in school","East Germany","31","0.55771249222824","0.425245177162598","0.690179807293883"
"Some worries","2009","inadequately","West Germany","59","0.416956922082593","0.338053038857091","0.495860805308095"
"Some worries","2009","inadequately","East Germany","7","","",""
"Some worries","2009","general elemantary","West Germany","637","0.404055767736504","0.379247749845282","0.428863785627726"
"Some worries","2009","general elemantary","East Germany","102","0.317920454281513","0.261748067731645","0.37409284083138"
"Some worries","2009","middle vocational","West Germany","2762","0.420211599168035","0.408344715035833","0.432078483300238"
"Some worries","2009","middle vocational","East Germany","1017","0.414466011106793","0.394752976574021","0.434179045639564"
"Some worries","2009","vocational + Abi","West Germany","379","0.439352461156737","0.405948216436242","0.472756705877232"
"Some worries","2009","vocational + Abi","East Germany","71","0.408336819121864","0.330452698930076","0.486220939313652"
"Some worries","2009","higher vocational","West Germany","378","0.365200666941955","0.334663382306844","0.395737951577067"
"Some worries","2009","higher vocational","East Germany","131","0.377831427573805","0.328627842259555","0.427035012888055"
"Some worries","2009","higher education","West Germany","1173","0.397203237075432","0.379143335372899","0.415263138777965"
"Some worries","2009","higher education","East Germany","445","0.385249490627548","0.357772127526644","0.412726853728451"
"No worries","2009","in school","West Germany","59","0.215271160275866","0.164220525080946","0.266321795470786"
"No worries","2009","in school","East Germany","14","","",""
"No worries","2009","inadequately","West Germany","31","0.17827053545778","0.117020453271008","0.239520617644552"
"No worries","2009","inadequately","East Germany","5","","",""
"No worries","2009","general elemantary","West Germany","200","0.127954675536993","0.111067142578043","0.144842208495943"
"No worries","2009","general elemantary","East Germany","60","0.238356117243976","0.186959414579891","0.289752819908061"
"No worries","2009","middle vocational","West Germany","527","0.0816793900860477","0.0750949123842204","0.088263867787875"
"No worries","2009","middle vocational","East Germany","314","0.144336966743357","0.130274123392185","0.158399810094529"
"No worries","2009","vocational + Abi","West Germany","60","0.0635801524872807","0.0471573884680857","0.0800029165064757"
"No worries","2009","vocational + Abi","East Germany","13","","",""
"No worries","2009","higher vocational","West Germany","60","0.0742243466272487","0.0575989324065148","0.0908497608479825"
"No worries","2009","higher vocational","East Germany","33","0.0965110484900885","0.0665440245325538","0.126478072447623"
"No worries","2009","higher education","West Germany","183","0.0765587862032069","0.0667452465132995","0.0863723258931143"
"No worries","2009","higher education","East Germany","96","0.0873556020692665","0.0714133106221141","0.103297893516419"
"Big worries","2010","in school","West Germany","47","0.190928095766556","0.141203535543353","0.240652655989759"
"Big worries","2010","in school","East Germany","5","","",""
"Big worries","2010","inadequately","West Germany","42","0.404153093585812","0.317429785967373","0.490876401204251"
"Big worries","2010","inadequately","East Germany","5","","",""
"Big worries","2010","general elemantary","West Germany","465","0.357596835540193","0.332327446671756","0.38286622440863"
"Big worries","2010","general elemantary","East Germany","50","0.279640426247716","0.220197431992421","0.33908342050301"
"Big worries","2010","middle vocational","West Germany","2505","0.404967157576137","0.39264748559203","0.417286829560243"
"Big worries","2010","middle vocational","East Germany","745","0.349300585073208","0.329315183602801","0.369285986543616"
"Big worries","2010","vocational + Abi","West Germany","303","0.374145703424358","0.340550604017039","0.407740802831678"
"Big worries","2010","vocational + Abi","East Germany","38","0.239138933546657","0.169947952563541","0.308329914529773"
"Big worries","2010","higher vocational","West Germany","405","0.427737294504164","0.395539158653218","0.459935430355111"
"Big worries","2010","higher vocational","East Germany","151","0.430207270152178","0.378337849965241","0.482076690339115"
"Big worries","2010","higher education","West Germany","1061","0.382765703931961","0.364448634577398","0.401082773286524"
"Big worries","2010","higher education","East Germany","484","0.39939426870697","0.370736174045942","0.428052363367998"
"Some worries","2010","in school","West Germany","121","0.530495184471512","0.467355382034301","0.593634986908723"
"Some worries","2010","in school","East Germany","13","","",""
"Some worries","2010","inadequately","West Germany","50","0.424537472736314","0.33718764059298","0.511887304879649"
"Some worries","2010","inadequately","East Germany","4","","",""
"Some worries","2010","general elemantary","West Germany","688","0.486022230435638","0.45967140012731","0.512373060743966"
"Some worries","2010","general elemantary","East Germany","103","0.419653420033106","0.354292955265464","0.485013884800749"
"Some worries","2010","middle vocational","West Germany","2953","0.481788424408755","0.469248338552722","0.494328510264789"
"Some worries","2010","middle vocational","East Germany","1051","0.466136336410828","0.445224379629082","0.487048293192574"
"Some worries","2010","vocational + Abi","West Germany","401","0.521802683157369","0.487122957615069","0.556482408699669"
"Some worries","2010","vocational + Abi","East Germany","94","0.627979905466352","0.549577798127338","0.706382012805367"
"Some worries","2010","higher vocational","West Germany","428","0.470410494943935","0.437927756607292","0.502893233280578"
"Some worries","2010","higher vocational","East Germany","159","0.445211020224809","0.393144214512258","0.49727782593736"
"Some worries","2010","higher education","West Germany","1390","0.487936434855466","0.469099596177398","0.506773273533535"
