"plh0034","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","16-34 y.","no migration background","1083","0.366283637328062","0.349482855290438","0.383084419365686"
"Big worries","2009","16-34 y.","direct migration background","100","0.393336866007219","0.337593497156711","0.449080234857727"
"Big worries","2009","16-34 y.","indirect migration background","175","0.35516214756299","0.313749975801928","0.396574319324051"
"Big worries","2009","35-65 y.","no migration background","4520","0.526619754763785","0.516093606741477","0.537145902786093"
"Big worries","2009","35-65 y.","direct migration background","474","0.450883218523705","0.420256990797966","0.481509446249445"
"Big worries","2009","35-65 y.","indirect migration background","86","0.493064124743495","0.421975599259191","0.564152650227798"
"Big worries","2009","66 and older","no migration background","2148","0.556278076830971","0.540506574639975","0.572049579021967"
"Big worries","2009","66 and older","direct migration background","164","0.520914921240425","0.467097384572538","0.574732457908311"
"Big worries","2009","66 and older","indirect migration background","","","",""
"Some worries","2009","16-34 y.","no migration background","1568","0.473661235298087","0.456249587321618","0.491072883274555"
"Some worries","2009","16-34 y.","direct migration background","152","0.487498148247076","0.43045922905153","0.544537067442621"
"Some worries","2009","16-34 y.","indirect migration background","264","0.51895065872668","0.475714484882819","0.562186832570542"
"Some worries","2009","35-65 y.","no migration background","3534","0.402783039494421","0.392443112119695","0.413122966869146"
"Some worries","2009","35-65 y.","direct migration background","452","0.466746639593525","0.436039701465722","0.497453577721328"
"Some worries","2009","35-65 y.","indirect migration background","88","0.40455282031998","0.334764856310963","0.474340784328997"
"Some worries","2009","66 and older","no migration background","1299","0.338996825030413","0.323969861473973","0.354023788586854"
"Some worries","2009","66 and older","direct migration background","120","0.348105504345689","0.296786503013123","0.399424505678255"
"Some worries","2009","66 and older","indirect migration background","","","",""
"No worries","2009","16-34 y.","no migration background","508","0.160055127373851","0.147269163724254","0.172841091023449"
"No worries","2009","16-34 y.","direct migration background","43","0.119164985745705","0.0821941983025352","0.156135773188875"
"No worries","2009","16-34 y.","indirect migration background","74","0.12588719371033","0.0971817723536527","0.154592615067007"
"No worries","2009","35-65 y.","no migration background","589","0.0705972057417944","0.0651969841943189","0.0759974272892698"
"No worries","2009","35-65 y.","direct migration background","88","0.0823701418827695","0.0654482939209642","0.0992919898445748"
"No worries","2009","35-65 y.","indirect migration background","","","",""
"No worries","2009","66 and older","no migration background","365","0.104725098138616","0.0950048973119595","0.114445298965272"
"No worries","2009","66 and older","direct migration background","47","0.130979574413886","0.0946340555006508","0.167325093327121"
"No worries","2009","66 and older","indirect migration background","","","",""
"Big worries","2010","16-34 y.","no migration background","666","0.232769715007125","0.21737045044293","0.248168979571321"
"Big worries","2010","16-34 y.","direct migration background","63","0.257299393102428","0.201878258719036","0.31272052748582"
"Big worries","2010","16-34 y.","indirect migration background","112","0.263525709126555","0.222594141647467","0.304457276605643"
"Big worries","2010","35-65 y.","no migration background","3276","0.412592224312918","0.401759633014276","0.42342481561156"
"Big worries","2010","35-65 y.","direct migration background","318","0.313814022850141","0.28361439856564","0.344013647134642"
"Big worries","2010","35-65 y.","indirect migration background","74","0.348297459616439","0.28275844122811","0.413836478004769"
"Big worries","2010","66 and older","no migration background","1752","0.47835447131092","0.462212898086746","0.494496044535094"
"Big worries","2010","66 and older","direct migration background","113","0.400050968983659","0.345159832931325","0.454942105035994"
"Big worries","2010","66 and older","indirect migration background","","","",""
"Some worries","2010","16-34 y.","no migration background","1616","0.552814942229813","0.534697061239281","0.570932823220344"
"Some worries","2010","16-34 y.","direct migration background","139","0.610295021120348","0.548466760173279","0.672123282067418"
"Some worries","2010","16-34 y.","indirect migration background","228","0.481768492808545","0.435343783896493","0.528193201720596"
"Some worries","2010","35-65 y.","no migration background","3892","0.484755405704966","0.473758511540508","0.495752299869425"
"Some worries","2010","35-65 y.","direct migration background","449","0.53214929693177","0.499676863358243","0.564621730505296"
"Some worries","2010","35-65 y.","indirect migration background","102","0.536105665517461","0.467503977084061","0.604707353950861"
"Some worries","2010","66 and older","no migration background","1541","0.404029233097676","0.388172925195469","0.419885540999884"
"Some worries","2010","66 and older","direct migration background","136","0.449566504634103","0.393830378813324","0.505302630454881"
"Some worries","2010","66 and older","indirect migration background","","","",""
