"plh0034","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","no migration background","West Germany","5656","0.510738735746206","0.50147429246162","0.520003179030793"
"Big worries","2009","no migration background","East Germany","2095","0.462745596893818","0.448062848146243","0.477428345641394"
"Big worries","2009","direct migration background","West Germany","700","0.448267886997764","0.423628842308069","0.47290693168746"
"Big worries","2009","direct migration background","East Germany","38","0.541759862251272","0.428996650841955","0.654523073660588"
"Big worries","2009","indirect migration background","West Germany","257","0.395578666849371","0.35849811548118","0.432659218217562"
"Big worries","2009","indirect migration background","East Germany","","","",""
"Some worries","2009","no migration background","West Germany","4600","0.401178583177755","0.392094794043958","0.410262372311551"
"Some worries","2009","no migration background","East Germany","1801","0.401688330800851","0.387252074887166","0.416124586714535"
"Some worries","2009","direct migration background","West Germany","700","0.454307906429882","0.429639567981511","0.478976244878253"
"Some worries","2009","direct migration background","East Germany","","","",""
"Some worries","2009","indirect migration background","West Germany","331","0.488145627644083","0.450239644046734","0.526051611241432"
"Some worries","2009","indirect migration background","East Germany","","","",""
"No worries","2009","no migration background","West Germany","928","0.0880826810760389","0.0828301031239678","0.09333525902811"
"No worries","2009","no migration background","East Germany","534","0.135566072305331","0.125485443187","0.145646701423662"
"No worries","2009","direct migration background","West Germany","165","0.0974242065723535","0.0827327045322531","0.112115708612454"
"No worries","2009","direct migration background","East Germany","","","",""
"No worries","2009","indirect migration background","West Germany","80","0.116275705506546","0.0919669487114928","0.140584462301599"
"No worries","2009","indirect migration background","East Germany","","","",""
"Big worries","2010","no migration background","West Germany","4234","0.405450459542141","0.396049956523343","0.414850962560938"
"Big worries","2010","no migration background","East Germany","1460","0.358250515729995","0.343441252504164","0.373059778955826"
"Big worries","2010","direct migration background","West Germany","476","0.323500204477006","0.29890718773255","0.348093221221461"
"Big worries","2010","direct migration background","East Germany","","","",""
"Big worries","2010","indirect migration background","West Germany","181","0.290351889709981","0.25450581639454","0.326197963025422"
"Big worries","2010","indirect migration background","East Germany","","","",""
"Some worries","2010","no migration background","West Germany","5131","0.476473151970213","0.466910532649569","0.486035771290857"
"Some worries","2010","no migration background","East Germany","1918","0.471672050862972","0.456254011839679","0.487090089886265"
"Some worries","2010","direct migration background","West Germany","696","0.532351438780568","0.506121353159063","0.558581524402073"
"Some worries","2010","direct migration background","East Germany","","","",""
"Some worries","2010","indirect migration background","West Germany","312","0.486293113474233","0.446823353211179","0.525762873737287"
"Some worries","2010","indirect migration background","East Germany","","","",""
"No worries","2010","no migration background","West Germany","1114","0.118076388487646","0.111897858107406","0.124254918867885"
"No worries","2010","no migration background","East Germany","649","0.170077433407034","0.158473655450578","0.181681211363489"
"No worries","2010","direct migration background","West Germany","218","0.144148356742426","0.125683549289855","0.162613164194998"
"No worries","2010","direct migration background","East Germany","","","",""
"No worries","2010","indirect migration background","West Germany","123","0.223354996815786","0.190464771583809","0.256245222047763"
"No worries","2010","indirect migration background","East Germany","","","",""
"Big worries","2011","no migration background","West Germany","4204","0.321680177626725","0.313662067684522","0.329698287568928"
"Big worries","2011","no migration background","East Germany","1463","0.33202919945104","0.318591157237207","0.345467241664872"
"Big worries","2011","direct migration background","West Germany","443","0.231125762236306","0.212004006550674","0.250247517921939"
"Big worries","2011","direct migration background","East Germany","32","0.309489946833072","0.213982966864498","0.404996926801647"
"Big worries","2011","indirect migration background","West Germany","173","0.226123571589761","0.196105180956637","0.256141962222885"
"Big worries","2011","indirect migration background","East Germany","","","",""
"Some worries","2011","no migration background","West Germany","6806","0.521768474789271","0.513194136358072","0.53034281322047"
"Some worries","2011","no migration background","East Germany","2362","0.478820550669166","0.464566143665632","0.4930749576727"
"Some worries","2011","direct migration background","West Germany","1028","0.562980372469912","0.540480864008623","0.5854798809312"
"Some worries","2011","direct migration background","East Germany","35","0.350489927679821","0.251917023427405","0.449062831932237"
