"plh0034","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","in school","Male","46","0.254380846291242","0.187522593861383","0.321239098721102"
"Big worries","2009","in school","Female","27","","",""
"Big worries","2009","inadequately","Male","22","","",""
"Big worries","2009","inadequately","Female","42","0.488471022219666","0.388995381066806","0.587946663372525"
"Big worries","2009","general elemantary","Male","216","0.437235820639509","0.395966939963696","0.478504701315322"
"Big worries","2009","general elemantary","Female","552","0.478683330514412","0.450559676974854","0.50680698405397"
"Big worries","2009","middle vocational","Male","2135","0.491235517356801","0.476247847966396","0.506223186747206"
"Big worries","2009","middle vocational","Female","2290","0.482555983940333","0.468376875631137","0.496735092249528"
"Big worries","2009","vocational + Abi","Male","190","0.519960354020563","0.470566207620579","0.569354500420547"
"Big worries","2009","vocational + Abi","Female","288","0.479945012887656","0.44023347777436","0.519656548000952"
"Big worries","2009","higher vocational","Male","451","0.565587581527863","0.530801794140333","0.600373368915393"
"Big worries","2009","higher vocational","Female","275","0.534188450687925","0.492423671944858","0.575953229430992"
"Big worries","2009","higher education","Male","1222","0.553604747543043","0.532746375748474","0.574463119337611"
"Big worries","2009","higher education","Female","906","0.491906513002599","0.469082157463875","0.514730868541322"
"Some worries","2009","in school","Male","84","0.553127453263484","0.476803873190157","0.629451033336811"
"Some worries","2009","in school","Female","73","0.564302305704207","0.482166482084821","0.646438129323594"
"Some worries","2009","inadequately","Male","34","0.510014814180534","0.392062513560526","0.627967114800541"
"Some worries","2009","inadequately","Female","32","0.322712792142737","0.229675566597119","0.415750017688355"
"Some worries","2009","general elemantary","Male","243","0.411005111416944","0.370071414096965","0.451938808736923"
"Some worries","2009","general elemantary","Female","496","0.386694262476954","0.359277311275791","0.414111213678118"
"Some worries","2009","middle vocational","Male","1732","0.414643998575268","0.39987406433398","0.429413932816557"
"Some worries","2009","middle vocational","Female","2047","0.423293702159782","0.40927390812997","0.437313496189594"
"Some worries","2009","vocational + Abi","Male","175","0.40506674623597","0.356532394435154","0.453601098036785"
"Some worries","2009","vocational + Abi","Female","275","0.458584576159127","0.418977632082726","0.498191520235528"
"Some worries","2009","higher vocational","Male","268","0.335578212756666","0.302440723451164","0.368715702062168"
"Some worries","2009","higher vocational","Female","241","0.414605293343118","0.373357603641665","0.455852983044571"
"Some worries","2009","higher education","Male","813","0.370510009433699","0.350246479380591","0.390773539486807"
"Some worries","2009","higher education","Female","805","0.425173383447321","0.402603106263127","0.447743660631516"
"No worries","2009","in school","Male","33","0.192491700445274","0.131966840845511","0.253016560045036"
"No worries","2009","in school","Female","40","0.255642072446601","0.183383205552432","0.32790093934077"
"No worries","2009","inadequately","Male","13","","",""
"No worries","2009","inadequately","Female","23","","",""
"No worries","2009","general elemantary","Male","96","0.151759067943547","0.121909466443707","0.181608669443387"
"No worries","2009","general elemantary","Female","164","0.134622407008634","0.115406615422403","0.153838198594865"
"No worries","2009","middle vocational","Male","407","0.0941204840679307","0.085366452107991","0.10287451602787"
"No worries","2009","middle vocational","Female","434","0.0941503138998848","0.0858636001342921","0.102437027665477"
"No worries","2009","vocational + Abi","Male","28","","",""
"No worries","2009","vocational + Abi","Female","45","0.0614704109532173","0.0423783266112776","0.0805624952951571"
"No worries","2009","higher vocational","Male","61","0.0988342057154709","0.077890343251278","0.119778068179664"
"No worries","2009","higher vocational","Female","32","0.051206255968957","0.0327516307686374","0.0696608811692766"
"No worries","2009","higher education","Male","147","0.0758852430232585","0.0647740079631191","0.0869964780833979"
"No worries","2009","higher education","Female","132","0.0829201035500804","0.0703303007406767","0.0955099063594841"
"Big worries","2010","in school","Male","36","0.225211830409208","0.159661802280813","0.290761858537602"
"Big worries","2010","in school","Female","16","","",""
"Big worries","2010","inadequately","Male","22","","",""
"Big worries","2010","inadequately","Female","25","","",""
"Big worries","2010","general elemantary","Male","146","0.331338947018762","0.289831705279196","0.372846188758329"
"Big worries","2010","general elemantary","Female","369","0.35796948821174","0.329728810150759","0.386210166272721"
"Big worries","2010","middle vocational","Male","1559","0.399388532570576","0.38403298106808","0.414744084073072"
"Big worries","2010","middle vocational","Female","1691","0.388509716012355","0.374070103459243","0.402949328565467"
"Big worries","2010","vocational + Abi","Male","136","0.365503211343434","0.316166765389926","0.414839657296942"
"Big worries","2010","vocational + Abi","Female","205","0.353715821012931","0.314703733532319","0.392727908493544"
"Big worries","2010","higher vocational","Male","355","0.456170651669178","0.420308695284789","0.492032608053566"
"Big worries","2010","higher vocational","Female","201","0.387598784666214","0.345561711999125","0.429635857333303"
"Big worries","2010","higher education","Male","913","0.42160338641307","0.400304692165616","0.442902080660524"
"Big worries","2010","higher education","Female","632","0.341354670697769","0.319214861590914","0.363494479804624"
"Some worries","2010","in school","Male","70","0.494621422278187","0.41616460844973","0.573078236106644"
"Some worries","2010","in school","Female","64","0.579209239319805","0.488184444750478","0.670234033889132"
"Some worries","2010","inadequately","Male","25","","",""
"Some worries","2010","inadequately","Female","29","","",""
"Some worries","2010","general elemantary","Male","251","0.474657986575043","0.430623181318694","0.518692791831393"
"Some worries","2010","general elemantary","Female","540","0.481002476939108","0.451569744696415","0.510435209181801"
"Some worries","2010","middle vocational","Male","1840","0.461836431925454","0.446205961280132","0.477466902570775"
"Some worries","2010","middle vocational","Female","2164","0.49508748892783","0.480275654128781","0.50989932372688"
"Some worries","2010","vocational + Abi","Male","188","0.529326163158872","0.478189868289508","0.580462458028236"
"Some worries","2010","vocational + Abi","Female","307","0.537259481279366","0.496575729754853","0.577943232803878"
"Some worries","2010","higher vocational","Male","321","0.429480422844474","0.39383974552139","0.465121100167557"
