"plh0034","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","Schleswig-Holstein","West Germany","188","0.370676572652306","0.32851009327597","0.412843052028643"
"Big worries","2009","Schleswig-Holstein","East Germany","","","",""
"Big worries","2009","Hamburg","West Germany","113","0.431242023151405","0.372059123595887","0.490424922706922"
"Big worries","2009","Hamburg","East Germany","","","",""
"Big worries","2009","Lower Saxony","West Germany","817","0.502162183433343","0.47791909149232","0.526405275374365"
"Big worries","2009","Lower Saxony","East Germany","","","",""
"Big worries","2009","Bremen","West Germany","52","0.552983395422237","0.463276678954021","0.642690111890453"
"Big worries","2009","Bremen","East Germany","","","",""
"Big worries","2009","North Rhine-Westphalia","West Germany","1833","0.503666340164164","0.487356383073409","0.519976297254919"
"Big worries","2009","North Rhine-Westphalia","East Germany","","","",""
"Big worries","2009","Hesse","West Germany","577","0.512949579390352","0.484798158507062","0.541101000273642"
"Big worries","2009","Hesse","East Germany","","","",""
"Big worries","2009","Rhineland-Palatinate,Saarland","West Germany","458","0.451053999102581","0.420576649675001","0.481531348530161"
"Big worries","2009","Rhineland-Palatinate,Saarland","East Germany","","","",""
"Big worries","2009","Baden-Württemberg","West Germany","1050","0.520433420619165","0.498984458730944","0.541882382507386"
"Big worries","2009","Baden-Württemberg","East Germany","","","",""
"Big worries","2009","Bavaria","West Germany","1343","0.503210523679242","0.483988194842029","0.522432852516455"
"Big worries","2009","Bavaria","East Germany","","","",""
"Big worries","2009","Berlin","West Germany","182","0.456533896176211","0.405363339184271","0.50770445316815"
"Big worries","2009","Berlin","East Germany","155","0.49293780605981","0.438074821581383","0.547800790538238"
"Big worries","2009","Brandenburg","West Germany","","","",""
"Big worries","2009","Brandenburg","East Germany","363","0.449116748187997","0.414497238936176","0.483736257439817"
"Big worries","2009","Mecklenburg-Western Pomerania","West Germany","","","",""
"Big worries","2009","Mecklenburg-Western Pomerania","East Germany","250","0.502781597766187","0.457864891877701","0.547698303654674"
"Big worries","2009","Saxony","West Germany","","","",""
"Big worries","2009","Saxony","East Germany","602","0.425668887998614","0.399458046771315","0.451879729225913"
"Big worries","2009","Saxony-Anhalt","West Germany","","","",""
"Big worries","2009","Saxony-Anhalt","East Germany","402","0.528610818772341","0.49332966734429","0.563891970200391"
"Big worries","2009","Thuringia","West Germany","","","",""
"Big worries","2009","Thuringia","East Germany","367","0.419303442944813","0.385570749307963","0.453036136581664"
"Some worries","2009","Schleswig-Holstein","West Germany","210","0.450522567514728","0.407084946868159","0.493960188161298"
"Some worries","2009","Schleswig-Holstein","East Germany","","","",""
"Some worries","2009","Hamburg","West Germany","123","0.461263067483571","0.401692098144608","0.520834036822535"
"Some worries","2009","Hamburg","East Germany","","","",""
