"plh0034","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2009","1-pers.-HH","1369","0.490846317161487","0.472537562828497","0.509155071494476","1"
"Big worries","2009","(Married) couple without C. ","3622","0.54907083792848","0.537094420421772","0.561047255435188","1"
"Big worries","2009","Single parent ","413","0.416031852197318","0.385281691793239","0.446782012601398","1"
"Big worries","2009","Couple + C. LE 16 ","1277","0.445242772756476","0.42697399111416","0.463511554398792","1"
"Big worries","2009","Couple + C. GT 16 ","1477","0.464971951762579","0.447531944812629","0.482411958712528","1"
"Big worries","2009","Couple + C. LE and GT 16","454","0.364648544357348","0.337068216981855","0.392228871732842","1"
"No worries","2009","(Married) couple without C. ","513","0.0746537410508031","0.0683276345096821","0.0809798475919241","3"
"No worries","2009","Single parent ","131","0.13964653812086","0.118022188374786","0.161270887866934","3"
"No worries","2009","Couple + C. LE and GT 16","144","0.153304598728577","0.132660479816229","0.173948717640925","3"
"No worries","2009","1-pers.-HH","344","0.115855147386158","0.104133707552558","0.127576587219757","3"
"No worries","2009","Couple + C. LE 16 ","242","0.0963609594105826","0.0855140075743998","0.107207911246765","3"
"No worries","2009","Couple + C. GT 16 ","309","0.0967426492614131","0.0864064769419394","0.107078821580887","3"
"Some worries","2009","Couple + C. LE 16 ","1324","0.458396267832941","0.440080673247108","0.476711862418775","2"
"Some worries","2009","Single parent ","443","0.444321609681822","0.413322445340074","0.475320774023569","2"
"Some worries","2009","1-pers.-HH","1151","0.393298535452356","0.375408538340273","0.411188532564439","2"
"Some worries","2009","(Married) couple without C. ","2496","0.376275421020717","0.364615169153184","0.387935672888249","2"
"Some worries","2009","Couple + C. GT 16 ","1356","0.438285398976008","0.420936122875442","0.455634675076575","2"
"Some worries","2009","Couple + C. LE and GT 16","572","0.482046856914074","0.453415296059678","0.510678417768471","2"
"Big worries","2010","1-pers.-HH","1051","0.389443453494986","0.371098005598119","0.407788901391853","1"
"Big worries","2010","(Married) couple without C. ","2803","0.435934401052848","0.423682750445116","0.448186051660581","1"
"Big worries","2010","Single parent ","253","0.276585868372484","0.247165365225563","0.306006371519404","1"
"Big worries","2010","Couple + C. LE 16 ","858","0.335542981843185","0.317191022551905","0.353894941134465","1"
"Big worries","2010","Couple + C. GT 16 ","972","0.321004171525097","0.303782252492102","0.338226090558092","1"
