"plh0034","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","lower secondary degree","in school","","","",""
"Big worries","2009","lower secondary degree","inadequately","","","",""
"Big worries","2009","lower secondary degree","general elemantary","531","0.490140794102934","0.461147297334714","0.519134290871153"
"Big worries","2009","lower secondary degree","middle vocational","2229","0.525015796776366","0.509918674778159","0.540112918774574"
"Big worries","2009","lower secondary degree","vocational + Abi","","","",""
"Big worries","2009","lower secondary degree","higher vocational","223","0.549352955977306","0.499522747948494","0.599183164006118"
"Big worries","2009","lower secondary degree","higher education","112","0.648763331268232","0.574797494966221","0.722729167570244"
"Big worries","2009","secondary school degree","in school","","","",""
"Big worries","2009","secondary school degree","inadequately","","","",""
"Big worries","2009","secondary school degree","general elemantary","157","0.415024545484388","0.368398867707976","0.461650223260799"
"Big worries","2009","secondary school degree","middle vocational","1799","0.472236786424888","0.456281820188225","0.488191752661551"
"Big worries","2009","secondary school degree","vocational + Abi","","","",""
"Big worries","2009","secondary school degree","higher vocational","324","0.583648348179249","0.544138689724379","0.623158006634119"
"Big worries","2009","secondary school degree","higher education","313","0.515067606324819","0.474568739227155","0.555566473422484"
"Big worries","2009","college entrance qualification","in school","","","",""
"Big worries","2009","college entrance qualification","inadequately","","","",""
"Big worries","2009","college entrance qualification","general elemantary","","","",""
"Big worries","2009","college entrance qualification","middle vocational","215","0.346951014373386","0.310187915037211","0.38371411370956"
"Big worries","2009","college entrance qualification","vocational + Abi","412","0.495065360305122","0.46182336717725","0.528307353432994"
"Big worries","2009","college entrance qualification","higher vocational","154","0.509016507812458","0.452446421355958","0.565586594268958"
"Big worries","2009","college entrance qualification","higher education","1605","0.529515946068016","0.511871495666392","0.547160396469641"
"Big worries","2009","Other degree","in school","","","",""
"Big worries","2009","Other degree","inadequately","","","",""
"Big worries","2009","Other degree","general elemantary","80","0.420147252929444","0.351046993324086","0.489247512534802"
"Big worries","2009","Other degree","middle vocational","121","0.462455249081512","0.40219757194877","0.522712926214253"
"Big worries","2009","Other degree","vocational + Abi","41","0.431063734374075","0.328751071365353","0.533376397382797"
"Big worries","2009","Other degree","higher vocational","","","",""
"Big worries","2009","Other degree","higher education","79","0.439747908718584","0.364914009749483","0.514581807687685"
"Big worries","2009","no degree/no degree yet","in school","73","0.219246838428622","0.17266138550068","0.265832291356564"
"Big worries","2009","no degree/no degree yet","inadequately","51","0.394388005604724","0.31101600776499","0.477760003444459"
"Big worries","2009","no degree/no degree yet","general elemantary","","","",""
"Big worries","2009","no degree/no degree yet","middle vocational","","","",""
"Big worries","2009","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","2009","no degree/no degree yet","higher vocational","","","",""
"Big worries","2009","no degree/no degree yet","higher education","","","",""
"Some worries","2009","lower secondary degree","in school","","","",""
"Some worries","2009","lower secondary degree","inadequately","","","",""
"Some worries","2009","lower secondary degree","general elemantary","453","0.378403198869296","0.350274682629632","0.406531715108961"
"Some worries","2009","lower secondary degree","middle vocational","1615","0.383524396084062","0.368824209715573","0.398224582452551"
"Some worries","2009","lower secondary degree","vocational + Abi","","","",""
"Some worries","2009","lower secondary degree","higher vocational","131","0.325887998997335","0.278947368651543","0.372828629343127"
"Some worries","2009","lower secondary degree","higher education","40","0.316702154682876","0.244621514633263","0.388782794732488"
"Some worries","2009","secondary school degree","in school","","","",""
"Some worries","2009","secondary school degree","inadequately","","","",""
"Some worries","2009","secondary school degree","general elemantary","198","0.406817098386161","0.360332042661707","0.453302154110615"
"Some worries","2009","secondary school degree","middle vocational","1655","0.44858482904044","0.432689919138772","0.464479738942109"
"Some worries","2009","secondary school degree","vocational + Abi","","","",""
