"m11104","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","1-pers.-HH","Male","307","0.580995169371509","0.539147310904018","0.622843027839"
"Almost never or never","1984","1-pers.-HH","Female","571","0.762407255412725","0.732558057086804","0.792256453738645"
"Almost never or never","1984","(Married) couple without C. ","Male","890","0.693286596791311","0.668550553195988","0.718022640386633"
"Almost never or never","1984","(Married) couple without C. ","Female","966","0.727859606732344","0.703831989817325","0.751887223647364"
"Almost never or never","1984","Single parent ","Male","93","0.47063226465772","0.400931978599218","0.540332550716222"
"Almost never or never","1984","Single parent ","Female","260","0.684237819457177","0.637441458759009","0.731034180155345"
"Almost never or never","1984","Couple + C. LE 16 ","Male","844","0.518838119466034","0.493769387362831","0.543906851569237"
"Almost never or never","1984","Couple + C. LE 16 ","Female","1052","0.63157205480244","0.607297960469062","0.655846149135819"
"Almost never or never","1984","Couple + C. GT 16 ","Male","570","0.533615755077127","0.503654531565263","0.56357697858899"
"Almost never or never","1984","Couple + C. GT 16 ","Female","563","0.610648426622004","0.578541567806131","0.642755285437878"
"Almost never or never","1984","Couple + C. LE and GT 16","Male","503","0.534945781027738","0.502645445636299","0.567246116419178"
"Almost never or never","1984","Couple + C. LE and GT 16","Female","532","0.612594675948188","0.578296846120371","0.646892505776006"
"Several times a year","1984","1-pers.-HH","Male","106","0.183357122086534","0.150536829843957","0.216177414329111"
"Several times a year","1984","1-pers.-HH","Female","88","0.102322812694895","0.0810674312453396","0.123578194144449"
"Several times a year","1984","(Married) couple without C. ","Male","209","0.143356533618422","0.124558333995458","0.162154733241386"
"Several times a year","1984","(Married) couple without C. ","Female","182","0.134450133235522","0.116033211128576","0.152867055342468"
"Several times a year","1984","Single parent ","Male","43","0.228580783805069","0.169942660385984","0.287218907224155"
"Several times a year","1984","Single parent ","Female","63","0.155245542030265","0.118786663876989","0.191704420183541"
"Several times a year","1984","Couple + C. LE 16 ","Male","375","0.247601924205568","0.225946251951298","0.269257596459838"
"Several times a year","1984","Couple + C. LE 16 ","Female","272","0.20083758687035","0.180677364288179","0.22099780945252"
"Several times a year","1984","Couple + C. GT 16 ","Male","229","0.22522466641987","0.200136486465393","0.250312846374348"
"Several times a year","1984","Couple + C. GT 16 ","Female","183","0.209465039992599","0.182670423534453","0.236259656450745"
"Several times a year","1984","Couple + C. LE and GT 16","Male","187","0.198926572945509","0.17307524140803","0.224777904482988"
"Several times a year","1984","Couple + C. LE and GT 16","Female","139","0.20195994103359","0.173695382706296","0.230224499360885"
"At least once a month","1984","1-pers.-HH","Male","121","0.235647708541957","0.199651574617377","0.271643842466537"
"At least once a month","1984","1-pers.-HH","Female","122","0.135269931892381","0.111283619256027","0.159256244528734"
"At least once a month","1984","(Married) couple without C. ","Male","236","0.163356869590267","0.143525793352804","0.183187945827731"
"At least once a month","1984","(Married) couple without C. ","Female","170","0.137690260032134","0.119087660292195","0.156292859772073"
"At least once a month","1984","Single parent ","Male","61","0.300786951537211","0.236747259287869","0.364826643786552"
"At least once a month","1984","Single parent ","Female","56","0.160516638512558","0.123559821412071","0.197473455613044"
"At least once a month","1984","Couple + C. LE 16 ","Male","307","0.233559956328398","0.212331954792803","0.254787957863994"
"At least once a month","1984","Couple + C. LE 16 ","Female","193","0.16759035832721","0.148795097091412","0.186385619563007"
"At least once a month","1984","Couple + C. GT 16 ","Male","266","0.241159578503003","0.215467409301275","0.266851747704731"
"At least once a month","1984","Couple + C. GT 16 ","Female","140","0.179886533385397","0.15459544449649","0.205177622274304"
"At least once a month","1984","Couple + C. LE and GT 16","Male","226","0.266127646026752","0.237508569614585","0.29474672243892"
"At least once a month","1984","Couple + C. LE and GT 16","Female","104","0.185445383018221","0.158082279260924","0.212808486775519"
"At lease once a week","1984","1-pers.-HH","Male","","","",""
"At lease once a week","1984","1-pers.-HH","Female","","","",""
"At lease once a week","1984","(Married) couple without C. ","Male","","","",""
"At lease once a week","1984","(Married) couple without C. ","Female","","","",""
"At lease once a week","1984","Single parent ","Male","","","",""
"At lease once a week","1984","Single parent ","Female","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","Male","","","",""
"At lease once a week","1984","Couple + C. LE 16 ","Female","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","Male","","","",""
"At lease once a week","1984","Couple + C. GT 16 ","Female","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","Male","","","",""
"At lease once a week","1984","Couple + C. LE and GT 16","Female","","","",""
"Almost never or never","1985","1-pers.-HH","Male","250","0.535142138715277","0.489808948825258","0.580475328605295"
"Almost never or never","1985","1-pers.-HH","Female","487","0.738602541637341","0.706028954889993","0.77117612838469"
"Almost never or never","1985","(Married) couple without C. ","Male","755","0.648663304813576","0.621607907108124","0.675718702519029"
"Almost never or never","1985","(Married) couple without C. ","Female","814","0.678905372054492","0.6524666277662","0.705344116342784"
"Almost never or never","1985","Single parent ","Male","78","0.421530556152279","0.350180565267612","0.492880547036946"
"Almost never or never","1985","Single parent ","Female","230","0.626699888085448","0.576385431891978","0.677014344278918"
"Almost never or never","1985","Couple + C. LE 16 ","Male","673","0.460358655589788","0.433561643950681","0.487155667228895"
"Almost never or never","1985","Couple + C. LE 16 ","Female","819","0.528459855236898","0.501561018071022","0.555358692402775"
"Almost never or never","1985","Couple + C. GT 16 ","Male","532","0.482743490937369","0.453186643049299","0.51230033882544"
"Almost never or never","1985","Couple + C. GT 16 ","Female","543","0.566255343039669","0.534055732390237","0.598454953689102"
"Almost never or never","1985","Couple + C. LE and GT 16","Male","404","0.445261236394902","0.410929019153784","0.479593453636021"
"Almost never or never","1985","Couple + C. LE and GT 16","Female","448","0.550541647727133","0.513015323941921","0.588067971512346"
"Several times a year","1985","1-pers.-HH","Male","59","0.122131605398927","0.0923704111596717","0.151892799638183"
"Several times a year","1985","1-pers.-HH","Female","44","0.0514470958896287","0.0350706100347967","0.0678235817444607"
"Several times a year","1985","(Married) couple without C. ","Male","122","0.0972887356622494","0.080493418409209","0.11408405291529"
"Several times a year","1985","(Married) couple without C. ","Female","144","0.119728799258113","0.101345339773078","0.138112258743147"
"Several times a year","1985","Single parent ","Male","31","0.172119462986579","0.117576590392432","0.226662335580725"
"Several times a year","1985","Single parent ","Female","43","0.12663326907658","0.0920388417354373","0.161227696417723"
"Several times a year","1985","Couple + C. LE 16 ","Male","233","0.186716127375249","0.165765472806401","0.207666781944096"
"Several times a year","1985","Couple + C. LE 16 ","Female","193","0.172636687591551","0.152271761148579","0.193001614034524"
"Several times a year","1985","Couple + C. GT 16 ","Male","151","0.136303893788918","0.116009245324545","0.156598542253291"
"Several times a year","1985","Couple + C. GT 16 ","Female","123","0.126364989614327","0.104777318512774","0.147952660715879"
"Several times a year","1985","Couple + C. LE and GT 16","Male","123","0.167543388808857","0.141744880114158","0.193341897503557"
"Several times a year","1985","Couple + C. LE and GT 16","Female","92","0.162627106638733","0.134788203406668","0.190466009870797"
"At least once a month","1985","1-pers.-HH","Male","25","","",""
"At least once a month","1985","1-pers.-HH","Female","22","","",""
"At least once a month","1985","(Married) couple without C. ","Male","52","0.0400286810311501","0.0289191105090169","0.0511382515532832"
"At least once a month","1985","(Married) couple without C. ","Female","46","0.0360960889937675","0.0255335912898121","0.0466585866977228"
"At least once a month","1985","Single parent ","Male","15","","",""
"At least once a month","1985","Single parent ","Female","15","","",""
"At least once a month","1985","Couple + C. LE 16 ","Male","87","0.0649384646462011","0.0516902698610277","0.0781866594313745"
"At least once a month","1985","Couple + C. LE 16 ","Female","50","0.0429244855428216","0.0320026955620764","0.0538462755235668"
"At least once a month","1985","Couple + C. GT 16 ","Male","80","0.0763780502853835","0.0606679727828441","0.092088127787923"
"At least once a month","1985","Couple + C. GT 16 ","Female","43","0.0528395852073596","0.0383044570863254","0.0673747133283938"
"At least once a month","1985","Couple + C. LE and GT 16","Male","53","0.073848429614312","0.0557824374802756","0.0919144217483484"
"At least once a month","1985","Couple + C. LE and GT 16","Female","18","","",""
"At lease once a week","1985","1-pers.-HH","Male","131","0.290646949154908","0.249376830324451","0.331917067985366"
"At lease once a week","1985","1-pers.-HH","Female","146","0.182557863622577","0.153920153699247","0.211195573545907"
"At lease once a week","1985","(Married) couple without C. ","Male","267","0.214019278493024","0.190775062846913","0.237263494139136"
"At lease once a week","1985","(Married) couple without C. ","Female","194","0.165269739693628","0.144237310653549","0.186302168733707"
"At lease once a week","1985","Single parent ","Male","60","0.332723820300666","0.264641564443745","0.400806076157588"
"At lease once a week","1985","Single parent ","Female","67","0.203755467629437","0.161855683848874","0.24565525141"
"At lease once a week","1985","Couple + C. LE 16 ","Male","336","0.287986752388763","0.263641409662826","0.3123320951147"
"At lease once a week","1985","Couple + C. LE 16 ","Female","261","0.255978971628729","0.232463000460657","0.2794949427968"
"At lease once a week","1985","Couple + C. GT 16 ","Male","335","0.304574564988329","0.277352628105687","0.33179650187097"
"At lease once a week","1985","Couple + C. GT 16 ","Female","201","0.254540082138644","0.226238049114718","0.282842115162571"
"At lease once a week","1985","Couple + C. LE and GT 16","Male","225","0.313346945181929","0.28130406383263","0.345389826531227"
"At lease once a week","1985","Couple + C. LE and GT 16","Female","117","0.251558279784886","0.218824624327671","0.284291935242101"
"Almost never or never","1986","1-pers.-HH","Male","232","0.520648278241468","0.474593124362873","0.566703432120063"
"Almost never or never","1986","1-pers.-HH","Female","444","0.728759696753385","0.694789002069839","0.762730391436932"
