"m11104","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Schleswig-Holstein","West Germany","220","0.583069319087259","0.53388275784727","0.632255880327248","1"
"Almost never or never","1984","Schleswig-Holstein","East Germany","","","","","1"
"Almost never or never","1984","Hamburg","West Germany","192","0.619897799704808","0.565421398388757","0.67437420102086","1"
"Almost never or never","1984","Hamburg","East Germany","","","","","1"
"Almost never or never","1984","Lower Saxony","West Germany","749","0.627431756474463","0.600189594484314","0.654673918464613","1"
"Almost never or never","1984","Lower Saxony","East Germany","","","","","1"
"Almost never or never","1984","Bremen","West Germany","98","0.737505444008776","0.662160310144492","0.81285057787306","1"
"Almost never or never","1984","Bremen","East Germany","","","","","1"
"Almost never or never","1984","North Rhine-Westphalia","West Germany","2067","0.639822358787852","0.623244027663896","0.656400689911808","1"
"Almost never or never","1984","North Rhine-Westphalia","East Germany","","","","","1"
"Almost never or never","1984","Hesse","West Germany","797","0.640094110375346","0.613411462859066","0.666776757891627","1"
"Almost never or never","1984","Hesse","East Germany","","","","","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","West Germany","561","0.671403495232862","0.639827147441853","0.70297984302387","1"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Almost never or never","1984","Baden-Württemberg","West Germany","1525","0.666870756285219","0.647321468250289","0.686420044320148","1"
"Almost never or never","1984","Baden-Württemberg","East Germany","","","","","1"
"Almost never or never","1984","Bavaria","West Germany","1252","0.610606773621024","0.589524512745764","0.631689034496283","1"
"Almost never or never","1984","Bavaria","East Germany","","","","","1"
"Almost never or never","1984","Berlin","West Germany","243","0.625293063220452","0.57809272828711","0.672493398153794","1"
"Almost never or never","1984","Berlin","East Germany","","","","","1"
"Almost never or never","1984","Brandenburg","West Germany","","","","","1"
"Almost never or never","1984","Brandenburg","East Germany","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Almost never or never","1984","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Almost never or never","1984","Saxony","West Germany","","","","","1"
"Almost never or never","1984","Saxony","East Germany","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","West Germany","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","East Germany","","","","","1"
"Almost never or never","1984","Thuringia","West Germany","","","","","1"
"Almost never or never","1984","Thuringia","East Germany","","","","","1"
"At lease once a week","1984","Hesse","West Germany","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","West Germany","","","","","4"
"At lease once a week","1984","Hesse","East Germany","","","","","4"
"At lease once a week","1984","Hamburg","West Germany","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","West Germany","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","East Germany","","","","","4"
"At lease once a week","1984","Hamburg","East Germany","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"At lease once a week","1984","Baden-Württemberg","West Germany","","","","","4"
"At lease once a week","1984","Baden-Württemberg","East Germany","","","","","4"
"At lease once a week","1984","Bremen","West Germany","","","","","4"
"At lease once a week","1984","Lower Saxony","West Germany","","","","","4"
"At lease once a week","1984","Lower Saxony","East Germany","","","","","4"
"At lease once a week","1984","Bremen","East Germany","","","","","4"
"At lease once a week","1984","Bavaria","West Germany","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","West Germany","","","","","4"
"At lease once a week","1984","Bavaria","East Germany","","","","","4"
"At lease once a week","1984","Berlin","West Germany","","","","","4"
"At lease once a week","1984","Berlin","East Germany","","","","","4"
"At lease once a week","1984","Brandenburg","West Germany","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","East Germany","","","","","4"
"At lease once a week","1984","Brandenburg","East Germany","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","East Germany","","","","","4"
"At lease once a week","1984","Saxony","West Germany","","","","","4"
"At lease once a week","1984","Saxony","East Germany","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","West Germany","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","East Germany","","","","","4"
"At lease once a week","1984","Thuringia","West Germany","","","","","4"
"At lease once a week","1984","Thuringia","East Germany","","","","","4"
"At least once a month","1984","Lower Saxony","East Germany","","","","","3"
"At least once a month","1984","Lower Saxony","West Germany","240","0.196949789823866","0.174541716508532","0.2193578631392","3"
"At least once a month","1984","Schleswig-Holstein","East Germany","","","","","3"
"At least once a month","1984","Hamburg","East Germany","","","","","3"
"At least once a month","1984","Hamburg","West Germany","56","0.198600090449801","0.153827467590797","0.243372713308805","3"
"At least once a month","1984","Bremen","West Germany","18","","","","3"
"At least once a month","1984","Schleswig-Holstein","West Germany","96","0.239154015931659","0.19659989200248","0.281708139860838","3"
"At least once a month","1984","Bremen","East Germany","","","","","3"
"At least once a month","1984","North Rhine-Westphalia","West Germany","553","0.180079915000996","0.166809908681551","0.193349921320441","3"
"At least once a month","1984","North Rhine-Westphalia","East Germany","","","","","3"
"At least once a month","1984","Hesse","West Germany","232","0.206452457369733","0.183951083767438","0.228953830972028","3"
"At least once a month","1984","Hesse","East Germany","","","","","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","West Germany","161","0.183592459431361","0.157565732730395","0.209619186132326","3"
"At least once a month","1984","Thuringia","West Germany","","","","","3"
"At least once a month","1984","Saxony-Anhalt","East Germany","","","","","3"
"At least once a month","1984","Baden-Württemberg","West Germany","319","0.153098372599402","0.138163363198013","0.168033382000792","3"
"At least once a month","1984","Baden-Württemberg","East Germany","","","","","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"At least once a month","1984","Saxony-Anhalt","West Germany","","","","","3"
"At least once a month","1984","Thuringia","East Germany","","","","","3"
"At least once a month","1984","Bavaria","West Germany","374","0.189810803356008","0.172855878650217","0.206765728061798","3"
"At least once a month","1984","Bavaria","East Germany","","","","","3"
"At least once a month","1984","Berlin","West Germany","69","0.182612970327656","0.144939373150581","0.220286567504732","3"
"At least once a month","1984","Berlin","East Germany","","","","","3"
"At least once a month","1984","Brandenburg","West Germany","","","","","3"
"At least once a month","1984","Brandenburg","East Germany","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"At least once a month","1984","Saxony","West Germany","","","","","3"
"At least once a month","1984","Saxony","East Germany","","","","","3"
"Several times a year","1984","Schleswig-Holstein","East Germany","","","","","2"
"Several times a year","1984","Bremen","West Germany","15","","","","2"
"Several times a year","1984","Hamburg","East Germany","","","","","2"
"Several times a year","1984","Lower Saxony","East Germany","","","","","2"
"Several times a year","1984","Hamburg","West Germany","57","0.181502109845391","0.138245966837547","0.224758252853236","2"
"Several times a year","1984","Lower Saxony","West Germany","221","0.175618453701671","0.15417944941495","0.197057457988391","2"
"Several times a year","1984","Schleswig-Holstein","West Germany","70","0.177776664981082","0.139636135736937","0.215917194225227","2"
"Several times a year","1984","North Rhine-Westphalia","East Germany","","","","","2"
"Several times a year","1984","Bremen","East Germany","","","","","2"
"Several times a year","1984","North Rhine-Westphalia","West Germany","601","0.180097726211153","0.166827207798763","0.193368244623543","2"
"Several times a year","1984","Hesse","West Germany","214","0.153453432254921","0.133416729445757","0.173490135064084","2"
"Several times a year","1984","Hesse","East Germany","","","","","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","West Germany","128","0.145004045335778","0.121333366262386","0.168674724409169","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Several times a year","1984","Baden-Württemberg","West Germany","389","0.180030871115379","0.16409499401029","0.195966748220468","2"
"Several times a year","1984","Bavaria","East Germany","","","","","2"
"Several times a year","1984","Baden-Württemberg","East Germany","","","","","2"
"Several times a year","1984","Bavaria","West Germany","429","0.199582423022968","0.182301711040351","0.216863135005586","2"
"Several times a year","1984","Berlin","West Germany","92","0.192093966451891","0.153679509662424","0.230508423241359","2"
"Several times a year","1984","Berlin","East Germany","","","","","2"
"Several times a year","1984","Brandenburg","West Germany","","","","","2"
"Several times a year","1984","Brandenburg","East Germany","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Several times a year","1984","Saxony-Anhalt","East Germany","","","","","2"
"Several times a year","1984","Thuringia","West Germany","","","","","2"
"Several times a year","1984","Thuringia","East Germany","","","","","2"
"Several times a year","1984","Saxony","West Germany","","","","","2"
"Several times a year","1984","Saxony","East Germany","","","","","2"
"Several times a year","1984","Saxony-Anhalt","West Germany","","","","","2"
"Almost never or never","1985","Schleswig-Holstein","West Germany","192","0.557822293151336","0.505642203139186","0.610002383163487","1"
"Almost never or never","1985","Schleswig-Holstein","East Germany","","","","","1"
"Almost never or never","1985","Hamburg","West Germany","149","0.516771552527905","0.457816762660662","0.575726342395149","1"
"Almost never or never","1985","Hamburg","East Germany","","","","","1"
"Almost never or never","1985","Lower Saxony","West Germany","634","0.596037270869101","0.566933843993603","0.6251406977446","1"
"Almost never or never","1985","Lower Saxony","East Germany","","","","","1"
"Almost never or never","1985","Bremen","West Germany","74","0.6867090376989","0.601935660334384","0.771482415063415","1"
"Almost never or never","1985","Bremen","East Germany","","","","","1"
"Almost never or never","1985","North Rhine-Westphalia","West Germany","1746","0.585866181479379","0.568067152096637","0.603665210862121","1"
"Almost never or never","1985","North Rhine-Westphalia","East Germany","","","","","1"
"Almost never or never","1985","Hesse","West Germany","699","0.606020679838707","0.577378397291095","0.634662962386319","1"
"Almost never or never","1985","Hesse","East Germany","","","","","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","West Germany","467","0.616912320885298","0.582395449877797","0.6514291918928","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Almost never or never","1985","Baden-Württemberg","West Germany","1278","0.599168562808431","0.577892003492377","0.620445122124485","1"
"Almost never or never","1985","Baden-Württemberg","East Germany","","","","","1"
"Almost never or never","1985","Bavaria","West Germany","1052","0.558400810544919","0.536031121978466","0.580770499111372","1"
"Almost never or never","1985","Bavaria","East Germany","","","","","1"
"Almost never or never","1985","Berlin","West Germany","213","0.585334607119793","0.534792580105059","0.635876634134526","1"
"Almost never or never","1985","Berlin","East Germany","","","","","1"
"Almost never or never","1985","Brandenburg","West Germany","","","","","1"
"Almost never or never","1985","Brandenburg","East Germany","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Almost never or never","1985","Saxony","West Germany","","","","","1"
"Almost never or never","1985","Saxony","East Germany","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","West Germany","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","East Germany","","","","","1"
"Almost never or never","1985","Thuringia","West Germany","","","","","1"
"Almost never or never","1985","Thuringia","East Germany","","","","","1"
"At lease once a week","1985","Schleswig-Holstein","West Germany","91","0.25887814188266","0.212857680168916","0.304898603596405","4"
"At lease once a week","1985","Hamburg","East Germany","","","","","4"
"At lease once a week","1985","Hesse","West Germany","242","0.246415136662476","0.221155507900835","0.271674765424116","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","West Germany","156","0.203913363316109","0.175306277670435","0.232520448961782","4"
"At lease once a week","1985","Schleswig-Holstein","East Germany","","","","","4"
"At lease once a week","1985","Hamburg","West Germany","82","0.308417905613958","0.253931869730966","0.362903941496949","4"
"At lease once a week","1985","Hesse","East Germany","","","","","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"At lease once a week","1985","Baden-Württemberg","West Germany","404","0.221224804838449","0.203204216463069","0.239245393213829","4"
"At lease once a week","1985","Baden-Württemberg","East Germany","","","","","4"
"At lease once a week","1985","Bavaria","West Germany","462","0.25196431886167","0.232407263595383","0.271521374127957","4"
"At lease once a week","1985","Lower Saxony","East Germany","","","","","4"
"At lease once a week","1985","Bremen","West Germany","14","","","","4"
"At lease once a week","1985","Lower Saxony","West Germany","270","0.243247954336041","0.217800861631243","0.26869504704084","4"
"At lease once a week","1985","Bremen","East Germany","","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","West Germany","671","0.239211108862957","0.223795896565015","0.2546263211609","4"
"At lease once a week","1985","Bavaria","East Germany","","","","","4"
"At lease once a week","1985","Berlin","West Germany","78","0.228138437554121","0.185088691161258","0.271188183946984","4"
"At lease once a week","1985","Berlin","East Germany","","","","","4"
"At lease once a week","1985","Brandenburg","West Germany","","","","","4"
"At lease once a week","1985","Brandenburg","East Germany","","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","East Germany","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","East Germany","","","","","4"
"At lease once a week","1985","Saxony","West Germany","","","","","4"
"At lease once a week","1985","Saxony","East Germany","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","West Germany","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","East Germany","","","","","4"
"At lease once a week","1985","Thuringia","West Germany","","","","","4"
"At lease once a week","1985","Thuringia","East Germany","","","","","4"
"At least once a month","1985","Lower Saxony","East Germany","","","","","3"
"At least once a month","1985","Lower Saxony","West Germany","46","0.0369370681637729","0.0257505401155341","0.0481235962120118","3"
"At least once a month","1985","Schleswig-Holstein","East Germany","","","","","3"
"At least once a month","1985","Hamburg","East Germany","","","","","3"
"At least once a month","1985","Hamburg","West Germany","20","","","","3"
"At least once a month","1985","Schleswig-Holstein","West Germany","17","","","","3"
"At least once a month","1985","Bremen","East Germany","","","","","3"
"At least once a month","1985","North Rhine-Westphalia","East Germany","","","","","3"
"At least once a month","1985","Bremen","West Germany","9","","","","3"
"At least once a month","1985","North Rhine-Westphalia","West Germany","129","0.0444800013796314","0.0370304684644938","0.0519295342947689","3"
"At least once a month","1985","Hesse","West Germany","44","0.0351595161649436","0.0243631801376049","0.0459558521922823","3"
"At least once a month","1985","Hesse","East Germany","","","","","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","West Germany","37","0.0484843424093773","0.0332340093070259","0.0637346755117287","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"At least once a month","1985","Baden-Württemberg","West Germany","107","0.0525957407377369","0.0429042863621018","0.0622871951133721","3"
"At least once a month","1985","Baden-Württemberg","East Germany","","","","","3"
"At least once a month","1985","Saxony-Anhalt","West Germany","","","","","3"
"At least once a month","1985","Saxony-Anhalt","East Germany","","","","","3"
"At least once a month","1985","Thuringia","West Germany","","","","","3"
"At least once a month","1985","Thuringia","East Germany","","","","","3"
"At least once a month","1985","Bavaria","West Germany","110","0.0561988249625689","0.0458240984176382","0.0665735515074996","3"
"At least once a month","1985","Bavaria","East Germany","","","","","3"
"At least once a month","1985","Berlin","East Germany","","","","","3"
"At least once a month","1985","Berlin","West Germany","23","","","","3"
"At least once a month","1985","Brandenburg","West Germany","","","","","3"
"At least once a month","1985","Brandenburg","East Germany","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"At least once a month","1985","Saxony","West Germany","","","","","3"
"At least once a month","1985","Saxony","East Germany","","","","","3"
"Several times a year","1985","Schleswig-Holstein","East Germany","","","","","2"
"Several times a year","1985","Hamburg","West Germany","25","","","","2"
"Several times a year","1985","Hamburg","East Germany","","","","","2"
"Several times a year","1985","Lower Saxony","West Germany","142","0.123777706631084","0.104244878128285","0.143310535133883","2"
"Several times a year","1985","Lower Saxony","East Germany","","","","","2"
"Several times a year","1985","Schleswig-Holstein","West Germany","48","0.134229008585071","0.0984125060104632","0.170045511159678","2"
"Several times a year","1985","North Rhine-Westphalia","East Germany","","","","","2"
"Several times a year","1985","Bremen","West Germany","18","","","","2"
"Several times a year","1985","North Rhine-Westphalia","West Germany","396","0.130442708278032","0.118272843267512","0.142612573288553","2"
"Several times a year","1985","Bremen","East Germany","","","","","2"
"Several times a year","1985","Hesse","West Germany","133","0.112404667333874","0.0938895330364891","0.130919801631258","2"
