"m11104","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Male","3418","0.579334544210628","0.566764492876504","0.591904595544751","1"
"Almost never or never","1984","Female","4286","0.689300747098419","0.67769974855646","0.700901745640379","1"
"At lease once a week","1984","Male","","","","","4"
"At lease once a week","1984","Female","","","","","4"
"At least once a month","1984","Female","833","0.153409817604029","0.144375734447452","0.162443900760607","3"
"At least once a month","1984","Male","1285","0.220665914128772","0.210106656739571","0.231225171517973","3"
"Several times a year","1984","Male","1222","0.199999541660601","0.189814483067362","0.210184600253839","2"
"Several times a year","1984","Female","994","0.157289435297551","0.148162816966763","0.166416053628339","2"
"Almost never or never","1985","Male","2876","0.528782502630542","0.515453933167913","0.542111072093171","1"
"Almost never or never","1985","Female","3628","0.637406708123964","0.624771283511213","0.650042132736716","1"
"At lease once a week","1985","Female","1046","0.207437610150554","0.196780679897654","0.218094540403454","4"
"At lease once a week","1985","Male","1424","0.273587932144462","0.261684442699233","0.28549142158969","4"
"At least once a month","1985","Female","208","0.0378762364687648","0.0328589312213541","0.0428935417161755","3"
"At least once a month","1985","Male","334","0.0598482101403309","0.0535144900066423","0.0661819302740195","3"
"Several times a year","1985","Male","754","0.137781355084665","0.128578168470882","0.146984541698449","2"
"Several times a year","1985","Female","679","0.117279445256717","0.108822875906159","0.125736014607275","2"
"Almost never or never","1986","Male","2709","0.517390951397054","0.503821007346414","0.530960895447693","1"
"Almost never or never","1986","Female","3429","0.640993020585378","0.628100078828586","0.65388596234217","1"
"At lease once a week","1986","Female","1052","0.206300522941807","0.195424950237858","0.217176095645757","4"
"At lease once a week","1986","Male","1491","0.289731455194023","0.27741232551118","0.302050584876866","4"
"At least once a month","1986","Male","325","0.0601632280369013","0.0537057536246129","0.0666207024491897","3"
"At least once a month","1986","Female","242","0.0460194200946533","0.0403880475087714","0.0516507926805353","3"
"Several times a year","1986","Female","595","0.106687036378161","0.0983898361935674","0.114984236562755","2"
"Several times a year","1986","Male","684","0.132714365372022","0.123501155673071","0.141927575070972","2"
"Almost never or never","1987","Male","","","","","1"
"Almost never or never","1987","Female","","","","","1"
"At lease once a week","1987","Female","","","","","4"
"At lease once a week","1987","Male","","","","","4"
"At least once a month","1987","Male","","","","","3"
"At least once a month","1987","Female","","","","","3"
"Several times a year","1987","Male","","","","","2"
"Several times a year","1987","Female","","","","","2"
"Almost never or never","1988","Male","2535","0.511800141395083","0.497821404287261","0.525778878502905","1"
"Almost never or never","1988","Female","3108","0.60893595810052","0.595413906402313","0.622458009798727","1"
"At lease once a week","1988","Female","1037","0.220009977619955","0.208531123104188","0.231488832135722","4"
"At lease once a week","1988","Male","1382","0.281441812164567","0.268865763987423","0.29401786034171","4"
"At least once a month","1988","Male","291","0.0586540859384197","0.0520829164576147","0.0652252554192247","3"
"At least once a month","1988","Female","230","0.0481112258465341","0.0421813014899378","0.0540411502031304","3"
"Several times a year","1988","Male","704","0.148103960501931","0.13817061485535","0.158037306148511","2"
"Several times a year","1988","Female","628","0.122942838432991","0.113843739083288","0.132041937782694","2"
"Almost never or never","1989","Female","","","","","1"
"Almost never or never","1989","Male","","","","","1"
"At lease once a week","1989","Male","","","","","4"
"At lease once a week","1989","Female","","","","","4"
"At least once a month","1989","Female","","","","","3"
"At least once a month","1989","Male","","","","","3"
"Several times a year","1989","Male","","","","","2"
"Several times a year","1989","Female","","","","","2"
"Almost never or never","1990","Female","4119","0.541492628992247","0.529860645658637","0.553124612325856","1"
"Almost never or never","1990","Male","3089","0.416188096966675","0.404401808375467","0.427974385557882","1"
"At lease once a week","1990","Male","1774","0.286498078987431","0.275687369396957","0.297308788577906","4"
"At lease once a week","1990","Female","1405","0.23118468635105","0.221342878541432","0.241026494160669","4"
"At least once a month","1990","Male","556","0.0886491726103844","0.0818528198924271","0.0954455253283416","3"
"At least once a month","1990","Female","397","0.0637594205057376","0.0580558049245134","0.0694630360869617","3"
"Several times a year","1990","Male","1300","0.20866465143551","0.198948360833709","0.21838094203731","2"
"Several times a year","1990","Female","1128","0.163563264150966","0.154928633415026","0.172197894886905","2"
"Almost never or never","1991","Female","","","","","1"
"Almost never or never","1991","Male","","","","","1"
"At lease once a week","1991","Male","","","","","4"
"At lease once a week","1991","Female","","","","","4"
"At least once a month","1991","Male","","","","","3"
"At least once a month","1991","Female","","","","","3"
"Several times a year","1991","Male","","","","","2"
"Several times a year","1991","Female","","","","","2"
"Almost never or never","1992","Female","4147","0.601469776249188","0.589798663111258","0.613140889387117","1"
"Almost never or never","1992","Male","3254","0.498546963330002","0.486282859725631","0.510811066934373","1"
"At lease once a week","1992","Male","1519","0.248802623340147","0.238198564006214","0.259406682674079","4"
"At lease once a week","1992","Female","1276","0.210973409182574","0.201247405644342","0.220699412720806","4"
"At least once a month","1992","Male","461","0.0767738556404751","0.0702436273603637","0.0833040839205865","3"
"At least once a month","1992","Female","303","0.045677855421925","0.0407007699773491","0.0506549408665009","3"
"Several times a year","1992","Female","1034","0.141878959146314","0.133561167923344","0.150196750369284","2"
"Several times a year","1992","Male","1151","0.175876557689376","0.166538259178506","0.185214856200247","2"
"Almost never or never","1993","Male","","","","","1"
"Almost never or never","1993","Female","","","","","1"
"At lease once a week","1993","Male","","","","","4"
"At lease once a week","1993","Female","","","","","4"
"At least once a month","1993","Male","","","","","3"
"At least once a month","1993","Female","","","","","3"
"Several times a year","1993","Female","","","","","2"
"Several times a year","1993","Male","","","","","2"
"Almost never or never","1994","Male","3025","0.48598355376281","0.473483040767413","0.498484066758207","1"
"Almost never or never","1994","Female","3984","0.593077091267287","0.581217107905433","0.60493707462914","1"
"At lease once a week","1994","Male","1468","0.247499927437763","0.236706252036339","0.258293602839187","4"
"At lease once a week","1994","Female","1193","0.207426822128758","0.197638132070054","0.217215512187462","4"
"At least once a month","1994","Male","446","0.0673949126829582","0.0611245741346073","0.0736652512313092","3"
"At least once a month","1994","Female","332","0.0521154837888362","0.0467496954589806","0.0574812721186918","3"
"Several times a year","1994","Female","1082","0.147380602815119","0.138822643769861","0.155938561860377","2"
"Several times a year","1994","Male","1202","0.199121606116469","0.189133778816071","0.209109433416867","2"
"Almost never or never","1995","Male","2530","0.38567939966316","0.373752248214559","0.397606551111761","1"
"Almost never or never","1995","Female","3354","0.487291276063322","0.475470047362978","0.499112504763667","1"
"At lease once a week","1995","Male","1833","0.295437678000931","0.284258274768196","0.306617081233666","4"
"At lease once a week","1995","Female","1652","0.263751708426466","0.253329908331944","0.274173508520988","4"
"At least once a month","1995","Female","422","0.0568448822326292","0.0513687970372187","0.0623209674280398","3"
"At least once a month","1995","Male","538","0.0898566526026979","0.0828492674179951","0.0968640377874007","3"
"Several times a year","1995","Female","1440","0.192112133277582","0.182794923196229","0.201429343358935","2"
"Several times a year","1995","Male","1497","0.229026269733211","0.218729798437213","0.239322741029208","2"
"Almost never or never","1996","Male","2788","0.437028896062238","0.424754261369952","0.449303530754524","1"
"Almost never or never","1996","Female","3719","0.540938074910028","0.529048400377735","0.55282774944232","1"
"At lease once a week","1996","Male","1562","0.261215531369235","0.250344548197279","0.272086514541191","4"
"At lease once a week","1996","Female","1330","0.222168786787651","0.212250315072603","0.232087258502699","4"
"At least once a month","1996","Female","411","0.0599038143960407","0.0542417612968026","0.0655658674952788","3"
"At least once a month","1996","Male","511","0.080861233264557","0.0741148475214966","0.0876076190076174","3"
"Several times a year","1996","Male","1412","0.22089433930397","0.2106283473279","0.23116033128004","2"
"Several times a year","1996","Female","1288","0.176989323906281","0.167883131472668","0.186095516339895","2"
"Almost never or never","1997","Male","2877","0.465240927468307","0.452806186112044","0.477675668824571","1"
"Almost never or never","1997","Female","3682","0.550248073211425","0.538239116669362","0.562257029753488","1"
"At lease once a week","1997","Male","1591","0.269512253215997","0.258450742499674","0.280573763932319","4"
"At lease once a week","1997","Female","1381","0.231779817919484","0.221593431277201","0.241966204561768","4"
