"m11104","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Schleswig-Holstein","1-pers.-HH","32","0.65938670117135","0.532985237399549","0.785788164943152"
"Almost never or never","1984","Schleswig-Holstein","(Married) couple without C. ","59","0.667557703374834","0.569131825314968","0.7659835814347"
"Almost never or never","1984","Schleswig-Holstein","Single parent ","11","","",""
"Almost never or never","1984","Schleswig-Holstein","Couple + C. LE 16 ","54","0.535478954239902","0.437235325660457","0.633722582819348"
"Almost never or never","1984","Schleswig-Holstein","Couple + C. GT 16 ","31","0.43439308300601","0.314808572594847","0.553977593417172"
"Almost never or never","1984","Schleswig-Holstein","Couple + C. LE and GT 16","19","","",""
"Almost never or never","1984","Hamburg","1-pers.-HH","34","0.668141217591242","0.54369619351119","0.792586241671293"
"Almost never or never","1984","Hamburg","(Married) couple without C. ","60","0.695890712155899","0.599775502609616","0.792005921702181"
"Almost never or never","1984","Hamburg","Single parent ","7","","",""
"Almost never or never","1984","Hamburg","Couple + C. LE 16 ","41","0.504311901755559","0.381818707884501","0.626805095626618"
"Almost never or never","1984","Hamburg","Couple + C. GT 16 ","20","","",""
"Almost never or never","1984","Hamburg","Couple + C. LE and GT 16","19","","",""
"Almost never or never","1984","Lower Saxony","1-pers.-HH","81","0.712031190421898","0.62998141535232","0.794080965491475"
"Almost never or never","1984","Lower Saxony","(Married) couple without C. ","197","0.751736660352694","0.700302387155858","0.803170933549529"
"Almost never or never","1984","Lower Saxony","Single parent ","34","0.595532985368082","0.471348617443799","0.719717353292365"
"Almost never or never","1984","Lower Saxony","Couple + C. LE 16 ","165","0.543789041881182","0.485861246125723","0.601716837636641"
"Almost never or never","1984","Lower Saxony","Couple + C. GT 16 ","115","0.537137726726631","0.470018200707389","0.604257252745872"
"Almost never or never","1984","Lower Saxony","Couple + C. LE and GT 16","86","0.570767494168635","0.490203682127494","0.651331306209776"
"Almost never or never","1984","Bremen","1-pers.-HH","15","","",""
"Almost never or never","1984","Bremen","(Married) couple without C. ","40","0.917513167438977","0.836226331477578","0.998800003400377"
"Almost never or never","1984","Bremen","Single parent ","5","","",""
"Almost never or never","1984","Bremen","Couple + C. LE 16 ","15","","",""
"Almost never or never","1984","Bremen","Couple + C. GT 16 ","6","","",""
"Almost never or never","1984","Bremen","Couple + C. LE and GT 16","11","","",""
"Almost never or never","1984","North Rhine-Westphalia","1-pers.-HH","241","0.695131933025084","0.648414038321901","0.741849827728266"
"Almost never or never","1984","North Rhine-Westphalia","(Married) couple without C. ","488","0.710974945457212","0.677369906952578","0.744579983961846"
"Almost never or never","1984","North Rhine-Westphalia","Single parent ","93","0.628481407299122","0.550632283852472","0.706330530745772"
"Almost never or never","1984","North Rhine-Westphalia","Couple + C. LE 16 ","537","0.587687124179944","0.554594960431041","0.620779287928848"
"Almost never or never","1984","North Rhine-Westphalia","Couple + C. GT 16 ","298","0.580907647031102","0.537702285544678","0.624113008517526"
"Almost never or never","1984","North Rhine-Westphalia","Couple + C. LE and GT 16","289","0.542289650029056","0.497858705062289","0.586720594995823"
"Almost never or never","1984","Hesse","1-pers.-HH","82","0.699737333370136","0.619059274608587","0.780415392131685"
"Almost never or never","1984","Hesse","(Married) couple without C. ","193","0.702573025244934","0.649594363096255","0.755551687393613"
"Almost never or never","1984","Hesse","Single parent ","27","","",""
"Almost never or never","1984","Hesse","Couple + C. LE 16 ","189","0.578495006503262","0.521857016231142","0.635132996775382"
"Almost never or never","1984","Hesse","Couple + C. GT 16 ","134","0.565407019284218","0.500922255381955","0.629891783186481"
"Almost never or never","1984","Hesse","Couple + C. LE and GT 16","107","0.649866175072083","0.577082309152801","0.722650040991365"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","1-pers.-HH","58","0.78652107988761","0.695585577239704","0.877456582535517"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","(Married) couple without C. ","146","0.737795217066139","0.677290630940351","0.798299803191928"
