"m11104","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","no migration background","West Germany","5173","0.628996225291022","0.618748944562614","0.639243506019431","1"
"Almost never or never","1984","no migration background","East Germany","","","","","1"
"Almost never or never","1984","direct migration background","West Germany","2470","0.719437374613485","0.704277801983112","0.734596947243857","1"
"Almost never or never","1984","direct migration background","East Germany","","","","","1"
"Almost never or never","1984","indirect migration background","West Germany","61","0.600019475976546","0.514817762920448","0.685221189032644","1"
"Almost never or never","1984","indirect migration background","East Germany","","","","","1"
"At lease once a week","1984","no migration background","West Germany","","","","","4"
"At lease once a week","1984","no migration background","East Germany","","","","","4"
"At lease once a week","1984","direct migration background","West Germany","","","","","4"
"At lease once a week","1984","indirect migration background","West Germany","","","","","4"
"At lease once a week","1984","direct migration background","East Germany","","","","","4"
"At lease once a week","1984","indirect migration background","East Germany","","","","","4"
"At least once a month","1984","no migration background","West Germany","1721","0.191653074251764","0.183303732441584","0.200002416061944","3"
"At least once a month","1984","no migration background","East Germany","","","","","3"
"At least once a month","1984","direct migration background","East Germany","","","","","3"
"At least once a month","1984","direct migration background","West Germany","355","0.120340194421738","0.109361813885442","0.131318574958035","3"
"At least once a month","1984","indirect migration background","West Germany","42","0.247376900502686","0.172333142517524","0.322420658487848","3"
"At least once a month","1984","indirect migration background","East Germany","","","","","3"
"Several times a year","1984","no migration background","East Germany","","","","","2"
"Several times a year","1984","no migration background","West Germany","1643","0.179350700457214","0.171212548581798","0.18748885233263","2"
"Several times a year","1984","direct migration background","West Germany","549","0.160222430964777","0.147845318266729","0.172599543662825","2"
"Several times a year","1984","direct migration background","East Germany","","","","","2"
"Several times a year","1984","indirect migration background","West Germany","24","","","","2"
"Several times a year","1984","indirect migration background","East Germany","","","","","2"
"Almost never or never","1985","no migration background","West Germany","4334","0.576432792004986","0.565531196664015","0.587334387345957","1"
"Almost never or never","1985","no migration background","East Germany","","","","","1"
"Almost never or never","1985","direct migration background","West Germany","2116","0.68581608036007","0.668970899231438","0.702661261488702","1"
"Almost never or never","1985","direct migration background","East Germany","","","","","1"
"Almost never or never","1985","indirect migration background","West Germany","54","0.476470106049209","0.393738273395362","0.559201938703056","1"
"Almost never or never","1985","indirect migration background","East Germany","","","","","1"
"At lease once a week","1985","no migration background","West Germany","2033","0.245055673905058","0.235566150600893","0.254545197209222","4"
"At lease once a week","1985","no migration background","East Germany","","","","","4"
"At lease once a week","1985","direct migration background","West Germany","389","0.17334540652189","0.159608210765929","0.187082602277852","4"
"At lease once a week","1985","indirect migration background","West Germany","48","0.305844623867383","0.229520321320175","0.382168926414591","4"
"At lease once a week","1985","direct migration background","East Germany","","","","","4"
"At lease once a week","1985","indirect migration background","East Germany","","","","","4"
