"m11104","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1985","Not Employed","Urban Area","2224","0.703762706095142","0.688084168872427","0.719441243317858"
"Almost never or never","1985","Not Employed","Rural Area","641","0.735740857289791","0.707013131329887","0.764468583249696"
"Almost never or never","1985","Employed","Urban Area","2946","0.486622984594286","0.473332440583155","0.499913528605417"
"Almost never or never","1985","Employed","Rural Area","693","0.497569832042087","0.470928001147001","0.524211662937173"
"Several times a year","1985","Not Employed","Urban Area","306","0.0814091062374735","0.0720190085070687","0.0907992039678782"
"Several times a year","1985","Not Employed","Rural Area","70","0.0670398248087396","0.050746047005321","0.0833336026121582"
"Several times a year","1985","Employed","Urban Area","840","0.166775814784001","0.156863485797013","0.176688143770989"
"Several times a year","1985","Employed","Rural Area","217","0.158847006717841","0.139369820888681","0.178324192547002"
"At least once a month","1985","Not Employed","Urban Area","125","0.0363991791850093","0.029968350699749","0.0428300076702696"
"At least once a month","1985","Not Employed","Rural Area","34","0.0324278305453234","0.0208873356577563","0.0439683254328904"
"At least once a month","1985","Employed","Urban Area","294","0.0561290006621469","0.0500086230940861","0.0622493782302077"
"At least once a month","1985","Employed","Rural Area","89","0.0649620448354194","0.0518296583274743","0.0780944313433645"
"At lease once a week","1985","Not Employed","Urban Area","603","0.178429008482375","0.165281973141217","0.191576043823533"
"At lease once a week","1985","Not Employed","Rural Area","160","0.164791487356146","0.140620819847492","0.1889621548648"
"At lease once a week","1985","Employed","Urban Area","1353","0.290472199959566","0.278400588918529","0.302543811000603"
"At lease once a week","1985","Employed","Rural Area","354","0.278621116404652","0.254732669268357","0.302509563540947"
"Almost never or never","1986","Not Employed","Urban Area","2100","0.717629673289181","0.701747502849412","0.73351184372895"
"Almost never or never","1986","Not Employed","Rural Area","571","0.752703557172941","0.722806804652129","0.782600309693753"
"Almost never or never","1986","Employed","Urban Area","2792","0.473776301339903","0.460313403367571","0.487239199312234"
"Almost never or never","1986","Employed","Rural Area","675","0.478727504830875","0.452148741971547","0.505306267690202"
"Several times a year","1986","Not Employed","Urban Area","250","0.0708046257157156","0.0617549198197464","0.0798543316116848"
"Several times a year","1986","Not Employed","Rural Area","46","0.0453440229530461","0.0309266355040915","0.0597614104020007"
"Several times a year","1986","Employed","Urban Area","751","0.155496758361674","0.145726005761558","0.16526751096179"
"Several times a year","1986","Employed","Rural Area","232","0.173364362781108","0.153222708228693","0.193506017333523"
"At least once a month","1986","Not Employed","Urban Area","106","0.0302424592789715","0.0242003264972324","0.0362845920607106"
"At least once a month","1986","Not Employed","Rural Area","28","","",""
"At least once a month","1986","Employed","Urban Area","343","0.0707349778312948","0.0638221841896693","0.0776477714729204"
"At least once a month","1986","Employed","Rural Area","90","0.0653000174882578","0.0521553097834441","0.0784447251930716"
"At lease once a week","1986","Not Employed","Urban Area","630","0.181323241716132","0.167729685167872","0.194916798264391"
