"m11104","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1985","Urban Area","5170","0.580021651357441","0.569645202030181","0.590398100684701"
"Almost never or never","1985","Rural Area","1334","0.606812988025677","0.586665860387969","0.626960115663384"
"Several times a year","1985","Urban Area","1146","0.130056891552937","0.122985167152086","0.137128615953789"
"Several times a year","1985","Rural Area","287","0.116737324050611","0.10349281304464","0.129981835056582"
"At least once a month","1985","Urban Area","419","0.0476425799893064","0.0431643041866741","0.0521208557919387"
"At least once a month","1985","Rural Area","123","0.0500394057662879","0.0410466046378185","0.0590322068947573"
"At lease once a week","1985","Urban Area","1956","0.242278877100316","0.233270932859513","0.251286821341118"
"At lease once a week","1985","Rural Area","514","0.226410282157425","0.209148344669042","0.243672219645807"
"Almost never or never","1986","Urban Area","4892","0.578385094667966","0.567805917597483","0.588964271738449"
"Almost never or never","1986","Rural Area","1246","0.596320114482346","0.57561482518694","0.617025403777753"
"Several times a year","1986","Urban Area","1001","0.119165328003939","0.112224560148075","0.126106095859803"
"Several times a year","1986","Rural Area","278","0.118417057276996","0.104781850134363","0.13205226441963"
"At least once a month","1986","Urban Area","449","0.0533644019368027","0.0485493319792371","0.0581794718943684"
"At least once a month","1986","Rural Area","118","0.0505360038598968","0.0412919446739978","0.0597800630457959"
"At lease once a week","1986","Urban Area","2028","0.249085175391292","0.239819978740037","0.258350372042547"
"At lease once a week","1986","Rural Area","515","0.234726824380761","0.21684084913166","0.252612799629862"
"Almost never or never","1987","Urban Area","","","",""
"Almost never or never","1987","Rural Area","","","",""
"Several times a year","1987","Urban Area","","","",""
"Several times a year","1987","Rural Area","","","",""
"At least once a month","1987","Urban Area","","","",""
"At least once a month","1987","Rural Area","","","",""
"At lease once a week","1987","Urban Area","","","",""
"At lease once a week","1987","Rural Area","","","",""
"Almost never or never","1988","Urban Area","4552","0.563742677813091","0.552815279509411","0.574670076116771"
"Almost never or never","1988","Rural Area","1091","0.559086424586325","0.537343206331889","0.580829642840761"
"Several times a year","1988","Urban Area","1017","0.129510596883228","0.122112170641226","0.136909023125231"
"Several times a year","1988","Rural Area","315","0.153348858942724","0.137569108164691","0.169128609720757"
"At least once a month","1988","Urban Area","405","0.0523225647708281","0.0474159751724132","0.0572291543692429"
"At least once a month","1988","Rural Area","116","0.0558837114107768","0.0458245220833757","0.065942900738178"
"At lease once a week","1988","Urban Area","1938","0.254424160532853","0.244827281073261","0.264021039992445"
"At lease once a week","1988","Rural Area","481","0.231681005060174","0.213204338737937","0.250157671382411"
"Almost never or never","1989","Urban Area","","","",""
"Almost never or never","1989","Rural Area","","","",""
"Several times a year","1989","Urban Area","","","",""
"Several times a year","1989","Rural Area","","","",""
"At least once a month","1989","Urban Area","","","",""
"At least once a month","1989","Rural Area","","","",""
"At lease once a week","1989","Urban Area","","","",""
"At lease once a week","1989","Rural Area","","","",""
"Almost never or never","1990","Urban Area","4431","0.45497513886264","0.444715648425797","0.465234629299482"
"Almost never or never","1990","Rural Area","2726","0.543027312869896","0.528681677948294","0.557372947791498"
"Several times a year","1990","Urban Area","1603","0.184779915589801","0.176783624065749","0.192776207113853"
"Several times a year","1990","Rural Area","804","0.184810706628148","0.17363289946578","0.195988513790516"
"At least once a month","1990","Urban Area","682","0.0795071366752488","0.073933520332737","0.0850807530177607"
"At least once a month","1990","Rural Area","267","0.0670683109740398","0.0598647469100128","0.0742718750380669"
"At lease once a week","1990","Urban Area","2334","0.280737808872311","0.271479794082281","0.28999582366234"
"At lease once a week","1990","Rural Area","835","0.205093669527916","0.193465859674711","0.216721479381121"
"Almost never or never","1991","Urban Area","","","",""
"Almost never or never","1991","Rural Area","","","",""
"Several times a year","1991","Urban Area","","","",""
"Several times a year","1991","Rural Area","","","",""
"At least once a month","1991","Urban Area","","","",""
"At least once a month","1991","Rural Area","","","",""
"At lease once a week","1991","Urban Area","","","",""
"At lease once a week","1991","Rural Area","","","",""
"Almost never or never","1992","Urban Area","4705","0.532459911662429","0.521953199879312","0.542966623445545"
"Almost never or never","1992","Rural Area","2624","0.59518504174033","0.58062340318878","0.60974668029188"
"Several times a year","1992","Urban Area","1389","0.156220956426161","0.14857559629575","0.163866316556572"
"Several times a year","1992","Rural Area","776","0.162531556481248","0.151586725986734","0.173476386975762"
"At least once a month","1992","Urban Area","555","0.066265160250695","0.061027125903144","0.0715031945982459"
"At least once a month","1992","Rural Area","208","0.0487727691361858","0.042382975813856","0.0551625624585157"
"At lease once a week","1992","Urban Area","2014","0.245053971660715","0.23599658811206","0.25411135520937"
"At lease once a week","1992","Rural Area","757","0.193510632642237","0.181791169799044","0.205230095485429"
"Almost never or never","1993","Urban Area","","","",""
"Almost never or never","1993","Rural Area","","","",""
"Several times a year","1993","Urban Area","","","",""
"Several times a year","1993","Rural Area","","","",""
"At least once a month","1993","Urban Area","","","",""
"At least once a month","1993","Rural Area","","","",""
"At lease once a week","1993","Urban Area","","","",""
"At lease once a week","1993","Rural Area","","","",""
"Almost never or never","1994","Urban Area","4523","0.524241302366666","0.513621281143015","0.534861323590317"
"Almost never or never","1994","Rural Area","2486","0.582198065797476","0.56734762101672","0.597048510578232"
"Several times a year","1994","Urban Area","1511","0.172794398418862","0.164754733237909","0.180834063599816"
"Several times a year","1994","Rural Area","773","0.170865376261243","0.159532023201375","0.182198729321111"
"At least once a month","1994","Urban Area","546","0.0607368494982942","0.0556577564171983","0.0658159425793901"
"At least once a month","1994","Rural Area","232","0.0564558032543567","0.0495062917465665","0.0634053147621468"
"At lease once a week","1994","Urban Area","1915","0.242227449716177","0.233116838534636","0.251338060897719"
"At lease once a week","1994","Rural Area","746","0.190480754686924","0.178656929515332","0.202304579858516"
"Almost never or never","1995","Urban Area","3942","0.434906493198617","0.424566952356374","0.44524603404086"
"Almost never or never","1995","Rural Area","1942","0.447021766178035","0.43238922912501","0.46165430323106"
"Several times a year","1995","Urban Area","1793","0.199268221710904","0.190937057331841","0.207599386089968"
"Several times a year","1995","Rural Area","1144","0.233966481110321","0.221506941727326","0.246426020493316"
"At least once a month","1995","Urban Area","639","0.0743665026631231","0.068894436259762","0.0798385690664841"
"At least once a month","1995","Rural Area","321","0.0687749058244639","0.0613268381095731","0.0762229735393546"
"At lease once a week","1995","Urban Area","2457","0.291458782427355","0.281980835305042","0.300936729549668"
"At lease once a week","1995","Rural Area","1028","0.25023684688718","0.237488937872178","0.262984755902183"
"Almost never or never","1996","Urban Area","4235","0.480992623921516","0.470449382158901","0.491535865684132"
"Almost never or never","1996","Rural Area","2272","0.515121495990207","0.500342708932037","0.529900283048376"
"Several times a year","1996","Urban Area","1719","0.193781895520915","0.185441223091402","0.202122567950429"
"Several times a year","1996","Rural Area","981","0.208180680866035","0.196174614256139","0.220186747475931"
"At least once a month","1996","Urban Area","637","0.0721362691156697","0.0666769669840094","0.07759557124733"
"At least once a month","1996","Rural Area","284","0.0644490629721621","0.0571878443598713","0.0717102815844529"
"At lease once a week","1996","Urban Area","2036","0.253089211441899","0.243914564207467","0.262263858676331"
"At lease once a week","1996","Rural Area","856","0.212248760171597","0.200157136612641","0.224340383730552"
"Almost never or never","1997","Urban Area","4274","0.500015234062904","0.489351279936138","0.510679188189669"
"Almost never or never","1997","Rural Area","2285","0.531192675121688","0.516323808126773","0.546061542116603"
"Several times a year","1997","Urban Area","1529","0.180042839510952","0.171848163790977","0.188237515230926"
"Several times a year","1997","Rural Area","949","0.194502296673636","0.182708621459713","0.206295971887559"
"At least once a month","1997","Urban Area","509","0.0558418710905244","0.0509446398278826","0.0607391023531662"
"At least once a month","1997","Rural Area","254","0.0572482895421364","0.050326242193811","0.0641703368904618"
"At lease once a week","1997","Urban Area","2133","0.26410005533562","0.254697586658692","0.273502524012549"
"At lease once a week","1997","Rural Area","839","0.217056738662539","0.204773682846076","0.229339794479003"
"Almost never or never","1998","Urban Area","3916","0.412300194543414","0.402325244290744","0.422275144796085"
"Almost never or never","1998","Rural Area","2025","0.428256315786931","0.414323022574234","0.442189608999628"
"Several times a year","1998","Urban Area","1960","0.197628364757516","0.189559013559888","0.205697715955143"
"Several times a year","1998","Rural Area","1243","0.242366002514869","0.230299906480394","0.254432098549344"
"At least once a month","1998","Urban Area","753","0.0802593932194623","0.0747537658824168","0.0857650205565077"
"At least once a month","1998","Rural Area","353","0.0660957812360055","0.0590999513718835","0.0730916111001275"
"At lease once a week","1998","Urban Area","2726","0.309812047479608","0.300441627998379","0.319182466960836"
"At lease once a week","1998","Rural Area","1224","0.263281900462194","0.250880738708005","0.275683062216383"
"Almost never or never","1999","Urban Area","4272","0.480345070501768","0.469995501865564","0.490694639137972"
"Almost never or never","1999","Rural Area","2362","0.510853862520537","0.49652915916108","0.525178565879994"
"Several times a year","1999","Urban Area","1754","0.183762559277879","0.175739780342075","0.191785338213684"
"Several times a year","1999","Rural Area","1027","0.205548813699235","0.193968799856548","0.217128827541923"
"At least once a month","1999","Urban Area","632","0.0657587003962458","0.0606242472388175","0.0708931535536741"
"At least once a month","1999","Rural Area","295","0.0599096551127745","0.0531089931491045","0.0667103170764444"
"At lease once a week","1999","Urban Area","2294","0.270133669824107","0.260935549672649","0.279331789975565"
"At lease once a week","1999","Rural Area","994","0.223687668667453","0.211746213670708","0.235629123664198"
"Almost never or never","2000","Urban Area","","","",""
"Almost never or never","2000","Rural Area","","","",""
"Several times a year","2000","Urban Area","","","",""
"Several times a year","2000","Rural Area","","","",""
"At least once a month","2000","Urban Area","","","",""
"At least once a month","2000","Rural Area","","","",""
"At lease once a week","2000","Urban Area","","","",""
"At lease once a week","2000","Rural Area","","","",""
"Almost never or never","2001","Urban Area","6909","0.486329297604241","0.47816271424523","0.494495880963252"
"Almost never or never","2001","Rural Area","3997","0.552281435920837","0.541005033558296","0.563557838283377"
"Several times a year","2001","Urban Area","2403","0.160784367674746","0.154782430042691","0.166786305306801"
"Several times a year","2001","Rural Area","1289","0.15766599022641","0.149401825419173","0.165930155033647"
"At least once a month","2001","Urban Area","947","0.0667648632491257","0.0626863459610914","0.07084338053716"
"At least once a month","2001","Rural Area","425","0.0517683191747685","0.0467440019396164","0.0567926364099207"
"At lease once a week","2001","Urban Area","4130","0.286121471471888","0.278736987204637","0.293505955739139"
