"m11104","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","West Germany","Male","3418","0.579334544210628","0.566764492876504","0.591904595544751"
"Almost never or never","1984","West Germany","Female","4286","0.689300747098419","0.67769974855646","0.700901745640379"
"Almost never or never","1984","East Germany","Male","","","",""
"Almost never or never","1984","East Germany","Female","","","",""
"Several times a year","1984","West Germany","Male","1222","0.199999541660601","0.189814483067362","0.210184600253839"
"Several times a year","1984","West Germany","Female","994","0.157289435297551","0.148162816966763","0.166416053628339"
"Several times a year","1984","East Germany","Male","","","",""
"Several times a year","1984","East Germany","Female","","","",""
"At least once a month","1984","West Germany","Male","1285","0.220665914128772","0.210106656739571","0.231225171517973"
"At least once a month","1984","West Germany","Female","833","0.153409817604029","0.144375734447452","0.162443900760607"
"At least once a month","1984","East Germany","Male","","","",""
"At least once a month","1984","East Germany","Female","","","",""
"At lease once a week","1984","West Germany","Male","","","",""
"At lease once a week","1984","West Germany","Female","","","",""
"At lease once a week","1984","East Germany","Male","","","",""
"At lease once a week","1984","East Germany","Female","","","",""
"Almost never or never","1985","West Germany","Male","2876","0.528782502630542","0.515453933167913","0.542111072093171"
"Almost never or never","1985","West Germany","Female","3628","0.637406708123964","0.624771283511213","0.650042132736716"
"Almost never or never","1985","East Germany","Male","","","",""
"Almost never or never","1985","East Germany","Female","","","",""
"Several times a year","1985","West Germany","Male","754","0.137781355084665","0.128578168470882","0.146984541698449"
"Several times a year","1985","West Germany","Female","679","0.117279445256717","0.108822875906159","0.125736014607275"
"Several times a year","1985","East Germany","Male","","","",""
"Several times a year","1985","East Germany","Female","","","",""
"At least once a month","1985","West Germany","Male","334","0.0598482101403309","0.0535144900066423","0.0661819302740195"
"At least once a month","1985","West Germany","Female","208","0.0378762364687648","0.0328589312213541","0.0428935417161755"
"At least once a month","1985","East Germany","Male","","","",""
"At least once a month","1985","East Germany","Female","","","",""
"At lease once a week","1985","West Germany","Male","1424","0.273587932144462","0.261684442699233","0.28549142158969"
"At lease once a week","1985","West Germany","Female","1046","0.207437610150554","0.196780679897654","0.218094540403454"
"At lease once a week","1985","East Germany","Male","","","",""
"At lease once a week","1985","East Germany","Female","","","",""
"Almost never or never","1986","West Germany","Male","2709","0.517390951397054","0.503821007346414","0.530960895447693"
"Almost never or never","1986","West Germany","Female","3429","0.640993020585378","0.628100078828586","0.65388596234217"
"Almost never or never","1986","East Germany","Male","","","",""
"Almost never or never","1986","East Germany","Female","","","",""
"Several times a year","1986","West Germany","Male","684","0.132714365372022","0.123501155673071","0.141927575070972"
"Several times a year","1986","West Germany","Female","595","0.106687036378161","0.0983898361935674","0.114984236562755"
"Several times a year","1986","East Germany","Male","","","",""
"Several times a year","1986","East Germany","Female","","","",""
"At least once a month","1986","West Germany","Male","325","0.0601632280369013","0.0537057536246129","0.0666207024491897"
"At least once a month","1986","West Germany","Female","242","0.0460194200946533","0.0403880475087714","0.0516507926805353"
"At least once a month","1986","East Germany","Male","","","",""
"At least once a month","1986","East Germany","Female","","","",""
"At lease once a week","1986","West Germany","Male","1491","0.289731455194023","0.27741232551118","0.302050584876866"
"At lease once a week","1986","West Germany","Female","1052","0.206300522941807","0.195424950237858","0.217176095645757"
"At lease once a week","1986","East Germany","Male","","","",""
"At lease once a week","1986","East Germany","Female","","","",""
"Almost never or never","1987","West Germany","Male","","","",""
"Almost never or never","1987","West Germany","Female","","","",""
"Almost never or never","1987","East Germany","Male","","","",""
"Almost never or never","1987","East Germany","Female","","","",""
"Several times a year","1987","West Germany","Male","","","",""
"Several times a year","1987","West Germany","Female","","","",""
"Several times a year","1987","East Germany","Male","","","",""
"Several times a year","1987","East Germany","Female","","","",""
"At least once a month","1987","West Germany","Male","","","",""
"At least once a month","1987","West Germany","Female","","","",""
"At least once a month","1987","East Germany","Male","","","",""
"At least once a month","1987","East Germany","Female","","","",""
"At lease once a week","1987","West Germany","Male","","","",""
"At lease once a week","1987","West Germany","Female","","","",""
"At lease once a week","1987","East Germany","Male","","","",""
"At lease once a week","1987","East Germany","Female","","","",""
"Almost never or never","1988","West Germany","Male","2535","0.511800141395083","0.497821404287261","0.525778878502905"
