"m11104","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1988","Not Employed","Female","1714","0.716129652525362","0.698276254310313","0.733983050740411","1"
"Almost never or never","1988","Employed","Male","1878","0.455422129468765","0.439660450907842","0.471183808029688","1"
"At lease once a week","1988","Not Employed","Male","284","0.219975377599521","0.195236418005418","0.244714337193625","4"
"At lease once a week","1988","Not Employed","Female","427","0.169190833429549","0.154345016406322","0.184036650452776","4"
"At lease once a week","1988","Employed","Male","1098","0.304448689869462","0.289884475987406","0.319012903751519","4"
"At lease once a week","1988","Employed","Female","610","0.279504938003367","0.26209757722522","0.296912298781514","4"
"At least once a month","1988","Not Employed","Male","40","0.0336502386032409","0.022880591188393","0.0444198860180887","3"
"At least once a month","1988","Not Employed","Female","83","0.0315284333989044","0.0246091728880641","0.0384476939097448","3"
"At least once a month","1988","Employed","Male","251","0.0680130224354372","0.0600447097786313","0.0759813350922431","3"
"At least once a month","1988","Employed","Female","147","0.0675250234504757","0.0577914200107323","0.0772586268902191","3"
"Several times a year","1988","Not Employed","Male","96","0.083951657911302","0.067389608557221","0.100513707265383","2"
"Several times a year","1988","Not Employed","Female","226","0.0831510806461845","0.0722178656986757","0.0940842955936932","2"
"Several times a year","1988","Employed","Male","608","0.172116158226335","0.160169101331972","0.184063215120699","2"
"Several times a year","1988","Employed","Female","402","0.169527823104168","0.154973040609845","0.184082605598491","2"
"Almost never or never","1989","Employed","Female","","","","","1"
"Almost never or never","1989","Not Employed","Male","","","","","1"
"Almost never or never","1989","Not Employed","Female","","","","","1"
"Almost never or never","1989","Employed","Male","","","","","1"
"At lease once a week","1989","Not Employed","Male","","","","","4"
"At lease once a week","1989","Not Employed","Female","","","","","4"
"At lease once a week","1989","Employed","Male","","","","","4"
"At lease once a week","1989","Employed","Female","","","","","4"
"At least once a month","1989","Not Employed","Male","","","","","3"
"At least once a month","1989","Not Employed","Female","","","","","3"
"At least once a month","1989","Employed","Male","","","","","3"
"At least once a month","1989","Employed","Female","","","","","3"
"Several times a year","1989","Not Employed","Male","","","","","2"
"Several times a year","1989","Not Employed","Female","","","","","2"
"Several times a year","1989","Employed","Male","","","","","2"
"Several times a year","1989","Employed","Female","","","","","2"
"Almost never or never","1990","Employed","Female","1004","0.320817629938487","0.30262857454532","0.339006685331653","1"
"Almost never or never","1990","Not Employed","Male","564","0.560320152228355","0.530440085712568","0.590200218744142","1"
"Almost never or never","1990","Not Employed","Female","1419","0.635305743436331","0.615460806454144","0.655150680418518","1"
"Almost never or never","1990","Employed","Male","1266","0.295806569746654","0.28090797357726","0.310705165916048","1"
"At lease once a week","1990","Not Employed","Female","450","0.202789416058065","0.186212526589289","0.219366305526841","4"
"At lease once a week","1990","Not Employed","Male","281","0.246863822913206","0.220906455866536","0.272821189959877","4"
"At lease once a week","1990","Employed","Female","732","0.331103237531293","0.31276535902616","0.349441116036426","4"
"At lease once a week","1990","Employed","Male","1135","0.339151915387335","0.323697826304398","0.354606004470272","4"
"At least once a month","1990","Not Employed","Female","103","0.0435527441812917","0.0351381699438486","0.0519673184187349","3"
"At least once a month","1990","Employed","Male","382","0.11131862527969","0.101051416039835","0.121585834519546","3"
"At least once a month","1990","Not Employed","Male","76","0.0644550775919564","0.0496722997885142","0.0792378553953987","3"
"At least once a month","1990","Employed","Female","244","0.108485326552866","0.096367141545656","0.120603511560076","3"
"Several times a year","1990","Not Employed","Male","139","0.128360947266482","0.108224634181983","0.148497260350981","2"
"Several times a year","1990","Not Employed","Female","288","0.118352096324313","0.10503438985724","0.131669802791385","2"
"Several times a year","1990","Employed","Male","822","0.253722889586321","0.239518409523588","0.267927369649054","2"
"Several times a year","1990","Employed","Female","550","0.239593805977354","0.222961653930557","0.256225958024152","2"
"Almost never or never","1991","Employed","Female","","","","","1"
"Almost never or never","1991","Not Employed","Male","","","","","1"
"Almost never or never","1991","Not Employed","Female","","","","","1"
"Almost never or never","1991","Employed","Male","","","","","1"
"At lease once a week","1991","Not Employed","Female","","","","","4"
"At lease once a week","1991","Not Employed","Male","","","","","4"
"At lease once a week","1991","Employed","Female","","","","","4"
"At lease once a week","1991","Employed","Male","","","","","4"
"At least once a month","1991","Not Employed","Female","","","","","3"
"At least once a month","1991","Employed","Male","","","","","3"
"At least once a month","1991","Not Employed","Male","","","","","3"
"At least once a month","1991","Employed","Female","","","","","3"
"Several times a year","1991","Not Employed","Male","","","","","2"
"Several times a year","1991","Not Employed","Female","","","","","2"
"Several times a year","1991","Employed","Male","","","","","2"
"Several times a year","1991","Employed","Female","","","","","2"
"Almost never or never","1992","Not Employed","Male","886","0.704114818914863","0.679703376905404","0.728526260924322","1"
"Almost never or never","1992","Not Employed","Female","1980","0.720760398469808","0.704208281395399","0.737312515544217","1"
"Almost never or never","1992","Employed","Male","2368","0.427643000783507","0.4139870842532","0.441298917313815","1"
"Almost never or never","1992","Employed","Female","2167","0.488201634227515","0.472589607110439","0.503813661344591","1"
"At lease once a week","1992","Not Employed","Female","477","0.169167221911529","0.155335237017101","0.182999206805957","4"
"At lease once a week","1992","Not Employed","Male","286","0.182921301505065","0.162244937451054","0.203597665559076","4"
"At lease once a week","1992","Employed","Female","799","0.250668978449064","0.237132758989821","0.264205197908307","4"
"At lease once a week","1992","Employed","Male","1233","0.271526247919573","0.259250172904184","0.283802322934963","4"
"At least once a month","1992","Not Employed","Male","64","0.0454696905239107","0.0343276189108739","0.0566117621369475","3"
"At least once a month","1992","Employed","Female","218","0.0658470040759615","0.0581008300319511","0.073593178119972","3"
"At least once a month","1992","Not Employed","Female","85","0.0244363108034935","0.0187397174329768","0.0301329041740102","3"
"At least once a month","1992","Employed","Male","397","0.0875712117964714","0.0797688364358827","0.0953735871570601","3"
"Several times a year","1992","Not Employed","Male","107","0.0674941890561616","0.0540767679628619","0.0809116101494614","2"
"Several times a year","1992","Employed","Male","1044","0.213259539500448","0.201953339940158","0.224565739060737","2"
"Several times a year","1992","Not Employed","Female","280","0.0856360688151698","0.0753118431043517","0.095960294525988","2"
"Several times a year","1992","Employed","Female","754","0.19528238324746","0.182901160900622","0.207663605594297","2"
"Almost never or never","1993","Not Employed","Male","","","","","1"
"Almost never or never","1993","Not Employed","Female","","","","","1"
"Almost never or never","1993","Employed","Male","","","","","1"
"Almost never or never","1993","Employed","Female","","","","","1"
"At lease once a week","1993","Not Employed","Female","","","","","4"
"At lease once a week","1993","Not Employed","Male","","","","","4"
"At lease once a week","1993","Employed","Male","","","","","4"
"At lease once a week","1993","Employed","Female","","","","","4"
"At least once a month","1993","Not Employed","Male","","","","","3"
"At least once a month","1993","Employed","Female","","","","","3"
"At least once a month","1993","Not Employed","Female","","","","","3"
