"m11104","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","1-pers.-HH","no migration background","711","0.706375676096321","0.679125951779015","0.733625400413627","1"
"Almost never or never","1984","1-pers.-HH","direct migration background","164","0.692839215110854","0.63398315258793","0.751695277633779","1"
"Almost never or never","1984","1-pers.-HH","indirect migration background","3","","","","1"
"Almost never or never","1984","(Married) couple without C. ","no migration background","1477","0.701375713239612","0.682173174837251","0.720578251641974","1"
"Almost never or never","1984","(Married) couple without C. ","direct migration background","369","0.818514651597461","0.783331750945784","0.853697552249139","1"
"Almost never or never","1984","(Married) couple without C. ","indirect migration background","10","","","","1"
"Almost never or never","1984","Single parent ","no migration background","263","0.609816547362956","0.564238493338107","0.655394601387805","1"
"Almost never or never","1984","Single parent ","direct migration background","87","0.657643689906419","0.575442594802301","0.739844785010537","1"
"Almost never or never","1984","Single parent ","indirect migration background","3","","","","1"
"Almost never or never","1984","Couple + C. LE 16 ","no migration background","1006","0.5491972913118","0.526493030998043","0.571901551625558","1"
"Almost never or never","1984","Couple + C. LE 16 ","direct migration background","876","0.703465636883187","0.677395089717194","0.72953618404918","1"
"Almost never or never","1984","Couple + C. LE 16 ","indirect migration background","14","","","","1"
"Almost never or never","1984","Couple + C. GT 16 ","no migration background","791","0.559116253405517","0.533445843123348","0.584786663687686","1"
"Almost never or never","1984","Couple + C. GT 16 ","direct migration background","325","0.704971078031739","0.663652714658408","0.74628944140507","1"
"Almost never or never","1984","Couple + C. GT 16 ","indirect migration background","17","","","","1"
"Almost never or never","1984","Couple + C. LE and GT 16","no migration background","545","0.554022965758264","0.523043774443963","0.585002157072566","1"
"Almost never or never","1984","Couple + C. LE and GT 16","direct migration background","479","0.695279767606752","0.660374553917744","0.73018498129576","1"
"Almost never or never","1984","Couple + C. LE and GT 16","indirect migration background","11","","","","1"
"At lease once a week","1984","(Married) couple without C. ","indirect migration background","","","","","4"
"At lease once a week","1984","Couple + C. LE 16 ","no migration background","","","","","4"
"At lease once a week","1984","1-pers.-HH","no migration background","","","","","4"
"At lease once a week","1984","1-pers.-HH","direct migration background","","","","","4"
"At lease once a week","1984","1-pers.-HH","indirect migration background","","","","","4"
"At lease once a week","1984","Single parent ","direct migration background","","","","","4"
"At lease once a week","1984","(Married) couple without C. ","no migration background","","","","","4"
"At lease once a week","1984","Single parent ","indirect migration background","","","","","4"
"At lease once a week","1984","(Married) couple without C. ","direct migration background","","","","","4"
"At lease once a week","1984","Single parent ","no migration background","","","","","4"
"At lease once a week","1984","Couple + C. LE 16 ","direct migration background","","","","","4"
