"m11104","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1985","in school","Urban Area","33","0.182966231441037","0.121297489020832","0.244634973861243","1"
"Almost never or never","1985","in school","Rural Area","7","","","","1"
"Almost never or never","1985","inadequately","Urban Area","633","0.797098073125032","0.767984529555601","0.826211616694462","1"
"Almost never or never","1985","inadequately","Rural Area","88","0.777469625810215","0.698286703993728","0.856652547626701","1"
"Almost never or never","1985","general elemantary","Urban Area","1601","0.7069317943528","0.688430175823221","0.72543341288238","1"
"Almost never or never","1985","general elemantary","Rural Area","493","0.723153108704373","0.690356417976773","0.755949799431972","1"
"Almost never or never","1985","middle vocational","Urban Area","2287","0.57469524193744","0.559437056052075","0.589953427822804","1"
"Almost never or never","1985","middle vocational","Rural Area","616","0.580309402738209","0.551145464362855","0.609473341113562","1"
"Almost never or never","1985","vocational + Abi","Urban Area","108","0.410107051364159","0.346541854887523","0.473672247840796","1"
"Almost never or never","1985","vocational + Abi","Rural Area","17","","","","1"
"Almost never or never","1985","higher vocational","Urban Area","232","0.498603915512162","0.454151202902285","0.54305662812204","1"
"Almost never or never","1985","higher vocational","Rural Area","57","0.463581630911119","0.376853265593624","0.550309996228614","1"
"Almost never or never","1985","higher education","Urban Area","210","0.343019168248369","0.306096185917335","0.379942150579404","1"
"Almost never or never","1985","higher education","Rural Area","45","0.425365862062992","0.33500586698457","0.515725857141413","1"
"At lease once a week","1985","inadequately","Urban Area","38","0.105302046465875","0.0830816025261357","0.127522490405614","4"
"At lease once a week","1985","higher vocational","Rural Area","31","0.242386763123461","0.167857906762747","0.316915619484174","4"
"At lease once a week","1985","higher education","Urban Area","259","0.410697879595053","0.372433783321047","0.448961975869059","4"
"At lease once a week","1985","higher education","Rural Area","40","0.329439391980109","0.243536862277782","0.415341921682435","4"
"At lease once a week","1985","in school","Rural Area","24","","","","4"
"At lease once a week","1985","inadequately","Rural Area","11","","","","4"
"At lease once a week","1985","general elemantary","Urban Area","399","0.168955759050073","0.153724521749864","0.184186996350281","4"
"At lease once a week","1985","higher vocational","Urban Area","145","0.298976244803921","0.258274346463983","0.339678143143859","4"
"At lease once a week","1985","general elemantary","Rural Area","128","0.172430466435103","0.144741654685889","0.200119278184318","4"
"At lease once a week","1985","in school","Urban Area","85","0.581859953703571","0.503186225169387","0.660533682237754","4"
"At lease once a week","1985","middle vocational","Urban Area","937","0.234471687206314","0.221396141803562","0.247547232609067","4"
"At lease once a week","1985","middle vocational","Rural Area","265","0.235200897067043","0.210137212264128","0.260264581869958","4"
"At lease once a week","1985","vocational + Abi","Urban Area","74","0.345516224316803","0.284059722195506","0.406972726438101","4"
"At lease once a week","1985","vocational + Abi","Rural Area","12","","","","4"
"At least once a month","1985","middle vocational","Urban Area","212","0.0483502084825451","0.0417299989701294","0.0549704179949608","3"
"At least once a month","1985","middle vocational","Rural Area","61","0.0498528860694374","0.0369913651658563","0.0627144069730185","3"
"At least once a month","1985","vocational + Abi","Urban Area","8","","","","3"
"At least once a month","1985","general elemantary","Urban Area","93","0.0352006336294573","0.0277097964437131","0.0426914708152016","3"
"At least once a month","1985","general elemantary","Rural Area","30","0.0375277167495968","0.0235972631827084","0.0514581703164853","3"
