"m11104","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","West Germany","7704","0.637454619682074","0.628866922031175","0.646042317332974"
"Almost never or never","1984","East Germany","","","",""
"Several times a year","1984","West Germany","2216","0.177426109642157","0.17060166764884","0.184250551635474"
"Several times a year","1984","East Germany","","","",""
"At least once a month","1984","West Germany","2118","0.185119270675769","0.178181119466242","0.192057421885295"
"At least once a month","1984","East Germany","","","",""
"At lease once a week","1984","West Germany","","","",""
"At lease once a week","1984","East Germany","","","",""
"Almost never or never","1985","West Germany","6504","0.586332884386119","0.577108051905258","0.59555771686698"
"Almost never or never","1985","East Germany","","","",""
"Several times a year","1985","West Germany","1433","0.126919202105436","0.120683982585314","0.133154421625558"
"Several times a year","1985","East Germany","","","",""
"At least once a month","1985","West Germany","542","0.048207200045222","0.044194949686537","0.052219450403907"
"At least once a month","1985","East Germany","","","",""
"At lease once a week","1985","West Germany","2470","0.238540713463223","0.230557725694512","0.246523701231935"
"At lease once a week","1985","East Germany","","","",""
"Almost never or never","1986","West Germany","6138","0.582562015006793","0.573141755991508","0.591982274022078"
"Almost never or never","1986","East Germany","","","",""
"Several times a year","1986","West Germany","1279","0.118991061833583","0.112806013371601","0.125176110295564"
"Several times a year","1986","East Germany","","","",""
"At least once a month","1986","West Germany","567","0.0527056910139269","0.0484372724554164","0.0569741095724373"
"At least once a month","1986","East Germany","","","",""
"At lease once a week","1986","West Germany","2543","0.245741232145697","0.237517007228472","0.253965457062922"
"At lease once a week","1986","East Germany","","","",""
"Almost never or never","1987","West Germany","","","",""
"Almost never or never","1987","East Germany","","","",""
"Several times a year","1987","West Germany","","","",""
"Several times a year","1987","East Germany","","","",""
"At least once a month","1987","West Germany","","","",""
"At least once a month","1987","East Germany","","","",""
"At lease once a week","1987","West Germany","","","",""
"At lease once a week","1987","East Germany","","","",""
"Almost never or never","1988","West Germany","5643","0.562685466951995","0.552921382298353","0.572449551605637"
"Almost never or never","1988","East Germany","","","",""
"Several times a year","1988","West Germany","1332","0.134923118138317","0.1281984281253","0.141647808151335"
"Several times a year","1988","East Germany","","","",""
"At least once a month","1988","West Germany","521","0.0531311296667549","0.0487162265655277","0.0575460327679821"
"At least once a month","1988","East Germany","","","",""
"At lease once a week","1988","West Germany","2419","0.249260285242933","0.240745514267537","0.257775056218328"
"At lease once a week","1988","East Germany","","","",""
"Almost never or never","1989","West Germany","","","",""
"Almost never or never","1989","East Germany","","","",""
"Several times a year","1989","West Germany","","","",""
"Several times a year","1989","East Germany","","","",""
"At least once a month","1989","West Germany","","","",""
"At least once a month","1989","East Germany","","","",""
"At lease once a week","1989","West Germany","","","",""
"At lease once a week","1989","East Germany","","","",""
"Almost never or never","1990","West Germany","4253","0.427561109683238","0.417589139120652","0.437533080245825"
"Almost never or never","1990","East Germany","2955","0.708283957971028","0.694718257585257","0.721849658356798"
"Several times a year","1990","West Germany","1799","0.197637814456596","0.189611104463474","0.205664524449719"
"Several times a year","1990","East Germany","629","0.132565281386817","0.122445021594035","0.142685541179599"
"At least once a month","1990","West Germany","805","0.0863083696360901","0.0806480154890448","0.0919687237831354"
"At least once a month","1990","East Germany","148","0.0309712731482557","0.0258010865556174","0.036141459740894"
"At lease once a week","1990","West Germany","2598","0.288492706224075","0.27936052709858","0.297624885349571"
"At lease once a week","1990","East Germany","581","0.1281794874939","0.118202919452012","0.138156055535788"
"Almost never or never","1991","West Germany","","","",""
"Almost never or never","1991","East Germany","","","",""
"Several times a year","1991","West Germany","","","",""
"Several times a year","1991","East Germany","","","",""
"At least once a month","1991","West Germany","","","",""
"At least once a month","1991","East Germany","","","",""
"At lease once a week","1991","West Germany","","","",""
"At lease once a week","1991","East Germany","","","",""
"Almost never or never","1992","West Germany","4810","0.517643858265136","0.507434312607268","0.527853403923004"
"Almost never or never","1992","East Germany","2591","0.687043102223314","0.67256975575878","0.701516448687848"
"Several times a year","1992","West Germany","1476","0.158604125409059","0.151140249585638","0.166068001232479"
"Several times a year","1992","East Germany","709","0.156683604254536","0.145337631115012","0.16802957739406"
"At least once a month","1992","West Germany","619","0.0668723875725689","0.0617685022047252","0.0719762729404127"
"At least once a month","1992","East Germany","145","0.0360544168231166","0.0302355261317923","0.0418733075144409"
"At lease once a week","1992","West Germany","2297","0.256879628753236","0.247952713899489","0.265806543606984"
"At lease once a week","1992","East Germany","498","0.120218876699033","0.110067887748058","0.130369865650009"
"Almost never or never","1993","West Germany","","","",""
"Almost never or never","1993","East Germany","","","",""
"Several times a year","1993","West Germany","","","",""
"Several times a year","1993","East Germany","","","",""
"At least once a month","1993","West Germany","","","",""
"At least once a month","1993","East Germany","","","",""
"At lease once a week","1993","West Germany","","","",""
"At lease once a week","1993","East Germany","","","",""
"Almost never or never","1994","West Germany","4546","0.503654998995972","0.493329372530587","0.513980625461357"
"Almost never or never","1994","East Germany","2463","0.695097939548625","0.680314069627434","0.709881809469817"
"Several times a year","1994","West Germany","1633","0.177685137457022","0.16979103732554","0.185579237588504"
"Several times a year","1994","East Germany","651","0.150137874803671","0.138666794447759","0.161608955159583"
"At least once a month","1994","West Germany","629","0.0646599248205131","0.0595811333858925","0.0697387162551337"
"At least once a month","1994","East Germany","149","0.0384222451248546","0.0322496395666579","0.0445948506830513"
"At lease once a week","1994","West Germany","2199","0.253999938726493","0.245010258427453","0.262989619025532"
"At lease once a week","1994","East Germany","462","0.116341940522849","0.10604530771311","0.126638573332588"
"Almost never or never","1995","West Germany","4171","0.420032554812587","0.410155287893779","0.429909821731395"
"Almost never or never","1995","East Germany","1713","0.516279307527556","0.500120168873951","0.532438446181162"
"Several times a year","1995","West Germany","1919","0.201192040431546","0.19316934887671","0.209214731986382"
"Several times a year","1995","East Germany","1018","0.245878027675311","0.231954182909975","0.259801872440648"
"At least once a month","1995","West Germany","732","0.0763361768650127","0.0710222487425977","0.0816501049874278"
"At least once a month","1995","East Germany","228","0.0573089894921569","0.0497932005935146","0.0648247783907991"
"At lease once a week","1995","West Germany","2770","0.302439227890854","0.29324736386709","0.311631091914618"
"At lease once a week","1995","East Germany","715","0.180533675304975","0.168096459144581","0.19297089146537"
"Almost never or never","1996","West Germany","4432","0.463308717829632","0.453204551402281","0.473412884256983"
"Almost never or never","1996","East Germany","2075","0.609805972541562","0.594013604848543","0.62559834023458"
"Several times a year","1996","West Germany","1897","0.197652272590783","0.189582984816076","0.20572156036549"
"Several times a year","1996","East Germany","803","0.199734958837569","0.186791359339109","0.21267855833603"
"At least once a month","1996","West Germany","718","0.0756709347864131","0.0703119707975253","0.0810298987753009"
"At least once a month","1996","East Germany","204","0.0455437131829559","0.0387937198964721","0.0522937064694398"
"At lease once a week","1996","West Germany","2309","0.263368074793172","0.254443042061984","0.272293107524361"
"At lease once a week","1996","East Germany","583","0.144915355437913","0.133518819653896","0.156311891221929"
"Almost never or never","1997","West Germany","4465","0.484391324030868","0.474160362522677","0.49462228553906"
"Almost never or never","1997","East Germany","2094","0.615369969789008","0.599493104360411","0.631246835217604"
"Several times a year","1997","West Germany","1714","0.181734353870208","0.173839868226289","0.189628839514126"
"Several times a year","1997","East Germany","765","0.196349244108605","0.183385712961948","0.209312775255262"
"At least once a month","1997","West Germany","603","0.0602738731553835","0.0554016927004218","0.0651460536103452"
"At least once a month","1997","East Germany","160","0.0391045555040179","0.0327785908072185","0.0454305202008173"
"At lease once a week","1997","West Germany","2384","0.27360044894354","0.264473946993034","0.282726950894046"
"At lease once a week","1997","East Germany","588","0.14917623059837","0.137549847168926","0.160802614027813"
"Almost never or never","1998","West Germany","4233","0.401649384364536","0.392203963692695","0.411094805036377"
"Almost never or never","1998","East Germany","1708","0.482376598628732","0.466596670590696","0.498156526666768"
"Several times a year","1998","West Germany","2165","0.200733994850091","0.193016505911543","0.208451483788638"
"Several times a year","1998","East Germany","1038","0.254944071347007","0.241180794436819","0.268707348257196"
"At least once a month","1998","West Germany","855","0.0799295344771941","0.0747045612703257","0.0851545076840624"
"At least once a month","1998","East Germany","251","0.0593557227196152","0.0518938307138954","0.0668176147253351"
"At lease once a week","1998","West Germany","3095","0.317687086308179","0.308716693576889","0.32665747903947"
"At lease once a week","1998","East Germany","855","0.203323607304645","0.190613774749076","0.216033439860214"
"Almost never or never","1999","West Germany","4552","0.468609337380129","0.458765148373092","0.478453526387166"
"Almost never or never","1999","East Germany","2082","0.580237380715767","0.56446066279193","0.596014098639605"
"Several times a year","1999","West Germany","1972","0.187046479056995","0.179353843783149","0.19473911433084"
"Several times a year","1999","East Germany","809","0.204475365130468","0.191582209029768","0.217368521231168"
"At least once a month","1999","West Germany","717","0.0668937289621999","0.0619651040006307","0.0718223539237691"
"At least once a month","1999","East Germany","210","0.0514460538036394","0.0443841958196221","0.0585079117876567"
"At lease once a week","1999","West Germany","2630","0.277450454600676","0.268617742977594","0.286283166223758"
"At lease once a week","1999","East Germany","658","0.163841200350125","0.15200893580579","0.17567346489446"
"Almost never or never","2000","West Germany","","","",""
"Almost never or never","2000","East Germany","","","",""
"Several times a year","2000","West Germany","","","",""
"Several times a year","2000","East Germany","","","",""
"At least once a month","2000","West Germany","","","",""
"At least once a month","2000","East Germany","","","",""
"At lease once a week","2000","West Germany","","","",""
"At lease once a week","2000","East Germany","","","",""
"Almost never or never","2001","West Germany","7891","0.489170430934502","0.481528700465269","0.496812161403735"
"Almost never or never","2001","East Germany","3015","0.582199733605459","0.569070821379131","0.595328645831787"
"Several times a year","2001","West Germany","2693","0.158305759209811","0.15272556726047","0.163885951159153"
"Several times a year","2001","East Germany","999","0.166332232281746","0.156419506309108","0.176244958254383"
"At least once a month","2001","West Germany","1091","0.0649323589619579","0.0611655316781762","0.0686991862457397"
"At least once a month","2001","East Germany","281","0.0500674132450074","0.044262010453665","0.0558728160363498"
"At lease once a week","2001","West Germany","4763","0.287591450893728","0.280671928007106","0.294510973780351"
"At lease once a week","2001","East Germany","1126","0.201400620867788","0.190724750935075","0.212076490800502"
"Almost never or never","2002","West Germany","","","",""
"Almost never or never","2002","East Germany","","","",""
"Several times a year","2002","West Germany","","","",""
"Several times a year","2002","East Germany","","","",""
"At least once a month","2002","West Germany","","","",""
"At least once a month","2002","East Germany","","","",""
"At lease once a week","2002","West Germany","","","",""
"At lease once a week","2002","East Germany","","","",""
"Almost never or never","2003","West Germany","6114","0.396163266981544","0.388768919463368","0.403557614499719"
"Almost never or never","2003","East Germany","2160","0.436196961225382","0.422908453169498","0.449485469281265"
"Several times a year","2003","West Germany","3060","0.181654824448699","0.175825815494701","0.187483833402696"
"Several times a year","2003","East Germany","1220","0.212167711328651","0.201212324071535","0.223123098585767"
"At least once a month","2003","West Germany","1334","0.0773390195504309","0.0733004887510804","0.0813775503497814"
"At least once a month","2003","East Germany","400","0.0706441176588316","0.0637781741052782","0.0775100612123849"
"At lease once a week","2003","West Germany","6299","0.344842889019327","0.337656903164433","0.35202887487422"
"At lease once a week","2003","East Germany","1570","0.280991209787136","0.268946823742131","0.293035595832141"
"Almost never or never","2004","West Germany","","","",""
"Almost never or never","2004","East Germany","","","",""
"Several times a year","2004","West Germany","","","",""
"Several times a year","2004","East Germany","","","",""
"At least once a month","2004","West Germany","","","",""
"At least once a month","2004","East Germany","","","",""
"At lease once a week","2004","West Germany","","","",""
"At lease once a week","2004","East Germany","","","",""
