"m11104","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1985","16-34 y.","Urban Area","1335","0.34289482812218","0.326760526326513","0.359029129917847"
"Almost never or never","1985","16-34 y.","Rural Area","328","0.374614328818986","0.34158594883279","0.407642708805183"
"Almost never or never","1985","35-65 y.","Urban Area","3121","0.640082145726959","0.626140346700361","0.654023944753557"
"Almost never or never","1985","35-65 y.","Rural Area","759","0.649460297933647","0.621955143717808","0.676965452149485"
"Almost never or never","1985","66 and older","Urban Area","714","0.883822559907621","0.861796020975565","0.905849098839677"
"Almost never or never","1985","66 and older","Rural Area","247","0.889737431418752","0.852852142465963","0.926622720371542"
"Several times a year","1985","16-34 y.","Urban Area","649","0.20538246898565","0.191651125768264","0.219113812203035"
"Several times a year","1985","16-34 y.","Rural Area","162","0.197828617884146","0.170645500703283","0.225011735065008"
"Several times a year","1985","35-65 y.","Urban Area","475","0.113908725091379","0.104680525235154","0.123136924947604"
"Several times a year","1985","35-65 y.","Rural Area","119","0.0989790136348774","0.081763967613254","0.116194059656501"
"Several times a year","1985","66 and older","Urban Area","22","","",""
"Several times a year","1985","66 and older","Rural Area","6","","",""
"At least once a month","1985","16-34 y.","Urban Area","239","0.0728043513182062","0.0639732142205745","0.081635488415838"
"At least once a month","1985","16-34 y.","Rural Area","63","0.0725395989777379","0.0548402871847306","0.0902389107707453"
"At least once a month","1985","35-65 y.","Urban Area","168","0.041793304633614","0.0359805468991682","0.0476060623680599"
"At least once a month","1985","35-65 y.","Rural Area","54","0.0469881471084307","0.034789477051153","0.0591868171657083"
"At least once a month","1985","66 and older","Urban Area","12","","",""
"At least once a month","1985","66 and older","Rural Area","6","","",""
"At lease once a week","1985","16-34 y.","Urban Area","1102","0.378918351573964","0.362429157318726","0.395407545829202"
"At lease once a week","1985","16-34 y.","Rural Area","272","0.35501745431913","0.322364690237104","0.387670218401157"
"At lease once a week","1985","35-65 y.","Urban Area","789","0.204215824548048","0.192506236639683","0.215925412456413"
"At lease once a week","1985","35-65 y.","Rural Area","224","0.204572541323045","0.181318784118466","0.227826298527625"
"At lease once a week","1985","66 and older","Urban Area","65","0.0773102422281465","0.0589512353256165","0.0956692491306765"
"At lease once a week","1985","66 and older","Rural Area","18","","",""
"Almost never or never","1986","16-34 y.","Urban Area","1260","0.330562040518331","0.314433735626574","0.346690345410089"
"Almost never or never","1986","16-34 y.","Rural Area","318","0.380744021815992","0.347304717621762","0.414183326010222"
"Almost never or never","1986","35-65 y.","Urban Area","2946","0.638032102722644","0.623721426368943","0.652342779076345"
"Almost never or never","1986","35-65 y.","Rural Area","700","0.629224076550735","0.600549747101591","0.657898405999878"
"Almost never or never","1986","66 and older","Urban Area","686","0.898686763469158","0.877373988683959","0.919999538254356"
"Almost never or never","1986","66 and older","Rural Area","228","0.889639458227764","0.851330930656474","0.927947985799053"
"Several times a year","1986","16-34 y.","Urban Area","566","0.194008923147587","0.180451316277554","0.207566530017619"
"Several times a year","1986","16-34 y.","Rural Area","158","0.196993478390421","0.169603540832645","0.224383415948197"
"Several times a year","1986","35-65 y.","Urban Area","420","0.102317678630478","0.0932928171988025","0.111342540062154"
