"m11104","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Full Time","1-pers.-HH","286","0.500663458688256","0.45845268325572","0.542874234120793","1"
"Almost never or never","1984","Full Time","(Married) couple without C. ","686","0.582872563759301","0.554435923520983","0.611309203997618","1"
"Almost never or never","1984","Full Time","Single parent ","138","0.52609982200081","0.463830071196784","0.588369572804837","1"
"Almost never or never","1984","Full Time","Couple + C. LE 16 ","962","0.533543533700232","0.509413829169115","0.55767323823135","1"
"Almost never or never","1984","Full Time","Couple + C. GT 16 ","569","0.574049914117257","0.54243890591595","0.605660922318563","1"
"Almost never or never","1984","Full Time","Couple + C. LE and GT 16","497","0.580041853870317","0.545733711975753","0.614349995764881","1"
"Almost never or never","1984","Part Time","1-pers.-HH","83","0.632112632632535","0.550766693167166","0.713458572097905","1"
"Almost never or never","1984","Part Time","(Married) couple without C. ","221","0.658964980974531","0.607740118841077","0.710189843107984","1"
"Almost never or never","1984","Part Time","Single parent ","63","0.633345026519135","0.540281725950011","0.726408327088259","1"
"Almost never or never","1984","Part Time","Couple + C. LE 16 ","312","0.558583247436275","0.516067403275028","0.601099091597522","1"
"Almost never or never","1984","Part Time","Couple + C. GT 16 ","180","0.526782482390043","0.473396834084372","0.580168130695714","1"
"Almost never or never","1984","Part Time","Couple + C. LE and GT 16","177","0.532864146103625","0.476501069151096","0.589227223056154","1"
"Almost never or never","1984","Not Working","1-pers.-HH","509","0.823272407976987","0.793743795765965","0.852801020188009","1"
"Almost never or never","1984","Not Working","(Married) couple without C. ","949","0.813964743408725","0.791657738582473","0.836271748234978","1"
"Almost never or never","1984","Not Working","Single parent ","152","0.679770136701031","0.618941815974143","0.740598457427919","1"
"Almost never or never","1984","Not Working","Couple + C. LE 16 ","622","0.658727849799918","0.627347937086437","0.690107762513399","1"
"Almost never or never","1984","Not Working","Couple + C. GT 16 ","384","0.581596261678462","0.544382395988453","0.618810127368471","1"
"Almost never or never","1984","Not Working","Couple + C. LE and GT 16","361","0.577890945040164","0.538206081869009","0.61757580821132","1"
"At lease once a week","1984","Full Time","Couple + C. LE and GT 16","","","","","4"
"At lease once a week","1984","Part Time","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1984","Full Time","1-pers.-HH","","","","","4"
"At lease once a week","1984","Full Time","(Married) couple without C. ","","","","","4"
"At lease once a week","1984","Full Time","Single parent ","","","","","4"
"At lease once a week","1984","Part Time","(Married) couple without C. ","","","","","4"
"At lease once a week","1984","Full Time","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1984","Part Time","Single parent ","","","","","4"
"At lease once a week","1984","Full Time","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1984","Part Time","1-pers.-HH","","","","","4"
"At lease once a week","1984","Part Time","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1984","Part Time","Couple + C. LE and GT 16","","","","","4"
"At lease once a week","1984","Not Working","1-pers.-HH","","","","","4"
"At lease once a week","1984","Not Working","(Married) couple without C. ","","","","","4"
"At lease once a week","1984","Not Working","Single parent ","","","","","4"
"At lease once a week","1984","Not Working","Couple + C. LE 16 ","","","","","4"
"At lease once a week","1984","Not Working","Couple + C. GT 16 ","","","","","4"
"At lease once a week","1984","Not Working","Couple + C. LE and GT 16","","","","","4"
"At least once a month","1984","Full Time","1-pers.-HH","148","0.300621292887592","0.261911595120885","0.3393309906543","3"
"At least once a month","1984","Part Time","Couple + C. LE 16 ","91","0.201868998520575","0.167500991223218","0.236237005817933","3"
"At least once a month","1984","Not Working","Single parent ","43","0.190025844542397","0.138877004643396","0.241174684441398","3"
"At least once a month","1984","Part Time","Single parent ","21","","","","3"
"At least once a month","1984","Not Working","(Married) couple without C. ","106","0.09245703298192","0.0758518215620579","0.109062244401782","3"
"At least once a month","1984","Full Time","Couple + C. LE and GT 16","142","0.208118882434985","0.179899320811865","0.236338444058105","3"
"At least once a month","1984","Part Time","Couple + C. GT 16 ","76","0.222239784227815","0.177785643725775","0.266693924729855","3"
"At least once a month","1984","Part Time","Couple + C. LE and GT 16","55","0.221203835089618","0.174314608275692","0.268093061903544","3"
"At least once a month","1984","Full Time","(Married) couple without C. ","238","0.216450497021372","0.192700168989615","0.240200825053129","3"
"At least once a month","1984","Full Time","Single parent ","53","0.231067536618982","0.17850053814384","0.283634535094124","3"
"At least once a month","1984","Full Time","Couple + C. LE 16 ","294","0.220829120956856","0.200765651145052","0.24089259076866","3"
"At least once a month","1984","Full Time","Couple + C. GT 16 ","174","0.207704147924882","0.181771286451048","0.233637009398716","3"
"At least once a month","1984","Part Time","1-pers.-HH","27","","","","3"
"At least once a month","1984","Part Time","(Married) couple without C. ","62","0.197529268363304","0.154508271412775","0.240550265313833","3"
"At least once a month","1984","Not Working","1-pers.-HH","68","0.0908896083156445","0.0686368165885223","0.113142400042767","3"
"At least once a month","1984","Not Working","Couple + C. LE 16 ","115","0.164963361881099","0.140399603930063","0.189527119832134","3"
"At least once a month","1984","Not Working","Couple + C. GT 16 ","156","0.216774764447112","0.185690263298568","0.247859265595655","3"
"At least once a month","1984","Not Working","Couple + C. LE and GT 16","133","0.261890307221146","0.22656306183782","0.297217552604471","3"
"Several times a year","1984","Not Working","Couple + C. LE and GT 16","101","0.16021874773869","0.130745407191883","0.189692088285496","2"
"Several times a year","1984","Full Time","Couple + C. LE 16 ","386","0.245627345342912","0.224806764527614","0.266447926158209","2"
"Several times a year","1984","Full Time","1-pers.-HH","105","0.198715248424151","0.165028216778604","0.232402280069699","2"
"Several times a year","1984","Full Time","(Married) couple without C. ","231","0.200676939219327","0.177579331325038","0.223774547113617","2"
"Several times a year","1984","Full Time","Couple + C. GT 16 ","197","0.218245937957861","0.191840564018449","0.244651311897273","2"
"Several times a year","1984","Part Time","Single parent ","19","","","","2"
"Several times a year","1984","Part Time","(Married) couple without C. ","46","0.143505750662165","0.105622518970639","0.181388982353691","2"
"Several times a year","1984","Full Time","Single parent ","56","0.242832641380208","0.189357851349905","0.29630743141051","2"
"Several times a year","1984","Full Time","Couple + C. LE and GT 16","156","0.211839263694698","0.183435548208974","0.240242979180422","2"
"Several times a year","1984","Part Time","1-pers.-HH","25","","","","2"
"Several times a year","1984","Part Time","Couple + C. LE and GT 16","69","0.245932018806757","0.197282602852093","0.294581434761421","2"
"Several times a year","1984","Not Working","1-pers.-HH","64","0.0858379837073687","0.0641524349644834","0.107523532450254","2"
"Several times a year","1984","Not Working","(Married) couple without C. ","114","0.0935782236093546","0.0768829554466588","0.11027349177205","2"
"Several times a year","1984","Not Working","Single parent ","31","0.130204018756572","0.0863292576994382","0.174078779813706","2"
"Several times a year","1984","Not Working","Couple + C. LE 16 ","140","0.176308788318983","0.151087486988579","0.201530089649387","2"
"Several times a year","1984","Not Working","Couple + C. GT 16 ","135","0.201628973874426","0.171361577911099","0.231896369837753","2"
"Several times a year","1984","Part Time","Couple + C. LE 16 ","121","0.23954775404315","0.203003889482025","0.276091618604275","2"
"Several times a year","1984","Part Time","Couple + C. GT 16 ","80","0.250977733382142","0.204617734914794","0.29733773184949","2"
"Almost never or never","1985","Full Time","1-pers.-HH","220","0.43216889764324","0.386899416402802","0.477438378883678","1"
"Almost never or never","1985","Full Time","(Married) couple without C. ","552","0.506648189222802","0.47604140026184","0.537254978183764","1"
"Almost never or never","1985","Full Time","Single parent ","120","0.468682951916006","0.404608251491992","0.53275765234002","1"
"Almost never or never","1985","Full Time","Couple + C. LE 16 ","712","0.451290876794545","0.424804801226174","0.477776952362916","1"
"Almost never or never","1985","Full Time","Couple + C. GT 16 ","494","0.49316904198055","0.461019876471671","0.52531820748943","1"
"Almost never or never","1985","Full Time","Couple + C. LE and GT 16","412","0.510500828099477","0.47314760531713","0.547854050881824","1"
"Almost never or never","1985","Part Time","1-pers.-HH","66","0.473582162363414","0.391746417663209","0.55541790706362","1"
"Almost never or never","1985","Part Time","(Married) couple without C. ","179","0.576059456252286","0.520416152460317","0.631702760044255","1"
"Almost never or never","1985","Part Time","Single parent ","56","0.571205297624896","0.472717360107425","0.669693235142366","1"
"Almost never or never","1985","Part Time","Couple + C. LE 16 ","274","0.463645334081671","0.421309953838291","0.50598071432505","1"
"Almost never or never","1985","Part Time","Couple + C. GT 16 ","204","0.53005044294097","0.480768910584006","0.579331975297935","1"
"Almost never or never","1985","Part Time","Couple + C. LE and GT 16","141","0.443844785223445","0.383684343957961","0.504005226488928","1"
"Almost never or never","1985","Not Working","1-pers.-HH","451","0.833622585553398","0.802805001998107","0.864440169108689","1"
"Almost never or never","1985","Not Working","(Married) couple without C. ","838","0.795940013812031","0.771747077382177","0.820132950241884","1"
"Almost never or never","1985","Not Working","Single parent ","132","0.636432049319082","0.571217609983769","0.701646488654396","1"
"Almost never or never","1985","Not Working","Couple + C. LE 16 ","506","0.591065732174397","0.556181395828178","0.625950068520616","1"
"Almost never or never","1985","Not Working","Couple + C. GT 16 ","377","0.548321673851721","0.511053755324786","0.585589592378655","1"
"Almost never or never","1985","Not Working","Couple + C. LE and GT 16","299","0.497672758204275","0.455105521719726","0.540239994688823","1"
"At lease once a week","1985","Full Time","Couple + C. LE and GT 16","128","0.23048759120633","0.199018408766323","0.261956773646338","4"
"At lease once a week","1985","Part Time","(Married) couple without C. ","69","0.236612258975267","0.188758287273683","0.28446623067685","4"
"At lease once a week","1985","Part Time","Single parent ","17","","","","4"
"At lease once a week","1985","Part Time","Couple + C. LE 16 ","136","0.297797143974469","0.258975310136485","0.336618977812454","4"
"At lease once a week","1985","Full Time","1-pers.-HH","152","0.368157090510431","0.324082293796792","0.41223188722407","4"
"At lease once a week","1985","Full Time","(Married) couple without C. ","270","0.287497054506858","0.259789627988143","0.315204481025572","4"
"At lease once a week","1985","Full Time","Single parent ","66","0.308300190324192","0.249005493203547","0.367594887444837","4"
"At lease once a week","1985","Full Time","Couple + C. LE 16 ","326","0.289748677186489","0.265603243917855","0.313894110455123","4"
"At lease once a week","1985","Full Time","Couple + C. GT 16 ","233","0.272099347115572","0.243481297101004","0.300717397130139","4"
"At lease once a week","1985","Part Time","1-pers.-HH","49","0.348217750956555","0.270134697237792","0.426300804675319","4"
"At lease once a week","1985","Part Time","Couple + C. GT 16 ","107","0.281690749041759","0.237274487449369","0.32610701063415","4"
"At lease once a week","1985","Part Time","Couple + C. LE and GT 16","73","0.334153934332159","0.277037951580832","0.391269917083487","4"
"At lease once a week","1985","Not Working","1-pers.-HH","76","0.11571093212072","0.0892411123378743","0.142180751903565","4"
"At lease once a week","1985","Not Working","(Married) couple without C. ","122","0.109339796470708","0.0906064811591621","0.128073111782254","4"
"At lease once a week","1985","Not Working","Single parent ","44","0.210579554850864","0.155303475119676","0.265855634582051","4"
"At lease once a week","1985","Not Working","Couple + C. LE 16 ","135","0.222228573534818","0.192729269946365","0.251727877123271","4"
"At lease once a week","1985","Not Working","Couple + C. GT 16 ","196","0.294320336197416","0.260191872265517","0.328448800129315","4"
"At lease once a week","1985","Not Working","Couple + C. LE and GT 16","141","0.331091877188004","0.291026645897983","0.371157108478025","4"
"At least once a month","1985","Full Time","1-pers.-HH","26","","","","3"
"At least once a month","1985","Part Time","Single parent ","9","","","","3"
"At least once a month","1985","Part Time","Couple + C. LE 16 ","25","","","","3"
"At least once a month","1985","Part Time","Couple + C. GT 16 ","20","","","","3"
"At least once a month","1985","Part Time","Couple + C. LE and GT 16","12","","","","3"
"At least once a month","1985","Not Working","Single parent ","11","","","","3"
"At least once a month","1985","Not Working","(Married) couple without C. ","31","0.0289104395074652","0.01885209565211","0.0389687833628204","3"
"At least once a month","1985","Full Time","Couple + C. LE and GT 16","38","0.0721703872823909","0.0528343486760294","0.0915064258887524","3"
"At least once a month","1985","Full Time","(Married) couple without C. ","50","0.0474121059123225","0.0344019257606691","0.0604222860639759","3"
"At least once a month","1985","Full Time","Single parent ","10","","","","3"
"At least once a month","1985","Full Time","Couple + C. LE 16 ","86","0.0663738832467506","0.0531242652940615","0.0796235011994397","3"
"At least once a month","1985","Full Time","Couple + C. GT 16 ","59","0.0725421422114432","0.0558626619106544","0.0892216225122321","3"
"At least once a month","1985","Part Time","1-pers.-HH","9","","","","3"
"At least once a month","1985","Part Time","(Married) couple without C. ","17","","","","3"
"At least once a month","1985","Not Working","1-pers.-HH","12","","","","3"
"At least once a month","1985","Not Working","Couple + C. LE 16 ","26","","","","3"
"At least once a month","1985","Not Working","Couple + C. GT 16 ","44","0.0669829861190242","0.0482619518077386","0.0857040204303098","3"
