"m11104","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Not Employed","West Germany","3267","0.735802512013543","0.722998417375844","0.748606606651242"
"Almost never or never","1984","Not Employed","East Germany","","","",""
"Almost never or never","1984","Employed","West Germany","4437","0.561602373590326","0.550359980073943","0.57284476710671"
"Almost never or never","1984","Employed","East Germany","","","",""
"Several times a year","1984","Not Employed","West Germany","626","0.125652878097748","0.116027183838351","0.135278572357145"
"Several times a year","1984","Not Employed","East Germany","","","",""
"Several times a year","1984","Employed","West Germany","1590","0.217356969439698","0.208011978931468","0.226701959947929"
"Several times a year","1984","Employed","East Germany","","","",""
"At least once a month","1984","Not Employed","West Germany","662","0.138544609888709","0.128511972545491","0.148577247231927"
"At least once a month","1984","Not Employed","East Germany","","","",""
"At least once a month","1984","Employed","West Germany","1456","0.221040656969976","0.21163901529002","0.230442298649931"
"At least once a month","1984","Employed","East Germany","","","",""
"At lease once a week","1984","Not Employed","West Germany","","","",""
"At lease once a week","1984","Not Employed","East Germany","","","",""
"At lease once a week","1984","Employed","West Germany","","","",""
"At lease once a week","1984","Employed","East Germany","","","",""
"Almost never or never","1985","Not Employed","West Germany","2865","0.711672051202579","0.697911741393177","0.725432361011981"
"Almost never or never","1985","Not Employed","East Germany","","","",""
"Almost never or never","1985","Employed","West Germany","3639","0.489101816398152","0.47720836285484","0.500995269941464"
"Almost never or never","1985","Employed","East Germany","","","",""
"Several times a year","1985","Not Employed","West Germany","376","0.0778550669475236","0.0697157507762744","0.0859943831187727"
"Several times a year","1985","Not Employed","East Germany","","","",""
"Several times a year","1985","Employed","West Germany","1057","0.164980395445706","0.156149481159839","0.173811309731574"
"Several times a year","1985","Employed","East Germany","","","",""
"At least once a month","1985","Not Employed","West Germany","159","0.0354169220575716","0.0298023053618734","0.0410315387532697"
"At least once a month","1985","Not Employed","East Germany","","","",""
"At least once a month","1985","Employed","West Germany","383","0.0581291775099623","0.0525620146771358","0.0636963403427887"
"At least once a month","1985","Employed","East Germany","","","",""
"At lease once a week","1985","Not Employed","West Germany","763","0.175055959792326","0.16351224519935","0.186599674385301"
"At lease once a week","1985","Not Employed","East Germany","","","",""
"At lease once a week","1985","Employed","West Germany","1707","0.28778861064618","0.277016955976082","0.298560265316277"
"At lease once a week","1985","Employed","East Germany","","","",""
"Almost never or never","1986","Not Employed","West Germany","2671","0.725801385807514","0.711775244265155","0.739827527349874"
"Almost never or never","1986","Not Employed","East Germany","","","",""
"Almost never or never","1986","Employed","West Germany","3467","0.474929047400862","0.462918723665714","0.486939371136009"
"Almost never or never","1986","Employed","East Germany","","","",""
