"m11104","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","no migration background","Male","2240","0.570767690435039","0.555548183849395","0.585987197020684","1"
"Almost never or never","1984","no migration background","Female","2933","0.680018450217178","0.666349885356278","0.693687015078078","1"
"Almost never or never","1984","direct migration background","Male","1160","0.658800659391282","0.636898197031487","0.680703121751076","1"
"Almost never or never","1984","direct migration background","Female","1310","0.784275809750564","0.763955535706304","0.804596083794823","1"
"Almost never or never","1984","indirect migration background","Male","18","","","","1"
"Almost never or never","1984","indirect migration background","Female","43","0.731750248679169","0.624043599219202","0.839456898139136","1"
"At lease once a week","1984","no migration background","Male","","","","","4"
"At lease once a week","1984","no migration background","Female","","","","","4"
"At lease once a week","1984","direct migration background","Male","","","","","4"
"At lease once a week","1984","indirect migration background","Male","","","","","4"
"At lease once a week","1984","direct migration background","Female","","","","","4"
"At lease once a week","1984","indirect migration background","Female","","","","","4"
"At least once a month","1984","no migration background","Male","976","0.227935495202298","0.215036453300843","0.240834537103752","3"
"At least once a month","1984","no migration background","Female","745","0.15986093235463","0.149122352223972","0.170599512485288","3"
"At least once a month","1984","direct migration background","Female","77","0.0855589339875365","0.0717405813941431","0.0993772865809298","3"
"At least once a month","1984","direct migration background","Male","278","0.152867527624015","0.136243160385964","0.169491894862067","3"
"At least once a month","1984","indirect migration background","Male","31","0.379153563054728","0.258385552090456","0.499921574019","3"
"At least once a month","1984","indirect migration background","Female","11","","","","3"
"Several times a year","1984","no migration background","Female","796","0.160120617428192","0.149374979838903","0.170866255017481","2"
"Several times a year","1984","no migration background","Male","847","0.201296814362663","0.188967587632986","0.21362604109234","2"
"Several times a year","1984","direct migration background","Male","362","0.188331812984703","0.170269933332304","0.206393692637102","2"
"Several times a year","1984","direct migration background","Female","187","0.1301652562619","0.113542170664446","0.146788341859354","2"
"Several times a year","1984","indirect migration background","Male","13","","","","2"
"Several times a year","1984","indirect migration background","Female","11","","","","2"
"Almost never or never","1985","no migration background","Male","1868","0.519087057565693","0.503129689365303","0.535044425766084","1"
"Almost never or never","1985","no migration background","Female","2466","0.626459768542515","0.61169934689288","0.64122019019215","1"
"Almost never or never","1985","direct migration background","Male","994","0.620207593094499","0.596108203495774","0.644306982693224","1"
"Almost never or never","1985","direct migration background","Female","1122","0.755510407580297","0.732660272245811","0.778360542914782","1"
"Almost never or never","1985","indirect migration background","Male","14","","","","1"
"Almost never or never","1985","indirect migration background","Female","40","0.576109411400936","0.465007720930342","0.687211101871529","1"
"At lease once a week","1985","no migration background","Male","1101","0.280556559940619","0.266207730425416","0.294905389455821","4"
"At lease once a week","1985","no migration background","Female","932","0.214085593739067","0.201569614735615","0.226601572742519","4"
"At lease once a week","1985","direct migration background","Male","292","0.208012012724599","0.187857705724784","0.228166319724414","4"
"At lease once a week","1985","indirect migration background","Male","31","0.421825183559894","0.300833939656273","0.542816427463514","4"
"At lease once a week","1985","direct migration background","Female","97","0.136519899685762","0.118265712083681","0.154774087287843","4"
"At lease once a week","1985","indirect migration background","Female","17","","","","4"
"At least once a month","1985","no migration background","Male","246","0.0606746353875134","0.0530499918320212","0.0682992789430057","3"
"At least once a month","1985","no migration background","Female","175","0.0393976295528601","0.0334616779367654","0.0453335811689547","3"
"At least once a month","1985","direct migration background","Male","80","0.0501634287162004","0.0393245984713724","0.0610022589610285","3"
"At least once a month","1985","direct migration background","Female","31","0.0240224057894223","0.015881616088524","0.0321631954903206","3"
"At least once a month","1985","indirect migration background","Male","8","","","","3"
"At least once a month","1985","indirect migration background","Female","2","","","","3"
"Several times a year","1985","no migration background","Male","551","0.139681747106174","0.128610225013543","0.150753269198805","2"
"Several times a year","1985","no migration background","Female","553","0.120057008165558","0.110139455718601","0.129974560612515","2"
"Several times a year","1985","direct migration background","Female","109","0.0839472869445187","0.06920374166975","0.0986908322192873","2"
"Several times a year","1985","direct migration background","Male","192","0.121616965464701","0.105387529925085","0.137846401004317","2"
"Several times a year","1985","indirect migration background","Male","11","","","","2"
"Several times a year","1985","indirect migration background","Female","17","","","","2"
"Almost never or never","1986","no migration background","Male","1737","0.50673325892853","0.490435624874948","0.523030892982112","1"
"Almost never or never","1986","no migration background","Female","2333","0.630262702983995","0.615166428409391","0.645358977558599","1"
"Almost never or never","1986","direct migration background","Male","953","0.606743412893096","0.582203031795101","0.63128379399109","1"
"Almost never or never","1986","direct migration background","Female","1056","0.757509421766091","0.734273936274523","0.78074490725766","1"
"Almost never or never","1986","indirect migration background","Male","19","","","","1"
"Almost never or never","1986","indirect migration background","Female","40","0.486991630361448","0.379461042814968","0.594522217907928","1"
"At lease once a week","1986","no migration background","Male","1142","0.298376062639266","0.283460895366997","0.313291229911535","4"
"At lease once a week","1986","no migration background","Female","918","0.214594267236182","0.201755644335252","0.227432890137113","4"
"At lease once a week","1986","direct migration background","Male","311","0.214327315576443","0.193711507894258","0.234943123258628","4"
"At lease once a week","1986","indirect migration background","Male","38","0.410881370027367","0.297238695443697","0.524524044611036","4"
"At lease once a week","1986","direct migration background","Female","112","0.119648305365977","0.102053207958675","0.137243402773278","4"
"At lease once a week","1986","indirect migration background","Female","22","","","","4"
"At least once a month","1986","no migration background","Male","230","0.0604554145167324","0.0526863229713357","0.0682245060621291","3"
"At least once a month","1986","no migration background","Female","201","0.0465249028523228","0.0399383259588608","0.0531114797457848","3"
"At least once a month","1986","direct migration background","Male","89","0.0596338161577087","0.0477368680444668","0.0715307642709506","3"
"At least once a month","1986","direct migration background","Female","35","0.0402125331661544","0.0295618233928665","0.0508632429394423","3"
"At least once a month","1986","indirect migration background","Male","6","","","","3"
"At least once a month","1986","indirect migration background","Female","6","","","","3"
"Several times a year","1986","no migration background","Male","506","0.134435263915471","0.123315378309518","0.145555149521425","2"
"Several times a year","1986","no migration background","Female","476","0.1086181269275","0.0988873973109032","0.118348856544096","2"
"Several times a year","1986","direct migration background","Male","169","0.119295455372753","0.10301120267335","0.135579708072156","2"
"Several times a year","1986","direct migration background","Female","104","0.0826297397017776","0.0677034860364478","0.0975559933671074","2"
"Several times a year","1986","indirect migration background","Male","9","","","","2"
"Several times a year","1986","indirect migration background","Female","15","","","","2"
"Almost never or never","1987","no migration background","Male","","","","","1"
"Almost never or never","1987","no migration background","Female","","","","","1"
"Almost never or never","1987","direct migration background","Male","","","","","1"
"Almost never or never","1987","direct migration background","Female","","","","","1"
"Almost never or never","1987","indirect migration background","Male","","","","","1"
"Almost never or never","1987","indirect migration background","Female","","","","","1"
"At lease once a week","1987","no migration background","Male","","","","","4"
"At lease once a week","1987","no migration background","Female","","","","","4"
"At lease once a week","1987","direct migration background","Male","","","","","4"
"At lease once a week","1987","indirect migration background","Male","","","","","4"
"At lease once a week","1987","direct migration background","Female","","","","","4"
"At lease once a week","1987","indirect migration background","Female","","","","","4"
"At least once a month","1987","no migration background","Female","","","","","3"
"At least once a month","1987","no migration background","Male","","","","","3"
"At least once a month","1987","direct migration background","Female","","","","","3"
"At least once a month","1987","direct migration background","Male","","","","","3"
"At least once a month","1987","indirect migration background","Male","","","","","3"
"At least once a month","1987","indirect migration background","Female","","","","","3"
"Several times a year","1987","no migration background","Female","","","","","2"
"Several times a year","1987","no migration background","Male","","","","","2"
"Several times a year","1987","direct migration background","Female","","","","","2"
"Several times a year","1987","direct migration background","Male","","","","","2"
"Several times a year","1987","indirect migration background","Male","","","","","2"
"Several times a year","1987","indirect migration background","Female","","","","","2"
"Almost never or never","1988","no migration background","Male","1596","0.498046218565256","0.481229899498323","0.514862537632188","1"
"Almost never or never","1988","no migration background","Female","2034","0.593566001459221","0.577605509738478","0.609526493179963","1"
"Almost never or never","1988","direct migration background","Male","912","0.628734000299077","0.603506823141634","0.653961177456521","1"
"Almost never or never","1988","direct migration background","Female","1022","0.756919485846217","0.733150023836532","0.780688947855902","1"
"Almost never or never","1988","indirect migration background","Male","27","","","","1"
"Almost never or never","1988","indirect migration background","Female","52","0.594905305679672","0.504790144460699","0.685020466898645","1"
"At lease once a week","1988","no migration background","Male","1051","0.290962768333064","0.275686492883554","0.306239043782573","4"
"At lease once a week","1988","no migration background","Female","894","0.228388653332762","0.214747430344952","0.242029876320571","4"
"At lease once a week","1988","direct migration background","Male","277","0.199836486603506","0.178957021944662","0.22071595126235","4"
"At lease once a week","1988","direct migration background","Female","112","0.140761433318053","0.121489816256817","0.160033050379289","4"
"At lease once a week","1988","indirect migration background","Male","54","0.348420383306223","0.258140347177819","0.438700419434627","4"
"At lease once a week","1988","indirect migration background","Female","31","0.211366008034681","0.136419572239847","0.286312443829514","4"
