"m11104","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1985","Urban Area","Male","2291","0.522178947550197","0.507215977844225","0.537141917256169","1"
"Almost never or never","1985","Urban Area","Female","2879","0.631152980989402","0.616912677204135","0.645393284774669","1"
"Almost never or never","1985","Rural Area","Male","585","0.550022552427082","0.520716325841883","0.579328779012281","1"
"Almost never or never","1985","Rural Area","Female","749","0.657860790787293","0.630452695581247","0.685268885993339","1"
"At lease once a week","1985","Urban Area","Male","1126","0.277117141494799","0.263709847407884","0.290524435581715","4"
"At lease once a week","1985","Urban Area","Female","830","0.211482827411907","0.199430472049879","0.223535182773934","4"
"At lease once a week","1985","Rural Area","Male","298","0.262236382648538","0.236325669255144","0.288147096041933","4"
"At lease once a week","1985","Rural Area","Female","216","0.194206906847631","0.171353311409246","0.217060502286015","4"
"At least once a month","1985","Urban Area","Female","155","0.0366602856005095","0.0311138183799314","0.0422067528210876","3"
"At least once a month","1985","Urban Area","Male","264","0.0600663836734188","0.0529486815114493","0.0671840858353882","3"
"At least once a month","1985","Rural Area","Male","70","0.0591464643911562","0.0452501482536005","0.0730427805287118","3"
"At least once a month","1985","Rural Area","Female","53","0.0418532503420415","0.0302843776995036","0.0534221229845794","3"
"Several times a year","1985","Urban Area","Male","600","0.140637527281585","0.13022360624293","0.151051448320239","2"
"Several times a year","1985","Urban Area","Female","546","0.120703905998181","0.111088734598925","0.130319077397438","2"
"Several times a year","1985","Rural Area","Male","154","0.128594600533223","0.108875106354629","0.148314094711818","2"
"Several times a year","1985","Rural Area","Female","133","0.106079052023035","0.088289098990834","0.123869005055235","2"
"Almost never or never","1986","Urban Area","Male","2162","0.512401129140422","0.497195369928892","0.527606888351952","1"
"Almost never or never","1986","Urban Area","Female","2730","0.637543757198447","0.623038477109108","0.652049037287786","1"
"Almost never or never","1986","Rural Area","Male","547","0.533825879918092","0.503766560086878","0.563885199749305","1"
"Almost never or never","1986","Rural Area","Female","699","0.652354793444838","0.624199549370528","0.680510037519148","1"
"At lease once a week","1986","Urban Area","Male","1193","0.29345817653283","0.279606135509322","0.307310217556339","4"
"At lease once a week","1986","Urban Area","Female","835","0.209302064767225","0.197026672277264","0.221577457257186","4"
"At lease once a week","1986","Rural Area","Male","298","0.277456789750837","0.250477230668905","0.304436348832769","4"
"At lease once a week","1986","Rural Area","Female","217","0.196413531830089","0.172925249701314","0.219901813958863","4"
"At least once a month","1986","Urban Area","Female","187","0.0459020452044964","0.0395873000411333","0.0522167903678594","3"
"At least once a month","1986","Rural Area","Female","55","0.0464060495548506","0.0339689735559631","0.0588431255537381","3"
"At least once a month","1986","Urban Area","Male","262","0.0616877119698014","0.0543688297643934","0.0690065941752094","3"
"At least once a month","1986","Rural Area","Male","63","0.0551420502914643","0.0413880201139664","0.0688960804689623","3"
"Several times a year","1986","Urban Area","Male","534","0.132452982356946","0.122140835110686","0.142765129603207","2"
"Several times a year","1986","Urban Area","Female","467","0.107252132829831","0.0979150608314743","0.116589204828188","2"
"Several times a year","1986","Rural Area","Male","150","0.133575280039607","0.113076230680468","0.154074329398746","2"
"Several times a year","1986","Rural Area","Female","128","0.104825625170223","0.0867148601335677","0.122936390206878","2"
"Almost never or never","1987","Urban Area","Male","","","","","1"
"Almost never or never","1987","Urban Area","Female","","","","","1"
"Almost never or never","1987","Rural Area","Male","","","","","1"
"Almost never or never","1987","Rural Area","Female","","","","","1"
"At lease once a week","1987","Urban Area","Male","","","","","4"
"At lease once a week","1987","Urban Area","Female","","","","","4"
"At lease once a week","1987","Rural Area","Male","","","","","4"
"At lease once a week","1987","Rural Area","Female","","","","","4"
"At least once a month","1987","Rural Area","Male","","","","","3"
"At least once a month","1987","Urban Area","Female","","","","","3"
"At least once a month","1987","Rural Area","Female","","","","","3"
"At least once a month","1987","Urban Area","Male","","","","","3"
"Several times a year","1987","Urban Area","Male","","","","","2"
"Several times a year","1987","Urban Area","Female","","","","","2"
"Several times a year","1987","Rural Area","Male","","","","","2"
"Several times a year","1987","Rural Area","Female","","","","","2"
"Almost never or never","1988","Rural Area","Female","606","0.605701872396356","0.575725640800602","0.635678103992109","1"
"Almost never or never","1988","Urban Area","Female","2502","0.609878791519883","0.594728569086307","0.625029013953458","1"
"Almost never or never","1988","Urban Area","Male","2050","0.512799791847193","0.497172653084419","0.528426930609967","1"
"Almost never or never","1988","Rural Area","Male","485","0.50842518522551","0.477157143198943","0.539693227252077","1"
"At lease once a week","1988","Urban Area","Male","1098","0.282795309077481","0.268715087892076","0.296875530262885","4"
"At lease once a week","1988","Urban Area","Female","840","0.228730003038056","0.215684457362963","0.24177554871315","4"
"At lease once a week","1988","Rural Area","Male","284","0.276872222117269","0.248886303776684","0.304858140457854","4"
"At lease once a week","1988","Rural Area","Female","197","0.190098745194931","0.16603069652826","0.214166793861602","4"
"At least once a month","1988","Urban Area","Male","233","0.0606229899454053","0.0531621030634259","0.0680838768273846","3"
"At least once a month","1988","Urban Area","Female","172","0.0448053353793609","0.0383798154726471","0.0512308552860747","3"
"At least once a month","1988","Rural Area","Male","58","0.0520067976671553","0.0381192675069976","0.0658943278273131","3"
"At least once a month","1988","Rural Area","Female","58","0.0594510159726064","0.0449464222139892","0.0739556097312237","3"
"Several times a year","1988","Urban Area","Male","549","0.143781909129921","0.13281217407095","0.154751644188892","2"
"Several times a year","1988","Urban Area","Female","468","0.1165858700627","0.106617994838733","0.126553745286667","2"
"Several times a year","1988","Rural Area","Male","155","0.162695794990066","0.139611205952202","0.185780384027931","2"
"Several times a year","1988","Rural Area","Female","160","0.144748366436107","0.123166499440141","0.166330233432074","2"
"Almost never or never","1989","Rural Area","Female","","","","","1"
"Almost never or never","1989","Urban Area","Male","","","","","1"
"Almost never or never","1989","Urban Area","Female","","","","","1"
"Almost never or never","1989","Rural Area","Male","","","","","1"
"At lease once a week","1989","Urban Area","Male","","","","","4"
"At lease once a week","1989","Urban Area","Female","","","","","4"
"At lease once a week","1989","Rural Area","Male","","","","","4"
"At lease once a week","1989","Rural Area","Female","","","","","4"
"At least once a month","1989","Urban Area","Male","","","","","3"
"At least once a month","1989","Urban Area","Female","","","","","3"
"At least once a month","1989","Rural Area","Male","","","","","3"
"At least once a month","1989","Rural Area","Female","","","","","3"
"Several times a year","1989","Urban Area","Male","","","","","2"
"Several times a year","1989","Urban Area","Female","","","","","2"
"Several times a year","1989","Rural Area","Male","","","","","2"
"Several times a year","1989","Rural Area","Female","","","","","2"
"Almost never or never","1990","Rural Area","Female","1547","0.603410602249747","0.583777862141674","0.623043342357819","1"
"Almost never or never","1990","Urban Area","Male","1892","0.389285777339052","0.374937306882288","0.403634247795817","1"
"Almost never or never","1990","Urban Area","Female","2539","0.514694151467368","0.500273274383521","0.529115028551216","1"
"Almost never or never","1990","Rural Area","Male","1179","0.477860035958395","0.457206691990321","0.49851337992647","1"
"At lease once a week","1990","Urban Area","Male","1301","0.313816667888586","0.300161079806131","0.327472255971041","4"
"At lease once a week","1990","Urban Area","Female","1033","0.250665408216785","0.238160100309179","0.263170716124391","4"
"At lease once a week","1990","Rural Area","Male","466","0.224414150377066","0.207164249170162","0.241664051583971","4"
"At lease once a week","1990","Rural Area","Female","369","0.187191522294475","0.171536953850335","0.202846090738616","4"
