"m11104","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","in school","West Germany","48","0.266037387135577","0.202703580223888","0.329371194047265"
"Almost never or never","1984","in school","East Germany","","","",""
"Almost never or never","1984","inadequately","West Germany","862","0.809096486636305","0.784834579103281","0.833358394169329"
"Almost never or never","1984","inadequately","East Germany","","","",""
"Almost never or never","1984","general elemantary","West Germany","2502","0.75703762828121","0.742647262863855","0.771427993698565"
"Almost never or never","1984","general elemantary","East Germany","","","",""
"Almost never or never","1984","middle vocational","West Germany","3409","0.618273016470863","0.605583050127859","0.630962982813867"
"Almost never or never","1984","middle vocational","East Germany","","","",""
"Almost never or never","1984","vocational + Abi","West Germany","158","0.491055181488989","0.43540485178225","0.546705511195729"
"Almost never or never","1984","vocational + Abi","East Germany","","","",""
"Almost never or never","1984","higher vocational","West Germany","353","0.567695048457351","0.529433916420278","0.605956180494424"
"Almost never or never","1984","higher vocational","East Germany","","","",""
"Almost never or never","1984","higher education","West Germany","329","0.436207121610512","0.401493795489562","0.470920447731461"
"Almost never or never","1984","higher education","East Germany","","","",""
"Several times a year","1984","in school","West Germany","48","0.242636422332616","0.181195533125437","0.304077311539795"
"Several times a year","1984","in school","East Germany","","","",""
"Several times a year","1984","inadequately","West Germany","96","0.112905373603502","0.0933682733393824","0.132442473867622"
"Several times a year","1984","inadequately","East Germany","","","",""
"Several times a year","1984","general elemantary","West Germany","484","0.123598050624825","0.112554695000215","0.134641406249434"
"Several times a year","1984","general elemantary","East Germany","","","",""
"Several times a year","1984","middle vocational","West Germany","1124","0.186968406117878","0.176784093601616","0.19715271863414"
"Several times a year","1984","middle vocational","East Germany","","","",""
"Several times a year","1984","vocational + Abi","West Germany","77","0.244149274519389","0.196328899207375","0.291969649831403"
"Several times a year","1984","vocational + Abi","East Germany","","","",""
"Several times a year","1984","higher vocational","West Germany","153","0.22400867635271","0.191807924658297","0.256209428047122"
"Several times a year","1984","higher vocational","East Germany","","","",""
"Several times a year","1984","higher education","West Germany","219","0.265419888353666","0.234511499051756","0.296328277655576"
"Several times a year","1984","higher education","East Germany","","","",""
