"m11104","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","Schleswig-Holstein","Full Time","83","0.476841810631623","0.402629296422805","0.551054324840441"
"Almost never or never","1984","Schleswig-Holstein","Part Time","37","0.585184508033328","0.463523416066042","0.706845600000613"
"Almost never or never","1984","Schleswig-Holstein","Not Working","100","0.693876252746735","0.619874078566654","0.767878426926815"
"Almost never or never","1984","Hamburg","Full Time","89","0.559860063666991","0.479613848787973","0.640106278546009"
"Almost never or never","1984","Hamburg","Part Time","19","","",""
"Almost never or never","1984","Hamburg","Not Working","84","0.733280723996309","0.652801935029152","0.813759512963466"
"Almost never or never","1984","Lower Saxony","Full Time","272","0.524463479279498","0.480380169371339","0.568546789187656"
"Almost never or never","1984","Lower Saxony","Part Time","111","0.583817088021353","0.514632189409163","0.653001986633542"
"Almost never or never","1984","Lower Saxony","Not Working","366","0.721745110433524","0.683301323021299","0.760188897845749"
"Almost never or never","1984","Bremen","Full Time","28","","",""
"Almost never or never","1984","Bremen","Part Time","16","","",""
"Almost never or never","1984","Bremen","Not Working","54","0.751615102679918","0.651112048770808","0.852118156589028"
"Almost never or never","1984","North Rhine-Westphalia","Full Time","853","0.558536256681987","0.532897951878391","0.584174561485582"
"Almost never or never","1984","North Rhine-Westphalia","Part Time","285","0.572024962212161","0.527853550250836","0.616196374173487"
"Almost never or never","1984","North Rhine-Westphalia","Not Working","929","0.733169137130243","0.709107184771033","0.757231089489453"
"Almost never or never","1984","Hesse","Full Time","362","0.581125283703122","0.54138195884584","0.620868608560404"
"Almost never or never","1984","Hesse","Part Time","120","0.627145844701008","0.559100096406915","0.695191592995101"
"Almost never or never","1984","Hesse","Not Working","315","0.702643575750231","0.660735647300761","0.7445515041997"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Full Time","223","0.579710112866298","0.529751270599923","0.629668955132673"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Part Time","62","0.532853496708328","0.440454013776118","0.625252979640537"
"Almost never or never","1984","Rhineland-Palatinate,Saarland","Not Working","276","0.784933548631955","0.742666924780937","0.827200172482973"
"Almost never or never","1984","Baden-Württemberg","Full Time","748","0.595581285599867","0.567314270239911","0.623848300959823"
"Almost never or never","1984","Baden-Württemberg","Part Time","219","0.6223335372059","0.570184672006926","0.674482402404874"
"Almost never or never","1984","Baden-Württemberg","Not Working","558","0.76376342362308","0.733220775952349","0.79430607129381"
"Almost never or never","1984","Bavaria","Full Time","546","0.514363449346269","0.48327749536978","0.545449403322758"
"Almost never or never","1984","Bavaria","Part Time","206","0.576780074304505","0.525166380993589","0.628393767615421"
