"m11104","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","16-34 y.","Male","860","0.378439995363892","0.358426700768042","0.398453289959741"
"Almost never or never","1984","16-34 y.","Female","1297","0.494672195616816","0.474305623425413","0.515038767808218"
"Almost never or never","1984","35-65 y.","Male","2139","0.646778804106016","0.630163660669138","0.663393947542893"
"Almost never or never","1984","35-65 y.","Female","2311","0.721164669508603","0.705258126263241","0.737071212753965"
"Almost never or never","1984","66 and older","Male","419","0.861531328955621","0.830949648191928","0.892113009719314"
"Almost never or never","1984","66 and older","Female","678","0.907831823873174","0.887060549006378","0.92860309873997"
"Several times a year","1984","16-34 y.","Male","618","0.270006403345562","0.251686418901274","0.28832638778985"
"Several times a year","1984","16-34 y.","Female","606","0.279245214442112","0.26097013682167","0.297520292062555"
"Several times a year","1984","35-65 y.","Male","565","0.183270978082974","0.169822019071663","0.196719937094285"
"Several times a year","1984","35-65 y.","Female","362","0.129879821634134","0.117955185093791","0.141804458174476"
"Several times a year","1984","66 and older","Male","39","0.0751918712044928","0.0518432458551329","0.0985404965538526"
"Several times a year","1984","66 and older","Female","26","","",""
"At least once a month","1984","16-34 y.","Male","778","0.351553601290546","0.331851553858942","0.371255648722151"
"At least once a month","1984","16-34 y.","Female","412","0.226082589941072","0.209043222763968","0.243121957118175"
"At least once a month","1984","35-65 y.","Male","475","0.16995021781101","0.156894048906953","0.183006386715068"
"At least once a month","1984","35-65 y.","Female","380","0.148955508857263","0.136325923104862","0.161585094609665"
"At least once a month","1984","66 and older","Male","32","0.0632767998398861","0.0417203150069905","0.0848332846727817"
"At least once a month","1984","66 and older","Female","41","0.0548922665598125","0.0385366773241211","0.071247855795504"
"At lease once a week","1984","16-34 y.","Male","","","",""
"At lease once a week","1984","16-34 y.","Female","","","",""
"At lease once a week","1984","35-65 y.","Male","","","",""
"At lease once a week","1984","35-65 y.","Female","","","",""
"At lease once a week","1984","66 and older","Male","","","",""
"At lease once a week","1984","66 and older","Female","","","",""
"Almost never or never","1985","16-34 y.","Male","667","0.301311809818495","0.281612590654363","0.321011028982628"
"Almost never or never","1985","16-34 y.","Female","996","0.400365632458761","0.379237817446493","0.421493447471028"
"Almost never or never","1985","35-65 y.","Male","1843","0.607402106304141","0.589545767916705","0.625258444691577"
"Almost never or never","1985","35-65 y.","Female","2037","0.675159331825069","0.657923457741928","0.692395205908209"
"Almost never or never","1985","66 and older","Male","366","0.854518750600568","0.821231818860472","0.887805682340665"
"Almost never or never","1985","66 and older","Female","595","0.90235619041315","0.879693224669669","0.925019156156631"
"Several times a year","1985","16-34 y.","Male","403","0.196852103010283","0.179780786031294","0.213923419989272"
"Several times a year","1985","16-34 y.","Female","408","0.210685960571631","0.193101637896133","0.228270283247129"
"Several times a year","1985","35-65 y.","Male","337","0.122484012942724","0.110495991803602","0.134472034081845"
"Several times a year","1985","35-65 y.","Female","257","0.0990819052732108","0.0880859033482318","0.11007790719819"
"Several times a year","1985","66 and older","Male","14","","",""
"Several times a year","1985","66 and older","Female","14","","",""
"At least once a month","1985","16-34 y.","Male","189","0.0862420582073992","0.0741896350202619","0.0982944813945365"
"At least once a month","1985","16-34 y.","Female","113","0.0588386646075509","0.0486914609985761","0.0689858682165256"
"At least once a month","1985","35-65 y.","Male","135","0.0507681342365151","0.042740972119454","0.0587952963535762"
"At least once a month","1985","35-65 y.","Female","87","0.0356639879358839","0.0288386505733731","0.0424893252983947"
"At least once a month","1985","66 and older","Male","10","","",""
"At least once a month","1985","66 and older","Female","8","","",""
"At lease once a week","1985","16-34 y.","Male","825","0.415594028963822","0.394435220578072","0.436752837349572"
"At lease once a week","1985","16-34 y.","Female","549","0.330109742362058","0.309832264583529","0.350387220140586"
"At lease once a week","1985","35-65 y.","Male","558","0.21934574651662","0.204214515854175","0.234476977179064"
"At lease once a week","1985","35-65 y.","Female","455","0.190094774965837","0.175653778288493","0.20453577164318"
"At lease once a week","1985","66 and older","Male","41","0.0900532043740387","0.0630281210645389","0.117078287683539"
"At lease once a week","1985","66 and older","Female","42","0.0654080488686925","0.0465310913229366","0.0842850064144484"
"Almost never or never","1986","16-34 y.","Male","631","0.286597672373385","0.267128082377893","0.306067262368877"
"Almost never or never","1986","16-34 y.","Female","947","0.400108224886644","0.378669062192175","0.421547387581114"
"Almost never or never","1986","35-65 y.","Male","1716","0.589568443543815","0.571078696293588","0.608058190794042"
"Almost never or never","1986","35-65 y.","Female","1930","0.68002450046753","0.662439365290487","0.697609635644573"
"Almost never or never","1986","66 and older","Male","362","0.875429062866913","0.843771403913969","0.907086721819857"
"Almost never or never","1986","66 and older","Female","552","0.908267069299613","0.885342094695508","0.931192043903718"
"Several times a year","1986","16-34 y.","Male","356","0.184309656134746","0.167614521699676","0.201004790569815"
"Several times a year","1986","16-34 y.","Female","368","0.20555053096734","0.187866752416398","0.223234309518281"
"Several times a year","1986","35-65 y.","Male","318","0.125131394696062","0.11269489837063","0.137567891021495"
"Several times a year","1986","35-65 y.","Female","219","0.0833990484986241","0.0729759757747607","0.0938221212224875"
"Several times a year","1986","66 and older","Male","10","","",""
"Several times a year","1986","66 and older","Female","8","","",""
"At least once a month","1986","16-34 y.","Male","170","0.0826727372431279","0.070815144655365","0.0945303298308909"
"At least once a month","1986","16-34 y.","Female","135","0.0764722913439212","0.0648428288246923","0.08810175386315"
"At least once a month","1986","35-65 y.","Male","147","0.0552904930800392","0.0467000045632247","0.0638809815968538"
"At least once a month","1986","35-65 y.","Female","97","0.0398262101000779","0.0324542244394058","0.04719819576075"
"At least once a month","1986","66 and older","Male","8","","",""
"At least once a month","1986","66 and older","Female","10","","",""
"At lease once a week","1986","16-34 y.","Male","915","0.446419934248741","0.425014934526923","0.467824933970559"
"At lease once a week","1986","16-34 y.","Female","556","0.317868952802095","0.297491936602806","0.338245969001383"
"At lease once a week","1986","35-65 y.","Male","538","0.230009668680084","0.214191391936441","0.245827945423726"
"At lease once a week","1986","35-65 y.","Female","457","0.196750240933768","0.181763472166498","0.211737009701037"
"At lease once a week","1986","66 and older","Male","38","0.0863745741008686","0.0594445341134051","0.113304614088332"
"At lease once a week","1986","66 and older","Female","39","0.063607908109963","0.0442247798347598","0.0829910363851662"
"Almost never or never","1987","16-34 y.","Male","","","",""
"Almost never or never","1987","16-34 y.","Female","","","",""
"Almost never or never","1987","35-65 y.","Male","","","",""
"Almost never or never","1987","35-65 y.","Female","","","",""
"Almost never or never","1987","66 and older","Male","","","",""
"Almost never or never","1987","66 and older","Female","","","",""
"Several times a year","1987","16-34 y.","Male","","","",""
"Several times a year","1987","16-34 y.","Female","","","",""
"Several times a year","1987","35-65 y.","Male","","","",""
"Several times a year","1987","35-65 y.","Female","","","",""
"Several times a year","1987","66 and older","Male","","","",""
"Several times a year","1987","66 and older","Female","","","",""
"At least once a month","1987","16-34 y.","Male","","","",""
"At least once a month","1987","16-34 y.","Female","","","",""
"At least once a month","1987","35-65 y.","Male","","","",""
"At least once a month","1987","35-65 y.","Female","","","",""
"At least once a month","1987","66 and older","Male","","","",""
"At least once a month","1987","66 and older","Female","","","",""
"At lease once a week","1987","16-34 y.","Male","","","",""
"At lease once a week","1987","16-34 y.","Female","","","",""
"At lease once a week","1987","35-65 y.","Male","","","",""
"At lease once a week","1987","35-65 y.","Female","","","",""
"At lease once a week","1987","66 and older","Male","","","",""
"At lease once a week","1987","66 and older","Female","","","",""
"Almost never or never","1988","16-34 y.","Male","606","0.296451421456558","0.276253756544138","0.316649086368977"
"Almost never or never","1988","16-34 y.","Female","865","0.387929077877692","0.365831905884556","0.410026249870828"
"Almost never or never","1988","35-65 y.","Male","1583","0.574484812218378","0.555230531255003","0.593739093181754"
"Almost never or never","1988","35-65 y.","Female","1699","0.625863185938027","0.60694757470621","0.644778797169844"
"Almost never or never","1988","66 and older","Male","346","0.835452477156722","0.799780219803045","0.871124734510399"
"Almost never or never","1988","66 and older","Female","544","0.875447890729691","0.849476632847438","0.901419148611945"
"Several times a year","1988","16-34 y.","Male","374","0.20040846841843","0.182704546856602","0.218112389980257"
"Several times a year","1988","16-34 y.","Female","357","0.207596306390478","0.189203723931857","0.225988888849099"
"Several times a year","1988","35-65 y.","Male","313","0.140926351973251","0.127376273831831","0.154476430114671"
"Several times a year","1988","35-65 y.","Female","256","0.1146456464937","0.102191820260797","0.127099472726603"
"Several times a year","1988","66 and older","Male","17","","",""
"Several times a year","1988","66 and older","Female","15","","",""
"At least once a month","1988","16-34 y.","Male","149","0.07172690479818","0.060315048978447","0.0831387606179131"
"At least once a month","1988","16-34 y.","Female","131","0.0819756610383894","0.0695354079305384","0.0944159141462405"
"At least once a month","1988","35-65 y.","Male","132","0.0593702409761173","0.0501673503785414","0.0685731315736933"
"At least once a month","1988","35-65 y.","Female","91","0.0423238298001807","0.0344539649456364","0.050193694654725"
"At least once a month","1988","66 and older","Male","10","","",""
"At least once a month","1988","66 and older","Female","8","","",""
"At lease once a week","1988","16-34 y.","Male","835","0.431413205326833","0.409509254739753","0.453317155913913"
"At lease once a week","1988","16-34 y.","Female","515","0.322498954693441","0.301301740146513","0.343696169240369"
"At lease once a week","1988","35-65 y.","Male","505","0.225218594832253","0.208951042485131","0.241486147179375"
"At lease once a week","1988","35-65 y.","Female","468","0.217167337768092","0.20104985640152","0.233284819134665"
"At lease once a week","1988","66 and older","Male","42","0.101083810117984","0.0720820440286522","0.130085576207316"
"At lease once a week","1988","66 and older","Female","54","0.0860289488373882","0.0639747736911556","0.108083123983621"
"Almost never or never","1989","16-34 y.","Male","","","",""
"Almost never or never","1989","16-34 y.","Female","","","",""
"Almost never or never","1989","35-65 y.","Male","","","",""
"Almost never or never","1989","35-65 y.","Female","","","",""
"Almost never or never","1989","66 and older","Male","","","",""
"Almost never or never","1989","66 and older","Female","","","",""
"Several times a year","1989","16-34 y.","Male","","","",""
"Several times a year","1989","16-34 y.","Female","","","",""
"Several times a year","1989","35-65 y.","Male","","","",""
"Several times a year","1989","35-65 y.","Female","","","",""
"Several times a year","1989","66 and older","Male","","","",""
"Several times a year","1989","66 and older","Female","","","",""
"At least once a month","1989","16-34 y.","Male","","","",""
"At least once a month","1989","16-34 y.","Female","","","",""
"At least once a month","1989","35-65 y.","Male","","","",""
"At least once a month","1989","35-65 y.","Female","","","",""
"At least once a month","1989","66 and older","Male","","","",""
"At least once a month","1989","66 and older","Female","","","",""
"At lease once a week","1989","16-34 y.","Male","","","",""
"At lease once a week","1989","16-34 y.","Female","","","",""
"At lease once a week","1989","35-65 y.","Male","","","",""
"At lease once a week","1989","35-65 y.","Female","","","",""
"At lease once a week","1989","66 and older","Male","","","",""
"At lease once a week","1989","66 and older","Female","","","",""
"Almost never or never","1990","16-34 y.","Male","818","0.247429452440649","0.231079957454802","0.263778947426497"
"Almost never or never","1990","16-34 y.","Female","1135","0.327848504744122","0.309911172387314","0.34578583710093"
"Almost never or never","1990","35-65 y.","Male","1847","0.451726310191616","0.43521773612391","0.468234884259322"
"Almost never or never","1990","35-65 y.","Female","2203","0.542459288331708","0.525959116507426","0.558959460155991"
"Almost never or never","1990","66 and older","Male","424","0.749982918891372","0.713859480758869","0.786106357023875"
"Almost never or never","1990","66 and older","Female","781","0.843689716978404","0.82017252270492","0.867206911251888"
"Several times a year","1990","16-34 y.","Male","587","0.231282574742268","0.21530687623051","0.247258273254027"
"Several times a year","1990","16-34 y.","Female","592","0.250578717159819","0.234020149423278","0.26713728489636"
"Several times a year","1990","35-65 y.","Male","667","0.22166681243858","0.207888174791877","0.235445450085284"
"Several times a year","1990","35-65 y.","Female","498","0.161873594615838","0.149674354281832","0.174072834949844"
"Several times a year","1990","66 and older","Male","46","0.0909740812494104","0.0669843421697326","0.114963820329088"
"Several times a year","1990","66 and older","Female","38","0.0433228935967212","0.0301390581776586","0.0565067290157839"
"At least once a month","1990","16-34 y.","Male","259","0.103095096993229","0.0915739095790385","0.114616284407419"
"At least once a month","1990","16-34 y.","Female","196","0.0882457527307078","0.0774071457024945","0.099084359758921"
"At least once a month","1990","35-65 y.","Male","282","0.0921576426903094","0.0825626628587023","0.101752622521916"
"At least once a month","1990","35-65 y.","Female","180","0.064691096121528","0.0565442444464485","0.0728379477966075"
"At least once a month","1990","66 and older","Male","15","","",""
"At least once a month","1990","66 and older","Female","21","","",""
"At lease once a week","1990","16-34 y.","Male","1012","0.418192875823854","0.399504013318165","0.436881738329542"
"At lease once a week","1990","16-34 y.","Female","708","0.333327025365352","0.315314302990674","0.35133974774003"
"At lease once a week","1990","35-65 y.","Male","695","0.234449234679494","0.22039573222662","0.248502737132368"
"At lease once a week","1990","35-65 y.","Female","621","0.230976020930925","0.217017371223625","0.244934670638226"
"At lease once a week","1990","66 and older","Male","67","0.125867323798324","0.0981963955121249","0.153538252084523"
"At lease once a week","1990","66 and older","Female","76","0.0861496659772877","0.0679792574961652","0.10432007445841"
"Almost never or never","1991","16-34 y.","Male","","","",""
"Almost never or never","1991","16-34 y.","Female","","","",""
"Almost never or never","1991","35-65 y.","Male","","","",""
"Almost never or never","1991","35-65 y.","Female","","","",""
"Almost never or never","1991","66 and older","Male","","","",""
"Almost never or never","1991","66 and older","Female","","","",""
"Several times a year","1991","16-34 y.","Male","","","",""
"Several times a year","1991","16-34 y.","Female","","","",""
"Several times a year","1991","35-65 y.","Male","","","",""
"Several times a year","1991","35-65 y.","Female","","","",""
"Several times a year","1991","66 and older","Male","","","",""
"Several times a year","1991","66 and older","Female","","","",""
"At least once a month","1991","16-34 y.","Male","","","",""
"At least once a month","1991","16-34 y.","Female","","","",""
"At least once a month","1991","35-65 y.","Male","","","",""
"At least once a month","1991","35-65 y.","Female","","","",""
"At least once a month","1991","66 and older","Male","","","",""
"At least once a month","1991","66 and older","Female","","","",""
"At lease once a week","1991","16-34 y.","Male","","","",""
"At lease once a week","1991","16-34 y.","Female","","","",""
"At lease once a week","1991","35-65 y.","Male","","","",""
"At lease once a week","1991","35-65 y.","Female","","","",""
"At lease once a week","1991","66 and older","Male","","","",""
"At lease once a week","1991","66 and older","Female","","","",""
"Almost never or never","1992","16-34 y.","Male","774","0.288896040089219","0.27101417325478","0.306777906923657"
"Almost never or never","1992","16-34 y.","Female","1088","0.374264126873836","0.355175610541065","0.393352643206608"
"Almost never or never","1992","35-65 y.","Male","2022","0.550243974437072","0.533458187942474","0.56702976093167"
"Almost never or never","1992","35-65 y.","Female","2277","0.614756024344427","0.598400514011497","0.631111534677357"
"Almost never or never","1992","66 and older","Male","458","0.830268394877384","0.798693727184229","0.861843062570539"
"Almost never or never","1992","66 and older","Female","782","0.88039495063619","0.859075961094195","0.901713940178184"
"Several times a year","1992","16-34 y.","Male","529","0.215767774987202","0.199538797907553","0.23199675206685"
"Several times a year","1992","16-34 y.","Female","560","0.238888602200363","0.222069245792505","0.255707958608222"
"Several times a year","1992","35-65 y.","Male","604","0.185453642026876","0.172339160119292","0.19856812393446"
"Several times a year","1992","35-65 y.","Female","452","0.137997967451622","0.126406584212631","0.149589350690613"
"Several times a year","1992","66 and older","Male","18","","",""
"Several times a year","1992","66 and older","Female","22","","",""
"At least once a month","1992","16-34 y.","Male","263","0.112660692769821","0.100186668571605","0.125134716968037"
"At least once a month","1992","16-34 y.","Female","162","0.0664727678399772","0.0566468546467689","0.0762986810331854"
"At least once a month","1992","35-65 y.","Male","187","0.0672656743094001","0.0588138340203671","0.0757175145984331"
"At least once a month","1992","35-65 y.","Female","129","0.0480371556547544","0.0408502256332091","0.0552240856762997"
"At least once a month","1992","66 and older","Male","11","","",""
"At least once a month","1992","66 and older","Female","12","","",""
"At lease once a week","1992","16-34 y.","Male","902","0.382675492153759","0.363499952393867","0.40185103191365"
"At lease once a week","1992","16-34 y.","Female","659","0.320374503085823","0.301968844976229","0.338780161195417"
"At lease once a week","1992","35-65 y.","Male","561","0.197036709226652","0.183615335485711","0.210458082967593"
"At lease once a week","1992","35-65 y.","Female","543","0.199208852549196","0.185785570249539","0.212632134848854"
"At lease once a week","1992","66 and older","Male","56","0.111774592513974","0.0852724295709539","0.138276755456995"
"At lease once a week","1992","66 and older","Female","74","0.0884376639516939","0.0697839675034057","0.107091360399982"
"Almost never or never","1993","16-34 y.","Male","","","",""
"Almost never or never","1993","16-34 y.","Female","","","",""
"Almost never or never","1993","35-65 y.","Male","","","",""
"Almost never or never","1993","35-65 y.","Female","","","",""
"Almost never or never","1993","66 and older","Male","","","",""
"Almost never or never","1993","66 and older","Female","","","",""
"Several times a year","1993","16-34 y.","Male","","","",""
"Several times a year","1993","16-34 y.","Female","","","",""
"Several times a year","1993","35-65 y.","Male","","","",""
"Several times a year","1993","35-65 y.","Female","","","",""
"Several times a year","1993","66 and older","Male","","","",""
"Several times a year","1993","66 and older","Female","","","",""
"At least once a month","1993","16-34 y.","Male","","","",""
"At least once a month","1993","16-34 y.","Female","","","",""
"At least once a month","1993","35-65 y.","Male","","","",""
"At least once a month","1993","35-65 y.","Female","","","",""
"At least once a month","1993","66 and older","Male","","","",""
"At least once a month","1993","66 and older","Female","","","",""
"At lease once a week","1993","16-34 y.","Male","","","",""
"At lease once a week","1993","16-34 y.","Female","","","",""
"At lease once a week","1993","35-65 y.","Male","","","",""
"At lease once a week","1993","35-65 y.","Female","","","",""
"At lease once a week","1993","66 and older","Male","","","",""
"At lease once a week","1993","66 and older","Female","","","",""
"Almost never or never","1994","16-34 y.","Male","664","0.263476597388477","0.245688694635034","0.28126450014192"
"Almost never or never","1994","16-34 y.","Female","1021","0.380019639223962","0.360664708868092","0.399374569579833"
"Almost never or never","1994","35-65 y.","Male","1904","0.538961435103307","0.521770705764106","0.556152164442507"
"Almost never or never","1994","35-65 y.","Female","2162","0.588919720149358","0.57204261840784","0.605796821890876"
"Almost never or never","1994","66 and older","Male","457","0.815027553469656","0.782724671884063","0.84733043505525"
"Almost never or never","1994","66 and older","Female","801","0.87517626870085","0.853701735036811","0.896650802364888"
"Several times a year","1994","16-34 y.","Male","560","0.243393207511905","0.226065153503301","0.260721261520508"
"Several times a year","1994","16-34 y.","Female","600","0.232286055140506","0.21544726401062","0.249124846270393"
"Several times a year","1994","35-65 y.","Male","610","0.20416305536485","0.190262010141386","0.218064100588315"
"Several times a year","1994","35-65 y.","Female","456","0.151346691040625","0.139053684356003","0.163639697725248"
"Several times a year","1994","66 and older","Male","32","0.0737897426034554","0.0520399865458353","0.0955394986610756"
"Several times a year","1994","66 and older","Female","26","","",""
"At least once a month","1994","16-34 y.","Male","250","0.0963411368984401","0.084426835352059","0.108255438444821"
"At least once a month","1994","16-34 y.","Female","189","0.079830570002024","0.069023246749337","0.090637893254711"
"At least once a month","1994","35-65 y.","Male","186","0.0631360282056273","0.0547486982647837","0.0715233581464708"
"At least once a month","1994","35-65 y.","Female","133","0.0545136010912262","0.0467263069880647","0.0623008951943877"
"At least once a month","1994","66 and older","Male","10","","",""
"At least once a month","1994","66 and older","Female","10","","",""
"At lease once a week","1994","16-34 y.","Male","882","0.396789058201178","0.37703415540316","0.416543960999197"
"At lease once a week","1994","16-34 y.","Female","606","0.307863735633507","0.289457088116054","0.32627038315096"
"At lease once a week","1994","35-65 y.","Male","530","0.193739481326216","0.180109552342987","0.207369410309445"
"At lease once a week","1994","35-65 y.","Female","514","0.20521998771879","0.191367116554859","0.219072858882721"
"At lease once a week","1994","66 and older","Male","56","0.0967091079881464","0.0721196416262168","0.121298574350076"
"At lease once a week","1994","66 and older","Female","73","0.0833110401287675","0.0653558638338878","0.101266216423647"
"Almost never or never","1995","16-34 y.","Male","519","0.191536141034529","0.175903099712862","0.207169182356195"
"Almost never or never","1995","16-34 y.","Female","776","0.261197493868775","0.243963954392064","0.278431033345485"
"Almost never or never","1995","35-65 y.","Male","1578","0.411813297259315","0.395221343650131","0.428405250868498"
"Almost never or never","1995","35-65 y.","Female","1809","0.465339712680714","0.448644637816638","0.48203478754479"
"Almost never or never","1995","66 and older","Male","433","0.723693356542598","0.68742610671548","0.759960606369716"
"Almost never or never","1995","66 and older","Female","769","0.808121024129081","0.782988035003517","0.833254013254645"
"Several times a year","1995","16-34 y.","Male","616","0.258095096263167","0.240711012678325","0.275479179848009"
"Several times a year","1995","16-34 y.","Female","652","0.257387197427299","0.240235761426498","0.2745386334281"
"Several times a year","1995","35-65 y.","Male","826","0.242203091281864","0.227760138332491","0.256646044231237"
